id,Yr,SpawnBio,bias_adjusted,pred_recr
49-CAAL-oneFleet-06,1942,12214.9,172.334,172.383
49-CAAL-oneFleet-06,1943,12214.9,172.334,172.355
49-CAAL-oneFleet-06,1944,12214.9,172.334,172.364
49-CAAL-oneFleet-06,1945,12214.9,172.334,172.377
49-CAAL-oneFleet-06,1946,12214.9,172.334,172.395
49-CAAL-oneFleet-06,1947,12214.9,172.334,172.42
49-CAAL-oneFleet-06,1948,12214.9,172.334,172.455
49-CAAL-oneFleet-06,1949,12214.9,172.334,172.502
49-CAAL-oneFleet-06,1950,12214.9,172.334,172.563
49-CAAL-oneFleet-06,1951,12214.9,172.334,172.644
49-CAAL-oneFleet-06,1952,12221.4,172.34,173.269
49-CAAL-oneFleet-06,1953,12168.4,172.293,173.328
49-CAAL-oneFleet-06,1954,10946.6,171.095,172.088
49-CAAL-oneFleet-06,1955,4521.91,155.772,156.655
49-CAAL-oneFleet-06,1956,3639.55,150.215,151.113
49-CAAL-oneFleet-06,1957,3637.77,150.201,151.145
49-CAAL-oneFleet-06,1958,3713.68,150.765,151.743
49-CAAL-oneFleet-06,1959,2826.93,142.714,143.639
49-CAAL-oneFleet-06,1960,2591.86,139.877,140.761
49-CAAL-oneFleet-06,1961,2423.32,137.59,138.505
49-CAAL-oneFleet-06,1962,1467.31,118.219,118.898
49-CAAL-oneFleet-06,1963,1132.89,106.928,107.323
49-CAAL-oneFleet-06,1964,836.097,93.0872,93.3892
49-CAAL-oneFleet-06,1965,1173.29,108.441,108.791
49-CAAL-oneFleet-06,1966,1142.31,107.225,107.559
49-CAAL-oneFleet-06,1967,803.551,91.2015,91.479
49-CAAL-oneFleet-06,1968,1207.41,109.636,109.983
49-CAAL-oneFleet-06,1969,1658.99,123.107,123.519
49-CAAL-oneFleet-06,1970,1954.47,129.525,129.873
49-CAAL-oneFleet-06,1971,1365.32,114.914,115.212
49-CAAL-oneFleet-06,1972,971.535,99.7802,100.19
49-CAAL-oneFleet-06,1973,986.805,100.466,100.776
49-CAAL-oneFleet-06,1974,959.487,99.1672,99.0717
49-CAAL-oneFleet-06,1975,989.003,100.522,100.887
49-CAAL-oneFleet-06,1976,1143.76,107.038,108.682
49-CAAL-oneFleet-06,1977,1282,112.037,111.46
49-CAAL-oneFleet-06,1978,1789.28,125.873,118.801
49-CAAL-oneFleet-06,1979,1640.8,122.381,121.574
49-CAAL-oneFleet-06,1980,1473.72,117.919,120.597
49-CAAL-oneFleet-06,1981,1794.31,125.897,114.373
49-CAAL-oneFleet-06,1982,1313.51,112.962,102.539
49-CAAL-oneFleet-06,1983,867.055,94.3479,84.3622
49-CAAL-oneFleet-06,1984,1169.63,107.835,94.6875
49-CAAL-oneFleet-06,1985,1182.88,108.308,96.1975
49-CAAL-oneFleet-06,1986,1041.98,102.627,101.515
49-CAAL-oneFleet-06,1987,1150.48,107.031,124.476
49-CAAL-oneFleet-06,1988,1331.09,113.381,113.57
49-CAAL-oneFleet-06,1989,1307.56,112.587,100.408
49-CAAL-oneFleet-06,1990,913.862,96.5936,86.1298
49-CAAL-oneFleet-06,1991,1013.2,101.249,97.7301
49-CAAL-oneFleet-06,1992,1211.18,109.176,123.839
49-CAAL-oneFleet-06,1993,1408.12,115.654,146.134
49-CAAL-oneFleet-06,1994,1431.95,116.337,113.75
49-CAAL-oneFleet-06,1995,1158.55,107.145,97.3143
49-CAAL-oneFleet-06,1996,1329.71,113.131,204.227
49-CAAL-oneFleet-06,1997,1353.81,113.875,132.975
49-CAAL-oneFleet-06,1998,1471.67,117.38,168.179
49-CAAL-oneFleet-06,1999,1535.14,119.107,161.533
49-CAAL-oneFleet-06,2000,1428.72,116.083,80.0928
49-CAAL-oneFleet-06,2001,1640.87,121.772,162.471
49-CAAL-oneFleet-06,2002,1764.06,124.631,108.483
49-CAAL-oneFleet-06,2003,1469.82,117.194,116.333
49-CAAL-oneFleet-06,2004,1109.93,105.028,104.633
49-CAAL-oneFleet-06,2005,864.756,93.7566,87.1413
49-CAAL-oneFleet-06,2006,899.532,95.5261,91.2488
49-CAAL-oneFleet-06,2007,989.611,99.8436,105.189
49-CAAL-oneFleet-06,2008,997.069,100.182,103.474
49-CAAL-oneFleet-06,2009,889.273,95.0054,86.5487
49-CAAL-oneFleet-06,2010,1038.27,102.001,89.2438
49-CAAL-oneFleet-06,2011,1063.73,103.086,85.5434
49-CAAL-oneFleet-06,2012,841.346,92.4875,80.1909
49-CAAL-oneFleet-06,2013,697.029,83.9412,88.9442
49-CAAL-oneFleet-06,2014,809.36,90.7243,72.8561
49-CAAL-oneFleet-06,2015,692.214,83.6278,76.0631
49-CAAL-oneFleet-06,2016,580.665,75.7626,77.0052
49-CAAL-oneFleet-06,2017,610.133,77.9601,76.3539
49-CAAL-oneFleet-06,2018,723.43,85.6245,64.654
49-CAAL-oneFleet-06,2019,727.963,85.9078,83.0046
49-CAAL-oneFleet-06,2020,672.444,82.3199,106.399
49-CAAL-oneFleet-06,2021,643.276,80.3255,88.3186
49-CAAL-oneFleet-06,2022,758.192,88.6367,88.6137
49-CAAL-oneFleet-06,2023,1070.11,104.392,104.392
