id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.08249578,0.1794778933,304.56493,235.0157,23.50157
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.15177167,-0.0501249265,328.38753,246.6102,24.66102
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2996896,0.1024838015,351.14383,279.0613,27.90613
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.5777514,0.0605007628999999,375.44433,285.37399,28.537399
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.2021896,-0.0721010494000001,392.51492,291.19186,29.119186
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.7165416,-0.6457132496,401.02381,293.554,29.3554
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,3.2091839,-1.1798503893,417.98548,306.64002,30.664002
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.352291,-0.7101953999,423.27459,309.90665,30.990665
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.708725,-0.468177799800001,424.63564,313.42835,31.342835
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,2.906658,-0.1003167597,424.63564,313.42835,31.342835
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.5080413,-0.1303870892,424.63564,313.42835,31.342835
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.6648942,-0.0308412193000005,418.20354,307.85817,30.785817
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000433754,0.0210970985,122.379,114.13841,11.413841
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000665217,0.0367817662,137.0605,121.59494,12.159494
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000985376,-0.0004867322,137.0605,121.59494,12.159494
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.00213629,0.0056586327,137.0605,121.59494,12.159494
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.00667839,0.0712082121,154.1711,127.41939,12.741939
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.0258777,0.0954904231,176.43023,146.52692,14.652692
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,0.9119684,0.7937419708,359.13244,281.00757,28.100757
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.4233747,0.7043632622,321.74061,267.92269,26.792269
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.18954146,0.6628287804,283.42679,229.50192,22.950192
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.04134179,0.187912573,190.10197,163.74584,16.374584
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.01061604,0.1790665604,128.2543,134.71558,13.471558
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.002698512,0.0998062486,85.6919,109.73118,10.973118
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.000764466,0.0582992244,68.5813,103.90673,10.390673
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.000265025,0.0072065454,53.8998,96.4502,9.64502
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,250,0.0559987,0.000214343,0.055784357,53.8998,96.4502,9.64502
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,80,0.0176889711,0.0001993629,0.0174896082,69.2957,60.3899,6.03899
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,85,0.0001993621,0.0001993641,-2.00000000000439e-09,69.2957,60.3899,6.03899
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,90,0.0001993621,0.0001993689,-6.79999999998781e-09,69.2957,60.3899,6.03899
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,95,0.0001993621,0.0001993944,-3.23000000000098e-08,69.2957,60.3899,6.03899
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,100,0.0001993621,0.0001995231,-1.60999999999987e-07,69.2957,60.3899,6.03899
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,105,0.0001993621,0.000200055,-6.92899999999981e-07,69.2957,60.3899,6.03899
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,110,0.0347096621,0.000301983,0.0344076791,91.2479,64.18821,6.418821
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,115,0.0002991525,0.00030786,-8.70749999999995e-06,91.2479,64.18821,6.418821
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,60,0.0146922,9.96711e-05,0.0145925289,50.5559,47,4.7
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,65,9.96711e-05,9.96711e-05,0,50.5559,47,4.7
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,70,9.96711e-05,9.96712e-05,-1.00000000006996e-10,50.5559,47,4.7
50-CAAL-oneFleet-07,3,F03_LL.JP.3,yes,LEN,1,75,9.96711e-05,9.96714e-05,-3.00000000007434e-10,50.5559,47,4.7
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,120,0.1832969618,0.07391708,0.1093798818,147.75695,95.127137,9.5127137
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,125,0.1765030529,0.07207081,0.1044322429,164.05265,100.565407,10.0565407
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,130,0.1857569337,0.0921191,0.0936378337,164.05265,100.565407,10.0565407
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,135,0.390516213,0.18445554,0.206060673,180.38555,103.484037,10.3484037
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,140,0.1679879537,0.2687034,-0.1007154463,180.38555,103.484037,10.3484037
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,145,0.2383778531,0.4390015,-0.2006236469,180.38555,103.484037,10.3484037
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,150,0.4044531034,0.9745421,-0.5700889966,208.13352,106.951927,10.6951927
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,155,0.7068341732,1.7746885,-1.0678543268,232.81145,122.463067,12.2463067
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,160,0.6351043332,1.3568359,-0.7217315668,232.81145,122.463067,12.2463067
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,165,1.4288749102,1.8381373,-0.4092623898,239.07781,123.583867,12.3583867
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,170,1.6256894615,1.6065956,0.0190938614999998,239.07781,123.583867,12.3583867
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,175,1.9269910621,2.3045967,-0.3776056379,240.26289,125.335637,12.5335637
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,180,1.7408372622,1.724113,0.0167242622000001,240.26289,125.335637,12.5335637
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,185,2.3909153711,1.9849211,0.4059942711,240.26289,125.335637,12.5335637
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,190,0.954984462,0.8445168,0.110467662,190.95339,107.25924,10.725924
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,195,0.639652884,0.5828784,0.0567744840000002,190.95339,107.25924,10.725924
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,200,1.0764629411,0.4337093,0.6427536411,182.42753,105.65494,10.565494
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,205,0.3445104624,0.2090146,0.1354958624,154.67956,102.18705,10.218705
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,210,0.4881305533,0.12273932,0.3653912333,120.71356,61.96675,6.196675
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,215,0.2371958629,0.04309183,0.1941040329,86.4516,42.06235,4.206235
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,220,0.1561534533,0.02259588,0.1335575733,86.4516,42.06235,4.206235
50-CAAL-oneFleet-07,5,F05_LL.TW.4,yes,LEN,1,225,0.1563563821,0.00896892,0.1473874621,85.26652,40.31058,4.031058
