id,Yr,Era,SSB,SSB_nofishing
52-CAAL-oneFleet-10,1950,VIRG,11712.7,11712.7
52-CAAL-oneFleet-10,1951,INIT,11712.7,11712.7
52-CAAL-oneFleet-10,1952,TIME,12002.1,12002.1
52-CAAL-oneFleet-10,1953,TIME,12094.7,12149.8
52-CAAL-oneFleet-10,1954,TIME,11065.7,12306.9
52-CAAL-oneFleet-10,1955,TIME,5575.98,12482.6
52-CAAL-oneFleet-10,1956,TIME,4632.79,12590.2
52-CAAL-oneFleet-10,1957,TIME,4476.18,12590.9
52-CAAL-oneFleet-10,1958,TIME,4448.98,12537.4
52-CAAL-oneFleet-10,1959,TIME,3521.59,12503.6
52-CAAL-oneFleet-10,1960,TIME,3298.05,12531
52-CAAL-oneFleet-10,1961,TIME,3171.06,12599.6
52-CAAL-oneFleet-10,1962,TIME,2237.74,12652.9
52-CAAL-oneFleet-10,1963,TIME,1900.52,12694.6
52-CAAL-oneFleet-10,1964,TIME,1546.01,12657.3
52-CAAL-oneFleet-10,1965,TIME,1952.07,12514.5
52-CAAL-oneFleet-10,1966,TIME,1996.43,12349.5
52-CAAL-oneFleet-10,1967,TIME,1688.52,12194.1
52-CAAL-oneFleet-10,1968,TIME,2131.31,12031.1
52-CAAL-oneFleet-10,1969,TIME,2655.66,11870.2
52-CAAL-oneFleet-10,1970,TIME,3078.17,11754.8
52-CAAL-oneFleet-10,1971,TIME,2368.76,11692.2
52-CAAL-oneFleet-10,1972,TIME,1707.91,11611.5
52-CAAL-oneFleet-10,1973,TIME,1523.83,11479
52-CAAL-oneFleet-10,1974,TIME,1469.03,11375.3
52-CAAL-oneFleet-10,1975,TIME,1586.4,11347.7
52-CAAL-oneFleet-10,1976,TIME,1803.54,11369.3
52-CAAL-oneFleet-10,1977,TIME,1906.9,11292.7
52-CAAL-oneFleet-10,1978,TIME,2408.43,11180.4
52-CAAL-oneFleet-10,1979,TIME,2231.65,11178.1
52-CAAL-oneFleet-10,1980,TIME,2101.13,11260.8
52-CAAL-oneFleet-10,1981,TIME,2528.87,11422.8
52-CAAL-oneFleet-10,1982,TIME,1988.04,11583.6
52-CAAL-oneFleet-10,1983,TIME,1300.18,11506.1
52-CAAL-oneFleet-10,1984,TIME,1495.69,11191
52-CAAL-oneFleet-10,1985,TIME,1527.52,10914.5
52-CAAL-oneFleet-10,1986,TIME,1433.28,10716.8
52-CAAL-oneFleet-10,1987,TIME,1485.27,10501.1
52-CAAL-oneFleet-10,1988,TIME,1599.26,10312.4
52-CAAL-oneFleet-10,1989,TIME,1619.53,10476.5
52-CAAL-oneFleet-10,1990,TIME,1274.87,11030.3
52-CAAL-oneFleet-10,1991,TIME,1334.1,11269.2
52-CAAL-oneFleet-10,1992,TIME,1522.69,11147.6
52-CAAL-oneFleet-10,1993,TIME,1805.6,11009.2
52-CAAL-oneFleet-10,1994,TIME,1955.56,11191.5
52-CAAL-oneFleet-10,1995,TIME,1637.79,11652.1
52-CAAL-oneFleet-10,1996,TIME,1786.06,12128.7
52-CAAL-oneFleet-10,1997,TIME,2115.52,12514.7
52-CAAL-oneFleet-10,1998,TIME,2362.46,12902.1
52-CAAL-oneFleet-10,1999,TIME,1803.58,13292.9
52-CAAL-oneFleet-10,2000,TIME,1539.69,13440.3
52-CAAL-oneFleet-10,2001,TIME,1400.23,13341.1
52-CAAL-oneFleet-10,2002,TIME,1433.84,13180.8
52-CAAL-oneFleet-10,2003,TIME,1561.78,13202.3
52-CAAL-oneFleet-10,2004,TIME,1239.04,13471.9
52-CAAL-oneFleet-10,2005,TIME,1133.83,13581.1
52-CAAL-oneFleet-10,2006,TIME,1136.59,13318
52-CAAL-oneFleet-10,2007,TIME,1182.49,12843.9
52-CAAL-oneFleet-10,2008,TIME,1248.59,12394.3
52-CAAL-oneFleet-10,2009,TIME,1126.48,12049
52-CAAL-oneFleet-10,2010,TIME,1163.11,11752.7
52-CAAL-oneFleet-10,2011,TIME,1166.49,11531.8
52-CAAL-oneFleet-10,2012,TIME,1022.14,11362.3
52-CAAL-oneFleet-10,2013,TIME,916.095,11171.8
52-CAAL-oneFleet-10,2014,TIME,1086.03,10975.2
52-CAAL-oneFleet-10,2015,TIME,969.158,10850.9
52-CAAL-oneFleet-10,2016,TIME,839.967,10751.7
52-CAAL-oneFleet-10,2017,TIME,959.74,10627.4
52-CAAL-oneFleet-10,2018,TIME,1114.74,10516.9
52-CAAL-oneFleet-10,2019,TIME,1134.82,10480.6
52-CAAL-oneFleet-10,2020,TIME,1227.92,10526.8
52-CAAL-oneFleet-10,2021,TIME,1416.44,10635.8
52-CAAL-oneFleet-10,2022,TIME,1542.33,10784.1
52-CAAL-oneFleet-10,2023,FORE,1795.82,10921.4
