Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54-CAAL-exdblnorm
Catch_like,1.11459e-05,1.5319e-06,5.96512e-07,1.22703e-06,7.67213e-07,1.11413e-06,8.17997e-07,7.31099e-07,4.77766e-07,6.54999e-13,3.34938e-07,1.14999e-06,8.20664e-07,6.28053e-07,9.46135e-07,2.50667e-09,0,54-CAAL-exdblnorm
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54-CAAL-exdblnorm
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54-CAAL-exdblnorm
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54-CAAL-exdblnorm
Surv_like,-13.3498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.3498,54-CAAL-exdblnorm
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,54-CAAL-exdblnorm
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54-CAAL-exdblnorm
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,54-CAAL-exdblnorm
Length_like,369.282,0,0,49.7626,0,13.0297,0,0,0,0,149.91,105.333,0,0,51.2462,0,0,54-CAAL-exdblnorm
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,54-CAAL-exdblnorm
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54-CAAL-exdblnorm
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,54-CAAL-exdblnorm
Age_like,0.109295,0,0,0,0,0,0,0,0,0.035976,0.053451,0,0.0198678,0,0,0,0,54-CAAL-exdblnorm
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,54-CAAL-exdblnorm
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54-CAAL-exdblnorm
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,54-CAAL-exdblnorm
SizeFreq_like:_1,2386.13,,182.986,59.2622,,,1046.67,408.258,,118.572,557.513,,,,,,12.8626,54-CAAL-exdblnorm
