id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.07169992,0.1902737533,291.88101,235.0157,23.50157
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.12932521,-0.0276784665,322.42941,246.6102,24.66102
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2568459,0.1453275015,343.66041,279.0613,27.90613
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4961937,0.1420584629,367.54441,285.37399,28.537399
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.036225,0.0938635506000001,387.17923,291.19186,29.119186
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.5389552,-0.4681268496,395.68328,293.554,29.3554
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.8745632,-0.8452296893,416.48029,306.64002,30.664002
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.150876,-0.5087803999,423.02944,309.90665,30.990665
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.54488,-0.3043327998,425.43613,313.42835,31.342835
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.013081,-0.2067397597,425.43613,313.42835,31.342835
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.750804,-0.3731497892,425.43613,313.42835,31.342835
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9640155,-0.3299625193,419.56195,307.85817,30.785817
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000428844,0.0211020085,125.763,114.13841,11.413841
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000644855,0.0368021282,141.3447,121.59494,12.159494
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000923424,-0.0004247802,141.3447,121.59494,12.159494
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.001928579,0.0058663437,141.3447,121.59494,12.159494
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.00581531,0.0720712921,160.4731,127.41939,12.741939
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.02152938,0.0998387431,182.73023,146.52692,14.652692
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,1.180707,0.5250033708,376.62975,281.00757,28.100757
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.5965627,0.5311752622,338.29622,267.92269,26.792269
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.2776183,0.5747519404,300.10294,229.50192,22.950192
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.0614011,0.167853263,210.96843,163.74584,16.374584
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.01674992,0.1729326804,151.2502,134.71558,13.471558
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.004436575,0.0980681856,98.5882,109.73118,10.973118
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.001052407,0.0580112834,79.4598,103.90673,10.390673
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.000305921,0.0071656494,63.8781,96.4502,9.64502
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,250,0.0559987,0.000225074,0.055773626,63.8781,96.4502,9.64502
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,80,0.0176889711,0.0001993627,0.0174896084,65.1619,60.3899,6.03899
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,85,0.0001993621,0.0001993637,-1.60000000000351e-09,65.1619,60.3899,6.03899
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,90,0.0001993621,0.0001993673,-5.1999999999843e-09,65.1619,60.3899,6.03899
