"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11386.3 551.71 NA NA
"SSB_Initial" "SSB_Initial" 11386.3 551.71 NA NA
"SSB_1952" "SSB_1952" 11728.5 985.65 NA NA
"SSB_1953" "SSB_1953" 11829.5 977.972 NA NA
"SSB_1954" "SSB_1954" 10826.8 968.285 NA NA
"SSB_1955" "SSB_1955" 5521.02 1034.81 NA NA
"SSB_1956" "SSB_1956" 4591.87 900.398 NA NA
"SSB_1957" "SSB_1957" 4435.03 823.629 NA NA
"SSB_1958" "SSB_1958" 4411.7 795.287 NA NA
"SSB_1959" "SSB_1959" 3507.46 740.897 NA NA
"SSB_1960" "SSB_1960" 3296.18 709.48 NA NA
"SSB_1961" "SSB_1961" 3178.06 684.734 NA NA
"SSB_1962" "SSB_1962" 2265.85 611.435 NA NA
"SSB_1963" "SSB_1963" 1937.35 540.393 NA NA
"SSB_1964" "SSB_1964" 1587.9 482.494 NA NA
"SSB_1965" "SSB_1965" 1994.11 528.501 NA NA
"SSB_1966" "SSB_1966" 2038.41 560.119 NA NA
"SSB_1967" "SSB_1967" 1733.26 572.153 NA NA
"SSB_1968" "SSB_1968" 2172.1 602.198 NA NA
"SSB_1969" "SSB_1969" 2691.77 645.615 NA NA
"SSB_1970" "SSB_1970" 3112.51 675.975 NA NA
"SSB_1971" "SSB_1971" 2398.28 598.839 NA NA
"SSB_1972" "SSB_1972" 1728.66 483.913 NA NA
"SSB_1973" "SSB_1973" 1538.04 411.773 NA NA
"SSB_1974" "SSB_1974" 1478.16 400.293 NA NA
"SSB_1975" "SSB_1975" 1584.06 417.178 NA NA
"SSB_1976" "SSB_1976" 1787.96 426.724 NA NA
"SSB_1977" "SSB_1977" 1869.81 433.08 NA NA
"SSB_1978" "SSB_1978" 2340.49 446.484 NA NA
"SSB_1979" "SSB_1979" 2127.18 407.075 NA NA
"SSB_1980" "SSB_1980" 2021.92 399.88 NA NA
"SSB_1981" "SSB_1981" 2569.93 390.88 NA NA
"SSB_1982" "SSB_1982" 2176.18 351.973 NA NA
"SSB_1983" "SSB_1983" 1684.63 319.055 NA NA
"SSB_1984" "SSB_1984" 1823.19 322.967 NA NA
"SSB_1985" "SSB_1985" 1831.89 319.87 NA NA
"SSB_1986" "SSB_1986" 1656.38 306.275 NA NA
"SSB_1987" "SSB_1987" 1574.26 283.923 NA NA
"SSB_1988" "SSB_1988" 1451.75 301.884 NA NA
"SSB_1989" "SSB_1989" 1442.88 319.309 NA NA
"SSB_1990" "SSB_1990" 1343.32 298.235 NA NA
"SSB_1991" "SSB_1991" 1402.38 308.178 NA NA
"SSB_1992" "SSB_1992" 1532.73 333.878 NA NA
"SSB_1993" "SSB_1993" 1793.01 375.197 NA NA
"SSB_1994" "SSB_1994" 1950.23 415.204 NA NA
"SSB_1995" "SSB_1995" 1693.02 384.612 NA NA
"SSB_1996" "SSB_1996" 1793.54 356.306 NA NA
"SSB_1997" "SSB_1997" 1875.18 355.932 NA NA
"SSB_1998" "SSB_1998" 2141.25 378.866 NA NA
"SSB_1999" "SSB_1999" 2348.8 406.578 NA NA
"SSB_2000" "SSB_2000" 2203.23 425.366 NA NA
"SSB_2001" "SSB_2001" 2453.28 445.409 NA NA
"SSB_2002" "SSB_2002" 2551.16 410.622 NA NA
"SSB_2003" "SSB_2003" 2166.31 349.55 NA NA
"SSB_2004" "SSB_2004" 1709.26 301.135 NA NA
"SSB_2005" "SSB_2005" 1355.58 274.877 NA NA
"SSB_2006" "SSB_2006" 1374.77 280.37 NA NA
"SSB_2007" "SSB_2007" 1522.16 305.033 NA NA
"SSB_2008" "SSB_2008" 1578.79 326.558 NA NA
"SSB_2009" "SSB_2009" 1561.47 331.182 NA NA
"SSB_2010" "SSB_2010" 1672.25 318.154 NA NA
"SSB_2011" "SSB_2011" 1604.57 287.454 NA NA
"SSB_2012" "SSB_2012" 1307.88 248.681 NA NA
"SSB_2013" "SSB_2013" 1074.74 215.831 NA NA
"SSB_2014" "SSB_2014" 1151.89 200.623 NA NA
"SSB_2015" "SSB_2015" 989.628 182.268 NA NA
"SSB_2016" "SSB_2016" 885.659 178.54 NA NA
"SSB_2017" "SSB_2017" 915.738 186.59 NA NA
"SSB_2018" "SSB_2018" 1028.94 205.784 NA NA
"SSB_2019" "SSB_2019" 1015.59 210.083 NA NA
"SSB_2020" "SSB_2020" 935.829 214.003 NA NA
"SSB_2021" "SSB_2021" 890.644 242.489 NA NA
"SSB_2022" "SSB_2022" 1090.76 341.365 NA NA
"SSB_2023" "SSB_2023" 1591.79 533.877 NA NA
"Recr_Virgin" "Recr_Virgin" 160.409 4.20199 NA NA
"Recr_Initial" "Recr_Initial" 160.409 4.20199 NA NA
"Recr_1952" "Recr_1952" 183.687 37.4465 NA NA
"Recr_1953" "Recr_1953" 179.446 35.8853 NA NA
"Recr_1954" "Recr_1954" 171.986 33.987 NA NA
"Recr_1955" "Recr_1955" 159.553 31.4882 NA NA
"Recr_1956" "Recr_1956" 158.176 31.3373 NA NA
"Recr_1957" "Recr_1957" 161.637 32.1778 NA NA
"Recr_1958" "Recr_1958" 164.105 32.3922 NA NA
"Recr_1959" "Recr_1959" 155.983 30.9364 NA NA
"Recr_1960" "Recr_1960" 156.652 30.4556 NA NA
"Recr_1961" "Recr_1961" 150.068 28.5917 NA NA
"Recr_1962" "Recr_1962" 131.632 26.154 NA NA
"Recr_1963" "Recr_1963" 126.016 25.372 NA NA
"Recr_1964" "Recr_1964" 117.981 24.3698 NA NA
"Recr_1965" "Recr_1965" 123.595 24.6144 NA NA
"Recr_1966" "Recr_1966" 122.311 24.5216 NA NA
"Recr_1967" "Recr_1967" 118.004 24.5902 NA NA
"Recr_1968" "Recr_1968" 128.378 24.619 NA NA
"Recr_1969" "Recr_1969" 132.093 23.9502 NA NA
"Recr_1970" "Recr_1970" 130.641 23.2753 NA NA
"Recr_1971" "Recr_1971" 125.224 22.8361 NA NA
"Recr_1972" "Recr_1972" 116.606 22.3962 NA NA
"Recr_1973" "Recr_1973" 115.723 21.3444 NA NA
"Recr_1974" "Recr_1974" 105.023 19.5852 NA NA
"Recr_1975" "Recr_1975" 104.974 19.5018 NA NA
"Recr_1976" "Recr_1976" 116.164 20.3027 NA NA
"Recr_1977" "Recr_1977" 120.636 21.392 NA NA
"Recr_1978" "Recr_1978" 148.068 22.0049 NA NA
"Recr_1979" "Recr_1979" 139.978 21.6988 NA NA
"Recr_1980" "Recr_1980" 148.017 18.621 NA NA
"Recr_1981" "Recr_1981" 104.004 16.0179 NA NA
"Recr_1982" "Recr_1982" 119.726 16.9989 NA NA
"Recr_1983" "Recr_1983" 96.1078 14.3904 NA NA
"Recr_1984" "Recr_1984" 97.2442 12.9671 NA NA
"Recr_1985" "Recr_1985" 75.2107 12.0778 NA NA
"Recr_1986" "Recr_1986" 99.7216 19.0079 NA NA
"Recr_1987" "Recr_1987" 164.041 22.3331 NA NA
"Recr_1988" "Recr_1988" 113.608 18.4834 NA NA
"Recr_1989" "Recr_1989" 98.3343 16.7753 NA NA
"Recr_1990" "Recr_1990" 95.743 18.0094 NA NA
"Recr_1991" "Recr_1991" 115.005 22.3369 NA NA
"Recr_1992" "Recr_1992" 142.871 25.1817 NA NA
"Recr_1993" "Recr_1993" 144.9 24.5273 NA NA
"Recr_1994" "Recr_1994" 125.493 20.9836 NA NA
"Recr_1995" "Recr_1995" 115.863 20.6897 NA NA
"Recr_1996" "Recr_1996" 238.037 25.088 NA NA
"Recr_1997" "Recr_1997" 136.329 17.0188 NA NA
"Recr_1998" "Recr_1998" 190.414 21.8142 NA NA
"Recr_1999" "Recr_1999" 169.731 15.0473 NA NA
"Recr_2000" "Recr_2000" 86.2624 11.0666 NA NA
"Recr_2001" "Recr_2001" 178.388 17.65 NA NA
"Recr_2002" "Recr_2002" 112.516 15.5516 NA NA
"Recr_2003" "Recr_2003" 123.372 18.1876 NA NA
"Recr_2004" "Recr_2004" 119.496 18.0131 NA NA
"Recr_2005" "Recr_2005" 94.1644 15.3543 NA NA
"Recr_2006" "Recr_2006" 116.467 18.8869 NA NA
"Recr_2007" "Recr_2007" 114.597 17.8872 NA NA
"Recr_2008" "Recr_2008" 105.477 15.296 NA NA
"Recr_2009" "Recr_2009" 96.082 14.097 NA NA
"Recr_2010" "Recr_2010" 93.6353 12.7332 NA NA
"Recr_2011" "Recr_2011" 90.0221 11.9587 NA NA
"Recr_2012" "Recr_2012" 83.2114 10.6952 NA NA
"Recr_2013" "Recr_2013" 98.5859 10.1119 NA NA
"Recr_2014" "Recr_2014" 78.3289 8.60773 NA NA
"Recr_2015" "Recr_2015" 81.4851 9.72263 NA NA
"Recr_2016" "Recr_2016" 82.5642 9.70145 NA NA
"Recr_2017" "Recr_2017" 80.6693 8.71424 NA NA
"Recr_2018" "Recr_2018" 67.0628 8.85047 NA NA
"Recr_2019" "Recr_2019" 92.2592 15.1269 NA NA
"Recr_2020" "Recr_2020" 129.574 26.2713 NA NA
"Recr_2021" "Recr_2021" 98.144 21.8409 NA NA
"Recr_2022" "Recr_2022" 105.084 25.4463 NA NA
"Recr_2023" "Recr_2023" 115.857 26.7899 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0225958 0.00167441 -583.73 0
"SPRratio_1953" "SPRratio_1953" 0.411443 0.067512 -8.71782 1.437e-18
"SPRratio_1954" "SPRratio_1954" 1.06855 0.0605648 1.13186 0.871154
"SPRratio_1955" "SPRratio_1955" 0.932615 0.0711497 -0.947092 0.171796
"SPRratio_1956" "SPRratio_1956" 0.877083 0.0751157 -1.63637 0.050881
"SPRratio_1957" "SPRratio_1957" 0.83919 0.0819306 -1.96276 0.0248371
"SPRratio_1958" "SPRratio_1958" 1.03423 0.0648432 0.527963 0.701238
"SPRratio_1959" "SPRratio_1959" 0.979551 0.0709253 -0.288319 0.386551
"SPRratio_1960" "SPRratio_1960" 0.998458 0.0689757 -0.0223593 0.491081
"SPRratio_1961" "SPRratio_1961" 1.15161 0.0514604 2.94612 0.998391
"SPRratio_1962" "SPRratio_1962" 1.14305 0.0557828 2.56442 0.994833
"SPRratio_1963" "SPRratio_1963" 1.17822 0.051258 3.47697 0.999746
"SPRratio_1964" "SPRratio_1964" 1.00467 0.0761402 0.061323 0.524449
"SPRratio_1965" "SPRratio_1965" 1.06042 0.0680412 0.88805 0.812743
"SPRratio_1966" "SPRratio_1966" 1.114 0.0673538 1.69252 0.954727
"SPRratio_1967" "SPRratio_1967" 0.949911 0.0847449 -0.591054 0.277242
"SPRratio_1968" "SPRratio_1968" 0.828979 0.0831232 -2.05744 0.0198221
"SPRratio_1969" "SPRratio_1969" 0.787181 0.0777265 -2.73805 0.00309033
"SPRratio_1970" "SPRratio_1970" 1.09141 0.0550885 1.65939 0.951482
"SPRratio_1971" "SPRratio_1971" 1.1506 0.049442 3.04599 0.99884
"SPRratio_1972" "SPRratio_1972" 1.14064 0.0522181 2.69324 0.996462
"SPRratio_1973" "SPRratio_1973" 1.13925 0.0544559 2.55706 0.994722
"SPRratio_1974" "SPRratio_1974" 1.10238 0.0581963 1.75917 0.960725
"SPRratio_1975" "SPRratio_1975" 1.05286 0.061804 0.855289 0.803804
"SPRratio_1976" "SPRratio_1976" 1.02592 0.061397 0.422183 0.663554
"SPRratio_1977" "SPRratio_1977" 0.814654 0.0704893 -2.62942 0.00427662
"SPRratio_1978" "SPRratio_1978" 1.08223 0.0476248 1.72662 0.957882
"SPRratio_1979" "SPRratio_1979" 1.05267 0.0516296 1.02019 0.846182
"SPRratio_1980" "SPRratio_1980" 0.910602 0.055512 -1.61043 0.053652
"SPRratio_1981" "SPRratio_1981" 1.12324 0.036054 3.41814 0.999685
"SPRratio_1982" "SPRratio_1982" 1.1504 0.0367539 4.09218 0.999979
"SPRratio_1983" "SPRratio_1983" 1.02745 0.0511921 0.536282 0.704118
"SPRratio_1984" "SPRratio_1984" 1.05859 0.0467241 1.25397 0.895073
"SPRratio_1985" "SPRratio_1985" 1.07746 0.0457265 1.69408 0.954875
"SPRratio_1986" "SPRratio_1986" 1.05613 0.048146 1.16585 0.878163
"SPRratio_1987" "SPRratio_1987" 1.0558 0.0528045 1.05668 0.85467
"SPRratio_1988" "SPRratio_1988" 1.12501 0.0469744 2.66131 0.996108
"SPRratio_1989" "SPRratio_1989" 1.19288 0.0358759 5.37628 1
"SPRratio_1990" "SPRratio_1990" 1.11907 0.0476006 2.50152 0.993817
"SPRratio_1991" "SPRratio_1991" 1.05344 0.0567828 0.941056 0.826662
"SPRratio_1992" "SPRratio_1992" 0.989565 0.0621667 -0.167854 0.433349
"SPRratio_1993" "SPRratio_1993" 1.02755 0.0571012 0.482475 0.685266
"SPRratio_1994" "SPRratio_1994" 1.15853 0.0410319 3.86361 0.999944
"SPRratio_1995" "SPRratio_1995" 1.10184 0.0460398 2.212 0.986517
"SPRratio_1996" "SPRratio_1996" 1.06981 0.0476676 1.4646 0.928485
"SPRratio_1997" "SPRratio_1997" 1.05954 0.0483976 1.23016 0.890681
"SPRratio_1998" "SPRratio_1998" 1.13805 0.0379328 3.63941 0.999863
"SPRratio_1999" "SPRratio_1999" 1.12588 0.0426174 2.95366 0.99843
"SPRratio_2000" "SPRratio_2000" 1.07457 0.0480125 1.55318 0.939809
"SPRratio_2001" "SPRratio_2001" 1.03838 0.0453257 0.846715 0.801423
"SPRratio_2002" "SPRratio_2002" 1.08351 0.0388312 2.15054 0.984244
"SPRratio_2003" "SPRratio_2003" 1.18106 0.030433 5.94935 1
"SPRratio_2004" "SPRratio_2004" 1.1861 0.033953 5.48096 1
"SPRratio_2005" "SPRratio_2005" 1.13589 0.0428625 3.17039 0.999239
"SPRratio_2006" "SPRratio_2006" 1.08764 0.0493288 1.77673 0.962194
"SPRratio_2007" "SPRratio_2007" 1.06279 0.0527855 1.18947 0.882872
"SPRratio_2008" "SPRratio_2008" 1.10747 0.0477854 2.24909 0.987747
"SPRratio_2009" "SPRratio_2009" 1.08002 0.0465246 1.72005 0.957288
"SPRratio_2010" "SPRratio_2010" 1.08563 0.0429 1.99603 0.977035
"SPRratio_2011" "SPRratio_2011" 1.14873 0.0368881 4.03193 0.999972
"SPRratio_2012" "SPRratio_2012" 1.17513 0.0350908 4.99078 1
"SPRratio_2013" "SPRratio_2013" 1.08801 0.0431745 2.0385 0.97925
"SPRratio_2014" "SPRratio_2014" 1.19227 0.0318025 6.04577 1
"SPRratio_2015" "SPRratio_2015" 1.18902 0.0349928 5.40169 1
"SPRratio_2016" "SPRratio_2016" 1.12691 0.0451864 2.80869 0.997513
"SPRratio_2017" "SPRratio_2017" 1.09896 0.0488043 2.02763 0.978701
"SPRratio_2018" "SPRratio_2018" 1.14915 0.0419674 3.55405 0.99981
"SPRratio_2019" "SPRratio_2019" 1.14329 0.0467564 3.06461 0.99891
"SPRratio_2020" "SPRratio_2020" 1.14679 0.0560201 2.6204 0.995609
"SPRratio_2021" "SPRratio_2021" 1.1219 0.0697275 1.74819 0.959784
"SPRratio_2022" "SPRratio_2022" 1.0094 0.0961695 0.0977716 0.538943
"SPRratio_2023" "SPRratio_2023" 1.0094 0.0961695 0.0977716 0.538943
"F_1952" "F_1952" 0.0153607 0.00245726 -400.706 0
"F_1953" "F_1953" 0.183474 0.0403949 -20.2136 4.01958e-91
"F_1954" "F_1954" 1.27137 0.285972 0.948922 0.82867
"F_1955" "F_1955" 0.814986 0.176396 -1.04886 0.147122
"F_1956" "F_1956" 0.674383 0.145374 -2.23985 0.0125503
"F_1957" "F_1957" 0.615519 0.140456 -2.73738 0.00309663
"F_1958" "F_1958" 1.07532 0.240765 0.312843 0.6228
"F_1959" "F_1959" 0.963372 0.22429 -0.163305 0.435139
"F_1960" "F_1960" 1.02818 0.242099 0.116414 0.546338
"F_1961" "F_1961" 1.7339 0.424953 1.72701 0.957917
"F_1962" "F_1962" 1.6636 0.4284 1.54903 0.939312
"F_1963" "F_1963" 1.96373 0.516599 1.86552 0.968946
"F_1964" "F_1964" 1.07958 0.285594 0.278637 0.609738
"F_1965" "F_1965" 1.23794 0.312026 0.762576 0.777142
"F_1966" "F_1966" 1.61672 0.470463 1.31087 0.905049
"F_1967" "F_1967" 0.846485 0.226004 -0.679256 0.248488
"F_1968" "F_1968" 0.641599 0.155102 -2.31075 0.0104234
"F_1969" "F_1969" 0.595709 0.135674 -2.97988 0.00144188
"F_1970" "F_1970" 1.35148 0.293554 1.19734 0.884413
"F_1971" "F_1971" 1.9419 0.477785 1.97139 0.97566
"F_1972" "F_1972" 2.09459 0.556374 1.96737 0.97543
"F_1973" "F_1973" 2.05426 0.54837 1.92254 0.972731
"F_1974" "F_1974" 1.79526 0.494778 1.6073 0.946006
"F_1975" "F_1975" 1.33065 0.326753 1.01192 0.844212
"F_1976" "F_1976" 1.23977 0.298319 0.803733 0.789224
"F_1977" "F_1977" 0.628765 0.128359 -2.89216 0.00191308
"F_1978" "F_1978" 1.15995 0.192998 0.828743 0.796375
"F_1979" "F_1979" 1.24112 0.234478 1.02834 0.848106
"F_1980" "F_1980" 0.841892 0.145242 -1.08858 0.138169
"F_1981" "F_1981" 1.56565 0.241641 2.34087 0.990381
"F_1982" "F_1982" 2.01805 0.369169 2.75769 0.997089
"F_1983" "F_1983" 1.3268 0.263247 1.24141 0.892773
"F_1984" "F_1984" 1.37567 0.253807 1.48013 0.930581
"F_1985" "F_1985" 1.32393 0.2375 1.36392 0.913704
"F_1986" "F_1986" 1.2402 0.222093 1.08155 0.860273
"F_1987" "F_1987" 1.21874 0.235981 0.92695 0.823024
"F_1988" "F_1988" 1.60071 0.340287 1.76531 0.961245
"F_1989" "F_1989" 2.46588 0.531116 2.75999 0.99711
"F_1990" "F_1990" 1.71495 0.366926 1.94849 0.974322
"F_1991" "F_1991" 1.31576 0.280067 1.12743 0.87022
"F_1992" "F_1992" 0.965978 0.188414 -0.180568 0.428353
"F_1993" "F_1993" 1.20549 0.259861 0.790767 0.78546
"F_1994" "F_1994" 1.95077 0.415274 2.28951 0.988975
"F_1995" "F_1995" 1.80729 0.408785 1.97485 0.975857
"F_1996" "F_1996" 1.55216 0.312967 1.76427 0.961157
"F_1997" "F_1997" 1.37816 0.258303 1.46403 0.928407
"F_1998" "F_1998" 1.88967 0.332477 2.67587 0.996273
"F_1999" "F_1999" 1.63065 0.281229 2.24248 0.987535
"F_2000" "F_2000" 1.31291 0.22834 1.37038 0.914715
"F_2001" "F_2001" 1.13261 0.166961 0.794273 0.786482
"F_2002" "F_2002" 1.21765 0.163505 1.33117 0.908433
"F_2003" "F_2003" 1.86927 0.267966 3.24395 0.999411
"F_2004" "F_2004" 1.86031 0.297851 2.88838 0.998064
"F_2005" "F_2005" 1.70797 0.310045 2.28345 0.988798
"F_2006" "F_2006" 1.4229 0.259944 1.6269 0.948121
"F_2007" "F_2007" 1.26424 0.230074 1.1485 0.874619
"F_2008" "F_2008" 1.45521 0.270064 1.68557 0.95406
"F_2009" "F_2009" 1.27161 0.213257 1.27365 0.898606
"F_2010" "F_2010" 1.29119 0.202326 1.43921 0.924955
"F_2011" "F_2011" 1.60413 0.247125 2.44464 0.99275
"F_2012" "F_2012" 1.79779 0.287622 2.77373 0.997229
"F_2013" "F_2013" 1.42893 0.235913 1.81816 0.96548
"F_2014" "F_2014" 1.76098 0.246814 3.08321 0.998976
"F_2015" "F_2015" 1.93119 0.311395 2.99037 0.998607
"F_2016" "F_2016" 1.77132 0.334881 2.30328 0.989369
"F_2017" "F_2017" 1.41094 0.248707 1.6523 0.950763
"F_2018" "F_2018" 1.57191 0.265372 2.15513 0.984424
"F_2019" "F_2019" 1.55083 0.287237 1.91769 0.972425
"F_2020" "F_2020" 1.48868 0.324702 1.50502 0.933841
"F_2021" "F_2021" 1.60048 0.435862 1.37768 0.915848
"F_2022" "F_2022" 1.06582 0.321674 0.204625 0.581067
"F_2023" "F_2023" 1.06582 0.321674 0.204625 0.581067
"Bratio_1953" "Bratio_1953" 4.6972 0.382332 9.67011 1
"Bratio_1954" "Bratio_1954" 4.29907 0.3815 8.64764 1
"Bratio_1955" "Bratio_1955" 2.19226 0.418084 2.85173 0.997826
"Bratio_1956" "Bratio_1956" 1.82332 0.361549 2.2772 0.988613
"Bratio_1957" "Bratio_1957" 1.76104 0.328579 2.31616 0.989725
"Bratio_1958" "Bratio_1958" 1.75178 0.316056 2.37862 0.991311
"Bratio_1959" "Bratio_1959" 1.39273 0.295421 1.32938 0.908139
"Bratio_1960" "Bratio_1960" 1.30883 0.28327 1.09024 0.862197
"Bratio_1961" "Bratio_1961" 1.26193 0.273835 0.95653 0.830598
"Bratio_1962" "Bratio_1962" 0.899712 0.245462 -0.408568 0.341428
"Bratio_1963" "Bratio_1963" 0.769274 0.217678 -1.05994 0.144585
"Bratio_1964" "Bratio_1964" 0.630515 0.194668 -1.89802 0.0288465
"Bratio_1965" "Bratio_1965" 0.791813 0.21342 -0.975483 0.16466
