id,Yr,Era,SSB,SSB_nofishing
58-CAAL-NZdblnorm-75,1950,VIRG,11356.2,11356.2
58-CAAL-NZdblnorm-75,1951,INIT,11356.2,11356.2
58-CAAL-NZdblnorm-75,1952,TIME,11701.4,11701.4
58-CAAL-NZdblnorm-75,1953,TIME,11801.4,11856.3
58-CAAL-NZdblnorm-75,1954,TIME,10801,12030.7
58-CAAL-NZdblnorm-75,1955,TIME,5512.82,12235.4
58-CAAL-NZdblnorm-75,1956,TIME,4587.24,12372.7
58-CAAL-NZdblnorm-75,1957,TIME,4431.06,12396.9
58-CAAL-NZdblnorm-75,1958,TIME,4406.08,12360.5
58-CAAL-NZdblnorm-75,1959,TIME,3505.66,12345.7
58-CAAL-NZdblnorm-75,1960,TIME,3293.27,12392.8
58-CAAL-NZdblnorm-75,1961,TIME,3174.59,12476.2
58-CAAL-NZdblnorm-75,1962,TIME,2264.02,12544
58-CAAL-NZdblnorm-75,1963,TIME,1937.67,12600.6
58-CAAL-NZdblnorm-75,1964,TIME,1588.61,12573
58-CAAL-NZdblnorm-75,1965,TIME,1993.97,12430.2
58-CAAL-NZdblnorm-75,1966,TIME,2039.59,12259.3
58-CAAL-NZdblnorm-75,1967,TIME,1735.12,12095.7
58-CAAL-NZdblnorm-75,1968,TIME,2175.11,11923.7
58-CAAL-NZdblnorm-75,1969,TIME,2693.66,11752.7
58-CAAL-NZdblnorm-75,1970,TIME,3113.69,11629.3
58-CAAL-NZdblnorm-75,1971,TIME,2402.22,11564.3
58-CAAL-NZdblnorm-75,1972,TIME,1731.83,11485.4
58-CAAL-NZdblnorm-75,1973,TIME,1540.89,11357
58-CAAL-NZdblnorm-75,1974,TIME,1481.49,11251.2
58-CAAL-NZdblnorm-75,1975,TIME,1588.91,11209.6
58-CAAL-NZdblnorm-75,1976,TIME,1791.97,11208.8
58-CAAL-NZdblnorm-75,1977,TIME,1875.3,11104.7
58-CAAL-NZdblnorm-75,1978,TIME,2345.58,10956
58-CAAL-NZdblnorm-75,1979,TIME,2136.11,10910.1
58-CAAL-NZdblnorm-75,1980,TIME,2028.85,11007.9
58-CAAL-NZdblnorm-75,1981,TIME,2574.53,11335.3
58-CAAL-NZdblnorm-75,1982,TIME,2183.94,11691
58-CAAL-NZdblnorm-75,1983,TIME,1691.16,11948.3
58-CAAL-NZdblnorm-75,1984,TIME,1829.2,11649.8
58-CAAL-NZdblnorm-75,1985,TIME,1837.59,11303
58-CAAL-NZdblnorm-75,1986,TIME,1662.44,10878.6
58-CAAL-NZdblnorm-75,1987,TIME,1579.41,10384.6
58-CAAL-NZdblnorm-75,1988,TIME,1457.29,9781.85
58-CAAL-NZdblnorm-75,1989,TIME,1449.39,9720.55
58-CAAL-NZdblnorm-75,1990,TIME,1349.13,10541.7
58-CAAL-NZdblnorm-75,1991,TIME,1407.31,10997.1
58-CAAL-NZdblnorm-75,1992,TIME,1538.52,10945
58-CAAL-NZdblnorm-75,1993,TIME,1800.54,10794.9
58-CAAL-NZdblnorm-75,1994,TIME,1958.51,10955.3
58-CAAL-NZdblnorm-75,1995,TIME,1702.19,11502.7
58-CAAL-NZdblnorm-75,1996,TIME,1800.97,11993
58-CAAL-NZdblnorm-75,1997,TIME,1883.79,12090.7
58-CAAL-NZdblnorm-75,1998,TIME,2152.77,12312.1
58-CAAL-NZdblnorm-75,1999,TIME,2360.86,13632.2
58-CAAL-NZdblnorm-75,2000,TIME,2217.54,14249.9
58-CAAL-NZdblnorm-75,2001,TIME,2467.46,14757.2
58-CAAL-NZdblnorm-75,2002,TIME,2561.21,14786.3
58-CAAL-NZdblnorm-75,2003,TIME,2173.78,13957.5
58-CAAL-NZdblnorm-75,2004,TIME,1715.96,13646.7
58-CAAL-NZdblnorm-75,2005,TIME,1363.67,13080.6
58-CAAL-NZdblnorm-75,2006,TIME,1384.72,12556.3
58-CAAL-NZdblnorm-75,2007,TIME,1534.11,12172.5
58-CAAL-NZdblnorm-75,2008,TIME,1589.84,11756.7
58-CAAL-NZdblnorm-75,2009,TIME,1571.78,11615.1
58-CAAL-NZdblnorm-75,2010,TIME,1681.67,11527
58-CAAL-NZdblnorm-75,2011,TIME,1613.38,11293.4
58-CAAL-NZdblnorm-75,2012,TIME,1315.77,10904.8
58-CAAL-NZdblnorm-75,2013,TIME,1081.49,10461.4
58-CAAL-NZdblnorm-75,2014,TIME,1157.45,10039.3
58-CAAL-NZdblnorm-75,2015,TIME,995.067,9755.17
58-CAAL-NZdblnorm-75,2016,TIME,890.626,9776.8
58-CAAL-NZdblnorm-75,2017,TIME,920.482,9656.45
58-CAAL-NZdblnorm-75,2018,TIME,1034.2,9575.05
58-CAAL-NZdblnorm-75,2019,TIME,1020.13,9611.94
58-CAAL-NZdblnorm-75,2020,TIME,940.679,9578.43
58-CAAL-NZdblnorm-75,2021,TIME,898.109,9361.61
58-CAAL-NZdblnorm-75,2022,TIME,1100.76,9597.57
58-CAAL-NZdblnorm-75,2023,FORE,1605.51,10489.8
