"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" -0.0140038 0.199182 "Early_InitAge" 1942
"Early_InitAge_9" -0.00518063 0.199582 "Early_InitAge" 1943
"Early_InitAge_8" -0.00506814 0.199653 "Early_InitAge" 1944
"Early_InitAge_7" -0.00201125 0.199991 "Early_InitAge" 1945
"Early_InitAge_6" 0.0078954 0.200815 "Early_InitAge" 1946
"Early_InitAge_5" 0.0300378 0.202235 "Early_InitAge" 1947
"Early_InitAge_4" 0.0612222 0.203604 "Early_InitAge" 1948
"Early_InitAge_3" 0.0733317 0.203632 "Early_InitAge" 1949
"Early_InitAge_2" 0.0774722 0.203475 "Early_InitAge" 1950
"Early_InitAge_1" 0.0990138 0.204132 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.134175 0.200523 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.110148 0.197375 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.0733135 0.195245 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.0593432 0.194434 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.0749228 0.195658 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.101642 0.197508 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.117359 0.196311 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.103826 0.197247 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.119371 0.194995 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.0834714 0.192306 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0272168 0.193109 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0254116 0.192759 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.0198729 0.193291 "Main_RecrDev" 1964
"Main_RecrDev_1965" -0.00155494 0.192284 "Main_RecrDev" 1965
"Main_RecrDev_1966" -0.0177394 0.192028 "Main_RecrDev" 1966
"Main_RecrDev_1967" -0.00671566 0.192753 "Main_RecrDev" 1967
"Main_RecrDev_1968" 0.014281 0.191436 "Main_RecrDev" 1968
"Main_RecrDev_1969" -0.0081651 0.187091 "Main_RecrDev" 1969
"Main_RecrDev_1970" -0.0490411 0.18289 "Main_RecrDev" 1970
"Main_RecrDev_1971" -0.0343972 0.183437 "Main_RecrDev" 1971
"Main_RecrDev_1972" -0.0164639 0.186322 "Main_RecrDev" 1972
"Main_RecrDev_1973" 0.0127854 0.18403 "Main_RecrDev" 1973
"Main_RecrDev_1974" -0.0708328 0.182793 "Main_RecrDev" 1974
"Main_RecrDev_1975" -0.0939183 0.180233 "Main_RecrDev" 1975
"Main_RecrDev_1976" -0.0297952 0.176361 "Main_RecrDev" 1976
"Main_RecrDev_1977" -0.00441162 0.175817 "Main_RecrDev" 1977
"Main_RecrDev_1978" 0.13953 0.149388 "Main_RecrDev" 1978
"Main_RecrDev_1979" 0.107839 0.150642 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.178675 0.133725 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.233614 0.147169 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.0532318 0.135559 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.200242 0.143873 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.21266 0.140288 "Main_RecrDev" 1984
"Main_RecrDev_1985" -0.469137 0.14829 "Main_RecrDev" 1985
"Main_RecrDev_1986" -0.155974 0.171311 "Main_RecrDev" 1986
"Main_RecrDev_1987" 0.356748 0.143564 "Main_RecrDev" 1987
"Main_RecrDev_1988" 0.0160364 0.166599 "Main_RecrDev" 1988
"Main_RecrDev_1989" -0.125629 0.16393 "Main_RecrDev" 1989
"Main_RecrDev_1990" -0.126181 0.173152 "Main_RecrDev" 1990
"Main_RecrDev_1991" 0.0422011 0.179295 "Main_RecrDev" 1991
"Main_RecrDev_1992" 0.228232 0.178749 "Main_RecrDev" 1992
"Main_RecrDev_1993" 0.193704 0.177216 "Main_RecrDev" 1993
"Main_RecrDev_1994" 0.0268677 0.166862 "Main_RecrDev" 1994
"Main_RecrDev_1995" -0.0106865 0.163585 "Main_RecrDev" 1995
"Main_RecrDev_1996" 0.691544 0.0987564 "Main_RecrDev" 1996
"Main_RecrDev_1997" 0.120335 0.12478 "Main_RecrDev" 1997
"Main_RecrDev_1998" 0.42 0.0966665 "Main_RecrDev" 1998
"Main_RecrDev_1999" 0.279138 0.0987487 "Main_RecrDev" 1999
"Main_RecrDev_2000" -0.382254 0.129119 "Main_RecrDev" 2000
"Main_RecrDev_2001" 0.318764 0.0977503 "Main_RecrDev" 2001
"Main_RecrDev_2002" -0.149393 0.14075 "Main_RecrDev" 2002
"Main_RecrDev_2003" -0.0146556 0.143662 "Main_RecrDev" 2003
"Main_RecrDev_2004" 0.0209905 0.147622 "Main_RecrDev" 2004
"Main_RecrDev_2005" -0.145339 0.155993 "Main_RecrDev" 2005
"Main_RecrDev_2006" 0.0644561 0.156356 "Main_RecrDev" 2006
"Main_RecrDev_2007" 0.0122628 0.157033 "Main_RecrDev" 2007
"Main_RecrDev_2008" -0.0822286 0.152403 "Main_RecrDev" 2008
"Main_RecrDev_2009" -0.172362 0.15347 "Main_RecrDev" 2009
"Main_RecrDev_2010" -0.21956 0.13971 "Main_RecrDev" 2010
"Main_RecrDev_2011" -0.245763 0.136757 "Main_RecrDev" 2011
"Main_RecrDev_2012" -0.255059 0.129239 "Main_RecrDev" 2012
"Main_RecrDev_2013" -0.00888393 0.113408 "Main_RecrDev" 2013
"Main_RecrDev_2014" -0.266114 0.112534 "Main_RecrDev" 2014
"Main_RecrDev_2015" -0.164193 0.107208 "Main_RecrDev" 2015
"Main_RecrDev_2016" -0.101994 0.117304 "Main_RecrDev" 2016
"Main_RecrDev_2017" -0.140884 0.123528 "Main_RecrDev" 2017
"Main_RecrDev_2018" -0.375205 0.117714 "Main_RecrDev" 2018
"Main_RecrDev_2019" -0.0479888 0.121261 "Main_RecrDev" 2019
"Main_RecrDev_2020" 0.327412 0.151009 "Main_RecrDev" 2020
"Main_RecrDev_2021" 0.070392 0.179322 "Main_RecrDev" 2021
"Late_RecrDev_2022" 0.040742 0.19916 "Late_RecrDev" 2022
"ForeRecr_2023" 0 0.2 "ForeRecr" 2023
