id,Year,B.Bmsy,F.Fmsy
58-CAAL-NZdblnorm-75,1952,4.65795,0.015483
58-CAAL-NZdblnorm-75,1953,4.69776,0.183953
58-CAAL-NZdblnorm-75,1954,4.29954,1.27238
58-CAAL-NZdblnorm-75,1955,2.19448,0.814825
58-CAAL-NZdblnorm-75,1956,1.82604,0.673914
58-CAAL-NZdblnorm-75,1957,1.76387,0.616261
58-CAAL-NZdblnorm-75,1958,1.75393,1.0748
58-CAAL-NZdblnorm-75,1959,1.39549,0.96395
58-CAAL-NZdblnorm-75,1960,1.31095,1.02935
58-CAAL-NZdblnorm-75,1961,1.26371,1.73609
58-CAAL-NZdblnorm-75,1962,0.901235,1.66172
58-CAAL-NZdblnorm-75,1963,0.771327,1.96094
58-CAAL-NZdblnorm-75,1964,0.632376,1.0785
58-CAAL-NZdblnorm-75,1965,0.793738,1.23621
58-CAAL-NZdblnorm-75,1966,0.811898,1.61459
58-CAAL-NZdblnorm-75,1967,0.690697,0.842084
58-CAAL-NZdblnorm-75,1968,0.865842,0.639926
58-CAAL-NZdblnorm-75,1969,1.07226,0.595215
58-CAAL-NZdblnorm-75,1970,1.23946,1.34865
58-CAAL-NZdblnorm-75,1971,0.95625,1.93931
58-CAAL-NZdblnorm-75,1972,0.689388,2.09134
58-CAAL-NZdblnorm-75,1973,0.613381,2.05077
58-CAAL-NZdblnorm-75,1974,0.589734,1.78984
58-CAAL-NZdblnorm-75,1975,0.632494,1.32839
58-CAAL-NZdblnorm-75,1976,0.71333,1.23584
58-CAAL-NZdblnorm-75,1977,0.7465,0.627058
58-CAAL-NZdblnorm-75,1978,0.933702,1.15274
58-CAAL-NZdblnorm-75,1979,0.850319,1.23717
58-CAAL-NZdblnorm-75,1980,0.807623,0.84008
58-CAAL-NZdblnorm-75,1981,1.02484,1.55848
58-CAAL-NZdblnorm-75,1982,0.869358,2.01056
58-CAAL-NZdblnorm-75,1983,0.6732,1.32299
58-CAAL-NZdblnorm-75,1984,0.728149,1.37158
58-CAAL-NZdblnorm-75,1985,0.731489,1.31874
58-CAAL-NZdblnorm-75,1986,0.661767,1.23536
58-CAAL-NZdblnorm-75,1987,0.628714,1.21466
58-CAAL-NZdblnorm-75,1988,0.580102,1.59466
58-CAAL-NZdblnorm-75,1989,0.576958,2.4556
58-CAAL-NZdblnorm-75,1990,0.537048,1.71012
58-CAAL-NZdblnorm-75,1991,0.560207,1.31056
58-CAAL-NZdblnorm-75,1992,0.612439,0.960286
58-CAAL-NZdblnorm-75,1993,0.716739,1.19863
58-CAAL-NZdblnorm-75,1994,0.779622,1.93618
58-CAAL-NZdblnorm-75,1995,0.67759,1.79961
58-CAAL-NZdblnorm-75,1996,0.716912,1.54586
58-CAAL-NZdblnorm-75,1997,0.749879,1.37179
58-CAAL-NZdblnorm-75,1998,0.856951,1.88161
58-CAAL-NZdblnorm-75,1999,0.939787,1.62182
58-CAAL-NZdblnorm-75,2000,0.882736,1.30626
58-CAAL-NZdblnorm-75,2001,0.982221,1.12945
58-CAAL-NZdblnorm-75,2002,1.01954,1.21458
58-CAAL-NZdblnorm-75,2003,0.865314,1.85794
58-CAAL-NZdblnorm-75,2004,0.683072,1.84797
58-CAAL-NZdblnorm-75,2005,0.542834,1.69781
58-CAAL-NZdblnorm-75,2006,0.551215,1.41397
58-CAAL-NZdblnorm-75,2007,0.610682,1.2565
58-CAAL-NZdblnorm-75,2008,0.632866,1.44676
58-CAAL-NZdblnorm-75,2009,0.625676,1.26537
58-CAAL-NZdblnorm-75,2010,0.669421,1.28488
58-CAAL-NZdblnorm-75,2011,0.642235,1.59557
58-CAAL-NZdblnorm-75,2012,0.523769,1.78682
58-CAAL-NZdblnorm-75,2013,0.430506,1.42192
58-CAAL-NZdblnorm-75,2014,0.460744,1.75254
58-CAAL-NZdblnorm-75,2015,0.396105,1.92155
58-CAAL-NZdblnorm-75,2016,0.354531,1.7629
58-CAAL-NZdblnorm-75,2017,0.366415,1.40192
58-CAAL-NZdblnorm-75,2018,0.411685,1.56466
58-CAAL-NZdblnorm-75,2019,0.406081,1.53958
58-CAAL-NZdblnorm-75,2020,0.374455,1.47067
58-CAAL-NZdblnorm-75,2021,0.35751,1.58194
58-CAAL-NZdblnorm-75,2022,0.438177,1.0551
58-CAAL-NZdblnorm-75,2023,0.639103,1.0551
