id,Yr,SpawnBio,bias_adjusted,pred_recr
58-CAAL-NZdblnorm-75,1942,11356.2,160.237,158.008
58-CAAL-NZdblnorm-75,1943,11356.2,160.237,159.409
58-CAAL-NZdblnorm-75,1944,11356.2,160.237,159.426
58-CAAL-NZdblnorm-75,1945,11356.2,160.237,159.915
58-CAAL-NZdblnorm-75,1946,11356.2,160.237,161.507
58-CAAL-NZdblnorm-75,1947,11356.2,160.237,165.123
58-CAAL-NZdblnorm-75,1948,11356.2,160.237,170.353
58-CAAL-NZdblnorm-75,1949,11356.2,160.237,172.429
58-CAAL-NZdblnorm-75,1950,11356.2,160.237,173.144
58-CAAL-NZdblnorm-75,1951,11356.2,160.237,176.914
58-CAAL-NZdblnorm-75,1952,11701.4,160.533,183.584
58-CAAL-NZdblnorm-75,1953,11801.4,160.615,179.318
58-CAAL-NZdblnorm-75,1954,10801,159.723,171.873
58-CAAL-NZdblnorm-75,1955,5512.82,150.281,159.469
58-CAAL-NZdblnorm-75,1956,4587.24,146.707,158.121
58-CAAL-NZdblnorm-75,1957,4431.06,145.978,161.596
58-CAAL-NZdblnorm-75,1958,4406.08,145.857,164.02
58-CAAL-NZdblnorm-75,1959,3505.66,140.564,155.942
58-CAAL-NZdblnorm-75,1960,3293.27,138.972,156.592
58-CAAL-NZdblnorm-75,1961,3174.59,138.008,150.022
58-CAAL-NZdblnorm-75,1962,2264.02,128.088,131.622
58-CAAL-NZdblnorm-75,1963,1937.67,122.874,126.036
58-CAAL-NZdblnorm-75,1964,1588.61,115.704,118.026
58-CAAL-NZdblnorm-75,1965,1993.97,123.8,123.607
58-CAAL-NZdblnorm-75,1966,2039.59,124.538,122.348
58-CAAL-NZdblnorm-75,1967,1735.12,118.864,118.068
58-CAAL-NZdblnorm-75,1968,2175.11,126.617,128.438
58-CAAL-NZdblnorm-75,1969,2693.66,133.209,132.126
58-CAAL-NZdblnorm-75,1970,3113.69,137.24,130.672
58-CAAL-NZdblnorm-75,1971,2402.22,129.696,125.311
58-CAAL-NZdblnorm-75,1972,1731.83,118.661,116.723
58-CAAL-NZdblnorm-75,1973,1540.89,114.325,115.796
58-CAAL-NZdblnorm-75,1974,1481.49,112.809,105.095
58-CAAL-NZdblnorm-75,1975,1588.91,115.422,105.075
58-CAAL-NZdblnorm-75,1976,1791.97,119.775,116.259
58-CAAL-NZdblnorm-75,1977,1875.3,121.35,120.815
58-CAAL-NZdblnorm-75,1978,2345.58,128.745,148.023
58-CAAL-NZdblnorm-75,1979,2136.11,125.708,140.022
58-CAAL-NZdblnorm-75,1980,2028.85,123.965,148.217
58-CAAL-NZdblnorm-75,1981,2574.53,131.511,104.113
58-CAAL-NZdblnorm-75,1982,2183.94,126.347,119.797
58-CAAL-NZdblnorm-75,1983,1691.16,117.505,96.1816
58-CAAL-NZdblnorm-75,1984,1829.2,120.285,97.242
58-CAAL-NZdblnorm-75,1985,1837.59,120.419,75.3268
58-CAAL-NZdblnorm-75,1986,1662.44,116.801,99.9326
58-CAAL-NZdblnorm-75,1987,1579.41,114.885,164.133
58-CAAL-NZdblnorm-75,1988,1457.29,111.823,113.63
58-CAAL-NZdblnorm-75,1989,1449.39,111.589,98.4152
58-CAAL-NZdblnorm-75,1990,1349.13,108.79,95.8937
58-CAAL-NZdblnorm-75,1991,1407.31,110.406,115.165
58-CAAL-NZdblnorm-75,1992,1538.52,113.775,142.944
58-CAAL-NZdblnorm-75,1993,1800.54,119.482,145.02
58-CAAL-NZdblnorm-75,1994,1958.51,122.377,125.709
58-CAAL-NZdblnorm-75,1995,1702.19,117.42,116.172
58-CAAL-NZdblnorm-75,1996,1800.97,119.409,238.436
58-CAAL-NZdblnorm-75,1997,1883.79,120.956,136.423
58-CAAL-NZdblnorm-75,1998,2152.77,125.421,190.885
58-CAAL-NZdblnorm-75,1999,2360.86,128.335,169.658
58-CAAL-NZdblnorm-75,2000,2217.54,126.324,86.1933
58-CAAL-NZdblnorm-75,2001,2467.46,129.636,178.305
58-CAAL-NZdblnorm-75,2002,2561.21,130.73,112.589
58-CAAL-NZdblnorm-75,2003,2173.78,125.594,123.767
58-CAAL-NZdblnorm-75,2004,1715.96,117.47,119.962
58-CAAL-NZdblnorm-75,2005,1363.67,108.837,94.1145
58-CAAL-NZdblnorm-75,2006,1384.72,109.406,116.69
58-CAAL-NZdblnorm-75,2007,1534.11,113.306,114.704
58-CAAL-NZdblnorm-75,2008,1589.84,114.633,105.584
58-CAAL-NZdblnorm-75,2009,1571.78,114.21,96.1276
58-CAAL-NZdblnorm-75,2010,1681.67,116.689,93.6859
58-CAAL-NZdblnorm-75,2011,1613.38,115.175,90.0794
58-CAAL-NZdblnorm-75,2012,1315.77,107.417,83.234
58-CAAL-NZdblnorm-75,2013,1081.49,99.5416,98.6612
58-CAAL-NZdblnorm-75,2014,1157.45,102.306,78.4024
58-CAAL-NZdblnorm-75,2015,995.067,96.1053,81.5529
58-CAAL-NZdblnorm-75,2016,890.626,91.4713,82.6018
58-CAAL-NZdblnorm-75,2017,920.482,92.8548,80.6528
58-CAAL-NZdblnorm-75,2018,1034.2,97.7026,67.1362
58-CAAL-NZdblnorm-75,2019,1020.13,97.1362,92.5848
58-CAAL-NZdblnorm-75,2020,940.679,93.7633,130.085
58-CAAL-NZdblnorm-75,2021,898.109,91.8227,98.5192
58-CAAL-NZdblnorm-75,2022,1100.76,101.272,105.483
58-CAAL-NZdblnorm-75,2023,1605.51,116.151,116.151
