id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1979.83,1.86281,1.34199,0.333202,0.32793,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1980.83,1.31391,1.59092,0.33254,-0.191305,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1981.83,1.2559,1.47219,0.332625,-0.158896,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1982.83,1.50646,1.15898,0.326376,0.26222,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1983.83,0.922278,1.14222,0.330303,-0.213879,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1984.83,1.32673,1.12299,0.323343,0.166718,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1985.83,0.877509,1.06298,0.321945,-0.191741,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1986.83,0.855618,0.998049,0.335276,-0.153979,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1987.83,0.835362,0.9136,0.345836,-0.0895279,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1988.83,0.736157,0.879096,0.35762,-0.177451,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1989.83,1.65752,0.875584,0.320639,0.638186,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1990.83,1.13159,0.91261,0.336645,0.215071,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1991.83,1.02708,0.951659,0.345696,0.0762686,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1992.83,0.558306,1.10005,0.384414,-0.678208,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1993.83,0.81207,1.14668,0.34892,-0.34504,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1994.83,1.12053,1.05434,0.341153,0.0608844,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1995.83,1.11373,1.06728,0.358465,0.0425984,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1996.83,1.1907,1.10745,0.34189,0.072478,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1997.83,1.31626,1.23612,0.348221,0.0628209,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1998.83,1.99334,1.44464,0.32869,0.321952,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,1999.83,1.18608,1.36951,0.36947,-0.1438,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2000.83,0.788006,1.52555,0.384061,-0.660602,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2001.83,0.727835,1.58534,0.380242,-0.778481,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2002.83,0.803887,1.36431,0.361598,-0.528948,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2003.83,1.3191,1.06593,0.345035,0.213103,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2004.83,1.26325,0.872263,0.348968,0.370352,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2005.83,1.04284,0.860569,0.364489,0.19211,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2006.83,0.740614,0.925993,0.374613,-0.223388,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2007.83,0.829133,0.998968,0.363606,-0.186343,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2008.83,1.047,0.97185,0.36146,0.0744831,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2009.83,0.645173,1.02831,0.380014,-0.466157,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2010.83,0.790723,0.989724,0.376337,-0.224478,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2011.83,0.722675,0.825273,0.38025,-0.132754,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2012.83,0.69595,0.678514,0.384556,0.0253724,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2013.83,0.717588,0.687282,0.38891,0.0431502,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2014.83,0.790042,0.634232,0.384902,0.219671,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2015.83,0.78514,0.57305,0.386274,0.314889,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2016.83,0.687733,0.568566,0.380715,0.190284,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2017.83,0.591417,0.62355,0.367136,-0.0529069,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2018.83,0.724244,0.669798,0.376776,0.0781525,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2019.83,0.794833,0.603001,0.361991,0.276213,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2020.83,0.742562,0.565134,0.372401,0.273044,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2021.83,1.23811,0.66567,0.357539,0.620548,1
59-CAAL-NZdblnorm-99,16,S01_INDEX.1-4,2022.83,0.912191,0.971212,0.383859,-0.0626958,1
