Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60-CAAL-NZdblnormV2-01
Catch_like,0.534407,0.00286914,0.000803687,0.0040065,0.0043473,0.000301349,0.000266789,0.000392071,0.000313715,0.000406609,0.00534224,0.000158641,0.00143454,0.000879292,0.000116922,0.512768,0,60-CAAL-NZdblnormV2-01
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60-CAAL-NZdblnormV2-01
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60-CAAL-NZdblnormV2-01
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60-CAAL-NZdblnormV2-01
Surv_like,-26.8388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.8388,60-CAAL-NZdblnormV2-01
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,60-CAAL-NZdblnormV2-01
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60-CAAL-NZdblnormV2-01
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,60-CAAL-NZdblnormV2-01
Length_like,111.05,0,0,14.1872,0,6.31995,0,0,0,0,21.4219,41.226,0,0,27.8954,0,0,60-CAAL-NZdblnormV2-01
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,60-CAAL-NZdblnormV2-01
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60-CAAL-NZdblnormV2-01
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,60-CAAL-NZdblnormV2-01
Age_like,0.114507,0,0,0,0,0,0,0,0,0.0362291,0.0516465,0,0.0266316,0,0,0,0,60-CAAL-NZdblnormV2-01
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,60-CAAL-NZdblnormV2-01
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60-CAAL-NZdblnormV2-01
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,60-CAAL-NZdblnormV2-01
SizeFreq_like:_1,760.821,,84.7622,32.9486,,,335.822,186.591,,55.7754,55.8902,,,,,,9.03152,60-CAAL-NZdblnormV2-01
