id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
62-CAAL-NZdblnormV2-5,1,1952.37,0.002,0.002,0.157315,0.002,4.28165e-05,2.24637e-08,1
62-CAAL-NZdblnormV2-5,1,1952.62,0.002,0.002,0.157468,0.002,4.262e-05,2.226e-08,1
62-CAAL-NZdblnormV2-5,1,1953.12,0.068,0.0679998,5.35827,0.0679998,0.00144016,2.28621e-08,1
62-CAAL-NZdblnormV2-5,1,1953.37,0.014,0.014,1.10396,0.014,0.000295969,2.20676e-08,1
62-CAAL-NZdblnormV2-5,1,1953.62,0.023,0.0229999,1.81684,0.0229999,0.000484893,5.29868e-08,1
62-CAAL-NZdblnormV2-5,1,1953.87,0.024,0.023997,1.87938,0.023997,0.00052077,6.38743e-05,1
62-CAAL-NZdblnormV2-5,1,1954.12,0.175,0.174999,13.5454,0.174999,0.00391467,4.07237e-08,1
62-CAAL-NZdblnormV2-5,1,1954.37,0.328,0.327999,25.396,0.327999,0.00733258,2.55178e-08,1
62-CAAL-NZdblnormV2-5,1,1954.62,0.257,0.256996,19.6754,0.256996,0.00594833,8.77626e-07,1
62-CAAL-NZdblnormV2-5,1,1954.87,0.34,0.340173,24.1412,0.340173,0.00955509,0.00106987,1
62-CAAL-NZdblnormV2-5,1,1955.12,0.216,0.215999,14.2469,0.215999,0.00690722,7.24001e-08,1
62-CAAL-NZdblnormV2-5,1,1955.37,0.228,0.227999,15.099,0.227999,0.00707863,5.12612e-08,1
62-CAAL-NZdblnormV2-5,1,1955.62,0.184,0.183999,12.126,0.183999,0.00571264,5.03684e-08,1
62-CAAL-NZdblnormV2-5,1,1955.87,0.412,0.412007,26.2713,0.412007,0.0136489,1.33415e-06,1
62-CAAL-NZdblnormV2-5,1,1956.12,0.14,0.139999,8.75449,0.139999,0.00475157,7.16658e-08,1
62-CAAL-NZdblnormV2-5,1,1956.37,0.201,0.200999,12.727,0.200999,0.00655634,5.8453e-08,1
62-CAAL-NZdblnormV2-5,1,1956.62,0.112,0.112,7.14009,0.112,0.00358822,7.09105e-08,1
62-CAAL-NZdblnormV2-5,1,1956.87,0.255,0.255003,15.958,0.255003,0.00855078,7.1569e-07,1
62-CAAL-NZdblnormV2-5,1,1957.12,0.125,0.125,7.73328,0.125,0.00426811,6.16284e-08,1
62-CAAL-NZdblnormV2-5,1,1957.37,0.098,0.0979996,6.16171,0.0979996,0.00321143,6.28948e-08,1
62-CAAL-NZdblnormV2-5,1,1957.62,0.234,0.233999,14.8912,0.233999,0.00747725,1.2068e-07,1
62-CAAL-NZdblnormV2-5,1,1957.87,0.645,0.645008,40.5232,0.645008,0.0214301,6.89999e-07,1
62-CAAL-NZdblnormV2-5,1,1958.12,0.27,0.269999,16.7965,0.269999,0.00916542,5.70014e-08,1
62-CAAL-NZdblnormV2-5,1,1958.37,0.241,0.240999,15.2372,0.240999,0.00788573,5.44269e-08,1
62-CAAL-NZdblnormV2-5,1,1958.62,0.61,0.609998,38.7935,0.609998,0.0198702,5.51395e-08,1
62-CAAL-NZdblnormV2-5,1,1958.87,1.446,1.44611,88.9296,1.44611,0.0517578,2.18662e-05,1
62-CAAL-NZdblnormV2-5,1,1959.12,0.22,0.219999,13.1926,0.219999,0.00829044,7.3044e-08,1
62-CAAL-NZdblnormV2-5,1,1959.37,0.264,0.263999,16.0834,0.263999,0.00954593,9.19572e-08,1
62-CAAL-NZdblnormV2-5,1,1959.62,0.534,0.533999,32.5117,0.533999,0.0193362,1.13649e-08,1
62-CAAL-NZdblnormV2-5,1,1959.87,0.9,0.900003,53.5235,0.900003,0.0342876,3.28579e-08,1
62-CAAL-NZdblnormV2-5,1,1960.12,0.211,0.210999,12.4889,0.210999,0.00804857,7.73591e-08,1
62-CAAL-NZdblnormV2-5,1,1960.37,0.495,0.494998,29.8386,0.494998,0.0180548,7.72522e-08,1
62-CAAL-NZdblnormV2-5,1,1960.62,0.654,0.654002,39.2712,0.654002,0.0241839,4.42682e-08,1
62-CAAL-NZdblnormV2-5,1,1960.87,0.978,0.977999,57.3152,0.977999,0.0382313,6.45094e-09,1
62-CAAL-NZdblnormV2-5,1,1961.12,0.589,0.588998,34.4905,0.588998,0.0229776,7.34705e-08,1
62-CAAL-NZdblnormV2-5,1,1961.37,0.423,0.422998,25.3044,0.422998,0.015761,8.48665e-08,1
62-CAAL-NZdblnormV2-5,1,1961.62,7.602,7.60206,450.962,7.60206,0.296227,2.69556e-07,1
62-CAAL-NZdblnormV2-5,1,1961.87,0.933,0.933064,52.6997,0.933064,0.0412681,1.91639e-05,1
62-CAAL-NZdblnormV2-5,1,1962.12,1.645,1.64499,91.3106,1.64499,0.0751373,1.05481e-07,1
62-CAAL-NZdblnormV2-5,1,1962.37,0.47,0.469998,26.6997,0.469998,0.0204578,1.09839e-07,1
62-CAAL-NZdblnormV2-5,1,1962.62,1.061,1.061,60.5859,1.061,0.0463708,7.06628e-09,1
62-CAAL-NZdblnormV2-5,1,1962.87,1.322,1.32207,73.0685,1.32207,0.063174,1.32647e-05,1
62-CAAL-NZdblnormV2-5,1,1963.12,1.526,1.52599,83.283,1.52599,0.0748605,1.14635e-07,1
62-CAAL-NZdblnormV2-5,1,1963.37,0.767,0.766996,42.6742,0.766996,0.0362843,1.02724e-07,1
62-CAAL-NZdblnormV2-5,1,1963.62,1.105,1.10499,61.9935,1.10499,0.0520256,9.7981e-08,1
62-CAAL-NZdblnormV2-5,1,1963.87,1.758,1.75826,95.5325,1.75826,0.0905498,9.38783e-05,1
62-CAAL-NZdblnormV2-5,1,1964.12,0.843,0.842995,44.8372,0.842995,0.0452606,1.51154e-07,1
62-CAAL-NZdblnormV2-5,1,1964.37,0.588,0.587997,32.078,0.587997,0.0299398,1.28606e-07,1
62-CAAL-NZdblnormV2-5,1,1964.62,0.4,0.399998,22.158,0.399998,0.0199143,9.97008e-08,1
62-CAAL-NZdblnormV2-5,1,1964.87,0.468,0.467998,25.9845,0.467998,0.023522,7.30408e-08,1
62-CAAL-NZdblnormV2-5,1,1965.12,2.134,2.13399,119.907,2.13399,0.105938,1.16798e-07,1
62-CAAL-NZdblnormV2-5,1,1965.37,1.537,1.53699,88.193,1.53699,0.0741306,1.08322e-07,1
62-CAAL-NZdblnormV2-5,1,1965.62,0.718,0.717997,41.4999,0.717997,0.0348756,5.78545e-08,1
62-CAAL-NZdblnormV2-5,1,1965.87,0.641,0.640999,36.7828,0.640999,0.03239,1.46099e-08,1
62-CAAL-NZdblnormV2-5,1,1966.12,0.623,0.622996,35.8945,0.622996,0.0315591,1.35227e-07,1
62-CAAL-NZdblnormV2-5,1,1966.37,1.634,1.63399,95.4853,1.63399,0.0811512,1.2181e-07,1
62-CAAL-NZdblnormV2-5,1,1966.62,0.55,0.550002,31.9376,0.550002,0.0282169,7.21113e-08,1
62-CAAL-NZdblnormV2-5,1,1966.87,0.582,0.582002,33.0544,0.582002,0.0316,7.32959e-08,1
62-CAAL-NZdblnormV2-5,1,1967.12,0.637,0.636996,36.126,0.636996,0.0344984,1.46496e-07,1
62-CAAL-NZdblnormV2-5,1,1967.37,0.479,0.478997,27.5947,0.478997,0.0250228,1.28332e-07,1
62-CAAL-NZdblnormV2-5,1,1967.62,0.625,0.624997,36.098,0.624997,0.0325504,1.07841e-07,1
62-CAAL-NZdblnormV2-5,1,1967.87,0.399,0.398998,22.9857,0.398998,0.0208708,1.38706e-07,1
62-CAAL-NZdblnormV2-5,1,1968.12,1.094,1.09399,63.5049,1.09399,0.055998,1.29995e-07,1
62-CAAL-NZdblnormV2-5,1,1968.37,0.608,0.607997,35.6439,0.607997,0.0302714,1.15475e-07,1
62-CAAL-NZdblnormV2-5,1,1968.62,0.194,0.193999,11.425,0.193999,0.00951212,1.33096e-07,1
62-CAAL-NZdblnormV2-5,1,1968.87,0.265,0.264998,15.6804,0.264998,0.0127991,1.52634e-07,1
62-CAAL-NZdblnormV2-5,1,1969.12,0.721,0.720996,42.9095,0.720996,0.034288,1.01859e-07,1
62-CAAL-NZdblnormV2-5,1,1969.37,0.366,0.365998,22.0067,0.365998,0.0169779,1.06352e-07,1
62-CAAL-NZdblnormV2-5,1,1969.62,0.151,0.150999,9.19182,0.150999,0.00682765,1.12569e-07,1
62-CAAL-NZdblnormV2-5,1,1969.87,0.531,0.530997,32.4879,0.530997,0.0238779,1.29346e-07,1
62-CAAL-NZdblnormV2-5,1,1970.12,1.161,1.16099,71.2384,1.16099,0.052217,9.80128e-08,1
62-CAAL-NZdblnormV2-5,1,1970.37,0.53,0.529997,32.7315,0.529997,0.0235959,9.40103e-08,1
62-CAAL-NZdblnormV2-5,1,1970.62,0.988,0.987997,60.73,0.987997,0.044941,4.73145e-08,1
62-CAAL-NZdblnormV2-5,1,1970.87,1.946,1.94602,115.723,1.94602,0.0962666,5.83349e-07,1
62-CAAL-NZdblnormV2-5,1,1971.12,9.127,9.12695,520.44,9.12695,0.498769,1.0081e-07,1
62-CAAL-NZdblnormV2-5,1,1971.37,0.616,0.615996,34.5948,0.615996,0.0344455,1.48123e-07,1
