"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11240.5 442.682 NA NA
"SSB_Initial" "SSB_Initial" 11240.5 442.682 NA NA
"SSB_1952" "SSB_1952" 11445.6 972.883 NA NA
"SSB_1953" "SSB_1953" 11625.4 925.959 NA NA
"SSB_1954" "SSB_1954" 10725 907.674 NA NA
"SSB_1955" "SSB_1955" 5649.31 995.245 NA NA
"SSB_1956" "SSB_1956" 4596.52 859.323 NA NA
"SSB_1957" "SSB_1957" 4376.62 778.488 NA NA
"SSB_1958" "SSB_1958" 4432.82 748.746 NA NA
"SSB_1959" "SSB_1959" 3681.05 719.057 NA NA
"SSB_1960" "SSB_1960" 3487.98 711.8 NA NA
"SSB_1961" "SSB_1961" 3314.22 693.295 NA NA
"SSB_1962" "SSB_1962" 2461.9 618.317 NA NA
"SSB_1963" "SSB_1963" 2166.4 558.877 NA NA
"SSB_1964" "SSB_1964" 1841.95 509.419 NA NA
"SSB_1965" "SSB_1965" 2321.35 539.031 NA NA
"SSB_1966" "SSB_1966" 2489.73 552.55 NA NA
"SSB_1967" "SSB_1967" 2274.98 570.713 NA NA
"SSB_1968" "SSB_1968" 2619.65 602.991 NA NA
"SSB_1969" "SSB_1969" 3038.76 631.594 NA NA
"SSB_1970" "SSB_1970" 3444.58 637.869 NA NA
"SSB_1971" "SSB_1971" 2700.92 595.344 NA NA
"SSB_1972" "SSB_1972" 1957.65 539.972 NA NA
"SSB_1973" "SSB_1973" 1747.55 496.94 NA NA
"SSB_1974" "SSB_1974" 1841.81 476.045 NA NA
"SSB_1975" "SSB_1975" 2154.42 479.055 NA NA
"SSB_1976" "SSB_1976" 2446.07 493.687 NA NA
"SSB_1977" "SSB_1977" 2515.27 520.523 NA NA
"SSB_1978" "SSB_1978" 2924.06 561.863 NA NA
"SSB_1979" "SSB_1979" 2626.97 565.791 NA NA
"SSB_1980" "SSB_1980" 2582.67 564.154 NA NA
"SSB_1981" "SSB_1981" 3085.97 548.115 NA NA
"SSB_1982" "SSB_1982" 2676.03 506.075 NA NA
"SSB_1983" "SSB_1983" 2195.37 474.411 NA NA
"SSB_1984" "SSB_1984" 2372.66 475.961 NA NA
"SSB_1985" "SSB_1985" 2375.86 461.454 NA NA
"SSB_1986" "SSB_1986" 2214.42 442.704 NA NA
"SSB_1987" "SSB_1987" 2048.97 430.235 NA NA
"SSB_1988" "SSB_1988" 1917.38 436.483 NA NA
"SSB_1989" "SSB_1989" 1884.35 426.586 NA NA
"SSB_1990" "SSB_1990" 1718.26 397.017 NA NA
"SSB_1991" "SSB_1991" 1820.19 423.104 NA NA
"SSB_1992" "SSB_1992" 1993.22 458.858 NA NA
"SSB_1993" "SSB_1993" 2303.22 491.262 NA NA
"SSB_1994" "SSB_1994" 2457.28 504.225 NA NA
"SSB_1995" "SSB_1995" 1996.11 461.144 NA NA
