"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" -0.0661989 0.198164 "Early_InitAge" 1942
"Early_InitAge_9" -0.0167452 0.198925 "Early_InitAge" 1943
"Early_InitAge_8" 0.00169475 0.200276 "Early_InitAge" 1944
"Early_InitAge_7" 0.0375242 0.202224 "Early_InitAge" 1945
"Early_InitAge_6" 0.0758558 0.203908 "Early_InitAge" 1946
"Early_InitAge_5" 0.0865389 0.204313 "Early_InitAge" 1947
"Early_InitAge_4" 0.0942942 0.204559 "Early_InitAge" 1948
"Early_InitAge_3" 0.119151 0.205211 "Early_InitAge" 1949
"Early_InitAge_2" 0.139608 0.203664 "Early_InitAge" 1950
"Early_InitAge_1" 0.105965 0.200159 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.0744795 0.195056 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.055674 0.194322 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.0744121 0.196177 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.100407 0.199061 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.113433 0.198514 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.112253 0.198524 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.121178 0.195965 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.0809899 0.194421 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.040721 0.194131 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.0367116 0.193465 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0279619 0.194613 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0143249 0.194671 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.00594159 0.194684 "Main_RecrDev" 1964
"Main_RecrDev_1965" 0.0172246 0.19395 "Main_RecrDev" 1965
"Main_RecrDev_1966" 0.0289138 0.19231 "Main_RecrDev" 1966
"Main_RecrDev_1967" 0.00713389 0.190338 "Main_RecrDev" 1967
"Main_RecrDev_1968" 0.000170402 0.189408 "Main_RecrDev" 1968
"Main_RecrDev_1969" 0.0356246 0.187493 "Main_RecrDev" 1969
"Main_RecrDev_1970" 0.0388674 0.185363 "Main_RecrDev" 1970
"Main_RecrDev_1971" 0.0076392 0.182928 "Main_RecrDev" 1971
"Main_RecrDev_1972" -0.0686999 0.183283 "Main_RecrDev" 1972
"Main_RecrDev_1973" -0.0645239 0.183635 "Main_RecrDev" 1973
"Main_RecrDev_1974" 0.00815397 0.182978 "Main_RecrDev" 1974
"Main_RecrDev_1975" 0.098308 0.180044 "Main_RecrDev" 1975
"Main_RecrDev_1976" 0.185129 0.163675 "Main_RecrDev" 1976
"Main_RecrDev_1977" 0.158362 0.162486 "Main_RecrDev" 1977
"Main_RecrDev_1978" 0.162349 0.14846 "Main_RecrDev" 1978
"Main_RecrDev_1979" -0.119303 0.158719 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.00273335 0.146593 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.198652 0.149245 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.303212 0.149564 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.428643 0.157331 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.155319 0.174021 "Main_RecrDev" 1984
"Main_RecrDev_1985" 0.300059 0.149717 "Main_RecrDev" 1985
"Main_RecrDev_1986" -0.0124258 0.172846 "Main_RecrDev" 1986
"Main_RecrDev_1987" -0.1348 0.16979 "Main_RecrDev" 1987
"Main_RecrDev_1988" -0.0917761 0.177905 "Main_RecrDev" 1988
"Main_RecrDev_1989" 0.0726208 0.180787 "Main_RecrDev" 1989
"Main_RecrDev_1990" 0.179964 0.18328 "Main_RecrDev" 1990
"Main_RecrDev_1991" 0.119504 0.17919 "Main_RecrDev" 1991
"Main_RecrDev_1992" -0.0215277 0.167916 "Main_RecrDev" 1992
"Main_RecrDev_1993" -0.0539757 0.172072 "Main_RecrDev" 1993
