id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
64-CAAL-NZdblnormV2-99,1,0,0.707867,52.6562,9.9314,0.929858,6.4878e-11,0,
64-CAAL-NZdblnormV2-99,1,1,0.4718,128.319,10.4423,20.0051,0.000241491,0.00830372,
64-CAAL-NZdblnormV2-99,1,2,0.4007,169.559,10.7207,53.6689,0.200707,13.4981,
64-CAAL-NZdblnormV2-99,1,3,0.3766,192.038,10.8725,83.5427,0.780612,68.8761,
64-CAAL-NZdblnormV2-99,1,4,0.3669,204.29,10.9552,104.115,0.947482,100.096,
64-CAAL-NZdblnormV2-99,1,5,0.3629,210.968,11.0003,116.752,0.980349,115.125,
64-CAAL-NZdblnormV2-99,1,6,0.3612,214.608,11.0249,124.088,0.989066,123.14,
64-CAAL-NZdblnormV2-99,1,7,0.3605,216.592,11.0383,128.224,0.992158,127.526,
64-CAAL-NZdblnormV2-99,1,8,0.3602,217.673,11.0456,130.52,0.99348,129.931,
64-CAAL-NZdblnormV2-99,1,9,0.36,218.262,11.0495,131.784,0.99411,131.248,
64-CAAL-NZdblnormV2-99,1,10,0.36,218.705,11.0517,132.738,0.994546,132.238,
64-CAAL-NZdblnormV2-99,1,0.25,0.64885,76.0676,10.0895,3.22345,7.02321e-09,0,
64-CAAL-NZdblnormV2-99,1,1.25,0.454025,141.079,10.5284,27.966,0.00285419,0.00830372,
64-CAAL-NZdblnormV2-99,1,2.25,0.394675,176.514,10.7677,61.9075,0.367571,13.4981,
64-CAAL-NZdblnormV2-99,1,3.25,0.374175,195.829,10.8981,89.561,0.85096,68.8761,
64-CAAL-NZdblnormV2-99,1,4.25,0.3659,206.356,10.9691,107.914,0.960712,100.096,
64-CAAL-NZdblnormV2-99,1,5.25,0.362475,212.094,11.0079,118.988,0.983552,115.125,
64-CAAL-NZdblnormV2-99,1,6.25,0.361025,215.221,11.029,125.358,0.990126,123.14,
64-CAAL-NZdblnormV2-99,1,7.25,0.360425,216.926,11.0405,128.931,0.992591,127.526,
64-CAAL-NZdblnormV2-99,1,8.25,0.36015,217.855,11.0468,130.91,0.993681,129.931,
64-CAAL-NZdblnormV2-99,1,9.25,0.36,218.362,11.0502,131.998,0.99421,131.248,
64-CAAL-NZdblnormV2-99,1,10.25,0.36,218.742,11.0517,132.818,0.994581,132.238,
64-CAAL-NZdblnormV2-99,1,0.5,0.589834,96.1835,10.2253,7.27055,3.93477e-07,0,
64-CAAL-NZdblnormV2-99,1,1.5,0.43625,152.044,10.6024,36.4526,0.0196198,0.00830372,
64-CAAL-NZdblnormV2-99,1,2.5,0.38865,182.491,10.808,69.6855,0.536875,13.4981,
64-CAAL-NZdblnormV2-99,1,3.5,0.37175,199.086,10.9201,94.9771,0.897341,68.8761,
64-CAAL-NZdblnormV2-99,1,4.5,0.3649,208.131,10.9811,111.257,0.969695,100.096,
64-CAAL-NZdblnormV2-99,1,5.5,0.36205,213.062,11.0144,120.933,0.98592,115.125,
64-CAAL-NZdblnormV2-99,1,6.5,0.36085,215.749,11.0326,126.456,0.99096,123.14,
64-CAAL-NZdblnormV2-99,1,7.5,0.36035,217.214,11.0425,129.541,0.992946,127.526,
64-CAAL-NZdblnormV2-99,1,8.5,0.3601,218.012,11.0478,131.246,0.993849,129.931,
64-CAAL-NZdblnormV2-99,1,9.5,0.36,218.447,11.0508,132.182,0.994295,131.248,
64-CAAL-NZdblnormV2-99,1,10.5,0.36,218.774,11.0517,132.887,0.994612,132.238,
64-CAAL-NZdblnormV2-99,1,0.75,0.530817,113.468,10.342,12.9715,1.25058e-05,0,
64-CAAL-NZdblnormV2-99,1,1.75,0.418475,161.465,10.666,45.114,0.0786185,0.00830372,
64-CAAL-NZdblnormV2-99,1,2.75,0.382625,187.626,10.8427,76.9128,0.677523,13.4981,
64-CAAL-NZdblnormV2-99,1,3.75,0.369325,201.885,10.939,99.8166,0.927614,68.8761,
64-CAAL-NZdblnormV2-99,1,4.75,0.3639,209.657,10.9914,114.189,0.975928,100.096,
64-CAAL-NZdblnormV2-99,1,5.75,0.361625,213.893,11.02,122.623,0.987702,115.125,
64-CAAL-NZdblnormV2-99,1,6.75,0.360675,216.202,11.0356,127.405,0.991624,123.14,
64-CAAL-NZdblnormV2-99,1,7.75,0.360275,217.461,11.0441,130.067,0.993238,127.526,
64-CAAL-NZdblnormV2-99,1,8.75,0.36005,218.147,11.0487,131.535,0.993991,129.931,
64-CAAL-NZdblnormV2-99,1,9.75,0.36,218.521,11.0513,132.34,0.994367,131.248,
64-CAAL-NZdblnormV2-99,1,10.75,0.36,218.801,11.0517,132.946,0.994637,132.238,
