id,Yr,SpawnBio,bias_adjusted,pred_recr
64-CAAL-NZdblnormV2-99,1942,269472000,3268910,3449870
64-CAAL-NZdblnormV2-99,1943,269472000,3268910,3344090
64-CAAL-NZdblnormV2-99,1944,269472000,3268910,3379350
64-CAAL-NZdblnormV2-99,1945,269472000,3268910,3433560
64-CAAL-NZdblnormV2-99,1946,269472000,3268910,3518950
64-CAAL-NZdblnormV2-99,1947,269472000,3268910,3652270
64-CAAL-NZdblnormV2-99,1948,269472000,3268910,3810140
64-CAAL-NZdblnormV2-99,1949,269472000,3268910,3707430
64-CAAL-NZdblnormV2-99,1950,269472000,3268910,3197010
64-CAAL-NZdblnormV2-99,1951,269472000,3268910,3120530
64-CAAL-NZdblnormV2-99,1952,295569000,3287050,3236470
64-CAAL-NZdblnormV2-99,1953,289385000,3283030,3172430
64-CAAL-NZdblnormV2-99,1954,282113000,3278090,3138940
64-CAAL-NZdblnormV2-99,1955,277016000,3274480,3047510
64-CAAL-NZdblnormV2-99,1956,272617000,3271270,2949730
64-CAAL-NZdblnormV2-99,1957,268403000,3268100,3240590
64-CAAL-NZdblnormV2-99,1958,263579000,3264350,3278890
64-CAAL-NZdblnormV2-99,1959,259777000,3261300,3065180
64-CAAL-NZdblnormV2-99,1960,260367000,3261780,3303100
64-CAAL-NZdblnormV2-99,1961,261468000,3262670,3298190
64-CAAL-NZdblnormV2-99,1962,261178000,3262430,3258620
64-CAAL-NZdblnormV2-99,1963,263164000,3263280,3235660
64-CAAL-NZdblnormV2-99,1964,265193000,3264130,3273480
64-CAAL-NZdblnormV2-99,1965,266258000,3264220,3308440
64-CAAL-NZdblnormV2-99,1966,266788000,3263890,3260620
64-CAAL-NZdblnormV2-99,1967,267668000,3263820,3206910
64-CAAL-NZdblnormV2-99,1968,268645000,3263830,3419270
64-CAAL-NZdblnormV2-99,1969,268677000,3263110,3468650
64-CAAL-NZdblnormV2-99,1970,268841000,3262490,3392570
64-CAAL-NZdblnormV2-99,1971,271592000,3263820,3654530
64-CAAL-NZdblnormV2-99,1972,274719000,3265390,3618680
64-CAAL-NZdblnormV2-99,1973,277688000,3266790,3637950
64-CAAL-NZdblnormV2-99,1974,282772000,3269620,3458060
64-CAAL-NZdblnormV2-99,1975,287173000,3271870,3426820
64-CAAL-NZdblnormV2-99,1976,289885000,3272930,3714120
64-CAAL-NZdblnormV2-99,1977,289514000,3271940,3613440
64-CAAL-NZdblnormV2-99,1978,289386000,3271110,3737450
64-CAAL-NZdblnormV2-99,1979,292090000,3272140,3359950
64-CAAL-NZdblnormV2-99,1980,294511000,3272960,3822410
64-CAAL-NZdblnormV2-99,1981,295953000,3273130,2807230
64-CAAL-NZdblnormV2-99,1982,294861000,3271690,3351900
64-CAAL-NZdblnormV2-99,1983,293661000,3270180,2956640
64-CAAL-NZdblnormV2-99,1984,284068000,3263090,2818420
64-CAAL-NZdblnormV2-99,1985,278119000,3258200,2312500
64-CAAL-NZdblnormV2-99,1986,269477000,3251130,2967810
64-CAAL-NZdblnormV2-99,1987,257746000,3241170,4074590
64-CAAL-NZdblnormV2-99,1988,244949000,3229440,3714530
64-CAAL-NZdblnormV2-99,1989,246682000,3230260,3313010
64-CAAL-NZdblnormV2-99,1990,262612000,3242880,3073900
64-CAAL-NZdblnormV2-99,1991,273320000,3250300,3154470
64-CAAL-NZdblnormV2-99,1992,274831000,3250660,3294930
64-CAAL-NZdblnormV2-99,1993,271422000,3247420,3325350
64-CAAL-NZdblnormV2-99,1994,268994000,3244860,3243140
64-CAAL-NZdblnormV2-99,1995,269033000,3244150,3076610
64-CAAL-NZdblnormV2-99,1996,269662000,3243890,5620240
64-CAAL-NZdblnormV2-99,1997,268625000,3242370,3675970
64-CAAL-NZdblnormV2-99,1998,277304000,3248010,4393050
64-CAAL-NZdblnormV2-99,1999,305997000,3265900,3895010
64-CAAL-NZdblnormV2-99,2000,316527000,3271190,1859170
64-CAAL-NZdblnormV2-99,2001,325263000,3275170,3367550
64-CAAL-NZdblnormV2-99,2002,317355000,3270170,2684640
64-CAAL-NZdblnormV2-99,2003,290908000,3253580,3348650
64-CAAL-NZdblnormV2-99,2004,278089000,3244140,3433530
64-CAAL-NZdblnormV2-99,2005,267323000,3235490,3036850
64-CAAL-NZdblnormV2-99,2006,266524000,3234150,3480490
64-CAAL-NZdblnormV2-99,2007,267724000,3235060,3273690
64-CAAL-NZdblnormV2-99,2008,266781000,3234340,3011730
64-CAAL-NZdblnormV2-99,2009,269345000,3236290,2821090
64-CAAL-NZdblnormV2-99,2010,268943000,3235990,2673100
64-CAAL-NZdblnormV2-99,2011,263972000,3232180,2561640
64-CAAL-NZdblnormV2-99,2012,255958000,3225740,2691790
64-CAAL-NZdblnormV2-99,2013,246559000,3217700,3265150
64-CAAL-NZdblnormV2-99,2014,237977000,3209830,2812260
64-CAAL-NZdblnormV2-99,2015,235355000,3207330,3084280
64-CAAL-NZdblnormV2-99,2016,239062000,3210860,2909070
64-CAAL-NZdblnormV2-99,2017,239983000,3211720,2897750
64-CAAL-NZdblnormV2-99,2018,242044000,3213620,2454380
64-CAAL-NZdblnormV2-99,2019,242132000,3213700,3458210
64-CAAL-NZdblnormV2-99,2020,239441000,3211210,5064640
64-CAAL-NZdblnormV2-99,2021,236337000,3208270,3588630
64-CAAL-NZdblnormV2-99,2022,252259000,3255030,3332420
64-CAAL-NZdblnormV2-99,2023,281220000,3277470,3277470
