id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1979.83,1.86281,1.29383,0.333202,0.36448,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1980.83,1.31391,1.59201,0.33254,-0.191991,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1981.83,1.2559,1.48261,0.332625,-0.165953,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1982.83,1.50646,1.13216,0.326376,0.285635,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1983.83,0.922278,1.12041,0.330303,-0.194599,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1984.83,1.32673,1.09799,0.323343,0.189239,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1985.83,0.877509,1.04342,0.321945,-0.173173,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1986.83,0.855618,0.993635,0.335276,-0.149545,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1987.83,0.835362,0.910565,0.345836,-0.0861997,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1988.83,0.736157,0.86111,0.35762,-0.156779,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1989.83,1.65752,0.852446,0.320639,0.664968,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1990.83,1.13159,0.899511,0.336645,0.229528,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1991.83,1.02708,0.941904,0.345696,0.0865716,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1992.83,0.558306,1.10357,0.384414,-0.681397,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1993.83,0.81207,1.14698,0.34892,-0.3453,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1994.83,1.12053,1.0442,0.341153,0.0705479,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1995.83,1.11373,1.07459,0.358465,0.0357745,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1996.83,1.1907,1.12572,0.34189,0.0561162,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1997.83,1.31626,1.26612,0.348221,0.0388376,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1998.83,1.99334,1.46394,0.32869,0.308683,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,1999.83,1.18608,1.38106,0.36947,-0.152196,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2000.83,0.788006,1.54507,0.384061,-0.673317,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2001.83,0.727835,1.63211,0.380242,-0.807553,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2002.83,0.803887,1.43427,0.361598,-0.578954,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2003.83,1.3191,1.10197,0.345035,0.179852,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2004.83,1.26325,0.892793,0.348968,0.347088,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2005.83,1.04284,0.872071,0.364489,0.178832,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2006.83,0.740614,0.936416,0.374613,-0.23458,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2007.83,0.829133,1.01708,0.363606,-0.204315,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2008.83,1.047,0.974525,0.36146,0.0717337,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2009.83,0.645173,1.04569,0.380014,-0.482914,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2010.83,0.790723,1.02003,0.376337,-0.254639,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2011.83,0.722675,0.846328,0.38025,-0.157948,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2012.83,0.69595,0.689114,0.384556,0.00987103,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2013.83,0.717588,0.705706,0.38891,0.0166972,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2014.83,0.790042,0.64963,0.384902,0.195683,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2015.83,0.78514,0.575906,0.386274,0.309918,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2016.83,0.687733,0.568339,0.380715,0.190683,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2017.83,0.591417,0.625062,0.367136,-0.0553301,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2018.83,0.724244,0.674391,0.376776,0.0713179,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2019.83,0.794833,0.596922,0.361991,0.286346,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2020.83,0.742562,0.5449,0.372401,0.309505,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2021.83,1.23811,0.624897,0.357539,0.683754,1
26-CAAL-maxAge-15,16,S01_INDEX.1-4,2022.83,0.912191,0.90944,0.383859,0.00302084,1
