id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
26-CAAL-maxAge-15,L_at_Amin_Fem_GP_1,78.5509,6.43078,7,5,100,59.9,OK,OK
26-CAAL-maxAge-15,L_at_Amax_Fem_GP_1,220.841,2.89425,6,50,600,210.956,OK,OK
26-CAAL-maxAge-15,VonBert_K_Fem_GP_1,0.446853,0.0343052,8,0.01,0.99,0.8351,OK,OK
26-CAAL-maxAge-15,SR_LN(R0),5.08642,0.028497,1,2,15,4.7881,OK,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1952_s_4,0.00101114,0.000238726,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1953_s_1,0.000236435,2.41817e-05,5,0,20,0.05,act,CHECK
26-CAAL-maxAge-15,F_fleet_15_YR_1953_s_3,0.00469078,0.00110611,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1953_s_4,0.499488,0.120765,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1954_s_1,0.0663642,0.00725577,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1954_s_2,0.00238851,0.000259232,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1954_s_3,0.660609,0.161404,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1954_s_4,3.14894,0.846906,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1955_s_1,0.139915,0.0282476,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1955_s_2,0.00871038,0.00165014,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1955_s_3,0.666203,0.187544,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1955_s_4,1.44852,0.420255,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1956_s_1,0.0658818,0.0132934,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1956_s_2,0.0110794,0.00206702,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1956_s_3,0.374989,0.104136,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1956_s_4,1.31564,0.37415,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1957_s_1,0.0199648,0.00381577,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1957_s_2,0.00821224,0.00146554,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1957_s_3,0.278594,0.0762022,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1957_s_4,1.36807,0.38569,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1958_s_1,0.0116491,0.00216551,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1958_s_2,0.00497166,0.000865954,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1958_s_3,0.591549,0.162602,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1958_s_4,2.1739,0.64029,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1959_s_1,0.0584338,0.0125869,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1959_s_2,0.0656758,0.0131479,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1959_s_3,1.08862,0.32026,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1959_s_4,1.46128,0.447543,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1960_s_1,0.0258927,0.00561002,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1960_s_2,0.083905,0.0166824,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1960_s_3,1.37392,0.405423,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1960_s_4,1.3996,0.429824,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1961_s_1,0.00859722,0.00186655,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1961_s_2,0.0598062,0.0119011,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1961_s_3,1.73476,0.517061,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1961_s_4,2.80683,0.928517,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1962_s_1,0.155137,0.0415216,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1962_s_2,0.109914,0.0265317,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1962_s_3,1.21145,0.382853,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1962_s_4,2.93505,0.989617,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1963_s_1,0.0660881,0.0180248,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1963_s_2,0.185019,0.0458113,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1963_s_3,0.489517,0.155683,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1963_s_4,3.76684,1.28265,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1964_s_1,0.254835,0.076601,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1964_s_2,0.106156,0.0291262,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1964_s_3,0.747433,0.254124,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1964_s_4,1.19613,0.413599,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1965_s_1,0.0975598,0.0257672,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1965_s_2,0.0902987,0.0223971,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1965_s_3,1.01816,0.337305,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1965_s_4,1.32263,0.460059,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1966_s_1,0.178206,0.049267,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1966_s_2,0.347688,0.0928275,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1966_s_3,1.57205,0.560705,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1966_s_4,1.80661,0.700023,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1967_s_1,0.104235,0.0337415,5,0,20,0.05,act,OK
26-CAAL-maxAge-15,F_fleet_15_YR_1967_s_2,0.0775651,0.023082,5,0,20,0.05,act,OK
