"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" -0.00362209 0.199646 "Early_InitAge" 1942
"Early_InitAge_9" -0.00789045 0.199265 "Early_InitAge" 1943
"Early_InitAge_8" -0.010109 0.199153 "Early_InitAge" 1944
"Early_InitAge_7" -0.00960992 0.199314 "Early_InitAge" 1945
"Early_InitAge_6" -0.000934171 0.200057 "Early_InitAge" 1946
"Early_InitAge_5" 0.0229104 0.201548 "Early_InitAge" 1947
"Early_InitAge_4" 0.0585864 0.203033 "Early_InitAge" 1948
"Early_InitAge_3" 0.0737823 0.203181 "Early_InitAge" 1949
"Early_InitAge_2" 0.0786489 0.203099 "Early_InitAge" 1950
"Early_InitAge_1" 0.0994756 0.203705 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.132803 0.199781 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.103911 0.196156 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.06229 0.194078 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.0482497 0.193228 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.0614833 0.19437 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.0877118 0.196343 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.107182 0.19505 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.0917182 0.196095 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.107401 0.193707 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.0714342 0.190883 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0153375 0.191952 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0144934 0.191625 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.00957299 0.192377 "Main_RecrDev" 1964
"Main_RecrDev_1965" -0.0111816 0.191358 "Main_RecrDev" 1965
"Main_RecrDev_1966" -0.0259706 0.19123 "Main_RecrDev" 1966
"Main_RecrDev_1967" -0.0149981 0.192188 "Main_RecrDev" 1967
"Main_RecrDev_1968" 0.00630518 0.190925 "Main_RecrDev" 1968
"Main_RecrDev_1969" -0.015308 0.18654 "Main_RecrDev" 1969
"Main_RecrDev_1970" -0.0608096 0.181405 "Main_RecrDev" 1970
"Main_RecrDev_1971" -0.0476403 0.181681 "Main_RecrDev" 1971
"Main_RecrDev_1972" -0.0274725 0.18508 "Main_RecrDev" 1972
"Main_RecrDev_1973" 0.0102865 0.183167 "Main_RecrDev" 1973
"Main_RecrDev_1974" -0.0733952 0.182399 "Main_RecrDev" 1974
"Main_RecrDev_1975" -0.0972452 0.179769 "Main_RecrDev" 1975
"Main_RecrDev_1976" -0.0302126 0.17542 "Main_RecrDev" 1976
"Main_RecrDev_1977" -0.00906557 0.1743 "Main_RecrDev" 1977
"Main_RecrDev_1978" 0.140715 0.147149 "Main_RecrDev" 1978
"Main_RecrDev_1979" 0.11505 0.148634 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.188039 0.131468 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.244794 0.144375 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.0579409 0.133003 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.194981 0.142429 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.197769 0.137654 "Main_RecrDev" 1984
"Main_RecrDev_1985" -0.472855 0.1466 "Main_RecrDev" 1985
"Main_RecrDev_1986" -0.162032 0.170216 "Main_RecrDev" 1986
"Main_RecrDev_1987" 0.365372 0.141168 "Main_RecrDev" 1987
"Main_RecrDev_1988" 0.0283157 0.165646 "Main_RecrDev" 1988
"Main_RecrDev_1989" -0.120255 0.163283 "Main_RecrDev" 1989
"Main_RecrDev_1990" -0.127054 0.172352 "Main_RecrDev" 1990
"Main_RecrDev_1991" 0.0430398 0.179 "Main_RecrDev" 1991
"Main_RecrDev_1992" 0.238138 0.178194 "Main_RecrDev" 1992
"Main_RecrDev_1993" 0.208309 0.176081 "Main_RecrDev" 1993
"Main_RecrDev_1994" 0.0274724 0.165977 "Main_RecrDev" 1994
"Main_RecrDev_1995" -0.0163287 0.162068 "Main_RecrDev" 1995
"Main_RecrDev_1996" 0.687236 0.0976261 "Main_RecrDev" 1996
"Main_RecrDev_1997" 0.12196 0.122579 "Main_RecrDev" 1997
"Main_RecrDev_1998" 0.408489 0.0946758 "Main_RecrDev" 1998
"Main_RecrDev_1999" 0.28823 0.0947 "Main_RecrDev" 1999
"Main_RecrDev_2000" -0.367346 0.12728 "Main_RecrDev" 2000
"Main_RecrDev_2001" 0.327783 0.0966724 "Main_RecrDev" 2001
"Main_RecrDev_2002" -0.148558 0.13958 "Main_RecrDev" 2002
"Main_RecrDev_2003" -0.0203127 0.141658 "Main_RecrDev" 2003
"Main_RecrDev_2004" 0.0167648 0.145848 "Main_RecrDev" 2004
"Main_RecrDev_2005" -0.140861 0.155248 "Main_RecrDev" 2005
"Main_RecrDev_2006" 0.06562 0.155647 "Main_RecrDev" 2006
"Main_RecrDev_2007" 0.0213886 0.155951 "Main_RecrDev" 2007
"Main_RecrDev_2008" -0.0681803 0.151321 "Main_RecrDev" 2008
"Main_RecrDev_2009" -0.157024 0.152801 "Main_RecrDev" 2009
"Main_RecrDev_2010" -0.207584 0.13895 "Main_RecrDev" 2010
"Main_RecrDev_2011" -0.237801 0.135477 "Main_RecrDev" 2011
"Main_RecrDev_2012" -0.244244 0.128347 "Main_RecrDev" 2012
"Main_RecrDev_2013" 0.00843109 0.112519 "Main_RecrDev" 2013
"Main_RecrDev_2014" -0.255671 0.111371 "Main_RecrDev" 2014
"Main_RecrDev_2015" -0.151966 0.106641 "Main_RecrDev" 2015
"Main_RecrDev_2016" -0.0808895 0.115886 "Main_RecrDev" 2016
"Main_RecrDev_2017" -0.114721 0.121487 "Main_RecrDev" 2017
"Main_RecrDev_2018" -0.364707 0.117012 "Main_RecrDev" 2018
"Main_RecrDev_2019" -0.0538573 0.118056 "Main_RecrDev" 2019
"Main_RecrDev_2020" 0.3181 0.149694 "Main_RecrDev" 2020
"Main_RecrDev_2021" 0.0723985 0.179218 "Main_RecrDev" 2021
"Late_RecrDev_2022" 0.0404361 0.199121 "Late_RecrDev" 2022
"ForeRecr_2023" 0 0.2 "ForeRecr" 2023
