id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
01-mls-base-1979,1,F01_LL.JP.1,1993.5,yes,LEN,1,173.021810941694
01-mls-base-1979,1,F01_LL.JP.1,2001.375,yes,LEN,1,197.115341342617
01-mls-base-1979,1,F01_LL.JP.1,2001.5,yes,LEN,1,196.716300122727
01-mls-base-1979,1,F01_LL.JP.1,2002.25,yes,LEN,1,198.444104649501
01-mls-base-1979,1,F01_LL.JP.1,2002.375,yes,LEN,1,197.943016860502
01-mls-base-1979,1,F01_LL.JP.1,2004.25,yes,LEN,1,199.032578161203
01-mls-base-1979,1,F01_LL.JP.1,2004.375,yes,LEN,1,193.164440565712
01-mls-base-1979,1,F01_LL.JP.1,2004.5,yes,LEN,1,189.034683539641
01-mls-base-1979,1,F01_LL.JP.1,2005.25,yes,LEN,1,188.760942163322
01-mls-base-1979,1,F01_LL.JP.1,2007.375,yes,LEN,1,183.04436165957
01-mls-base-1979,1,F01_LL.JP.1,2013.375,yes,LEN,1,167.977337888784
01-mls-base-1979,1,F01_LL.JP.1,2014.25,yes,LEN,1,174.472419147784
01-mls-base-1979,1,F01_LL.JP.1,2014.375,yes,LEN,1,176.008732295933
01-mls-base-1979,1,F01_LL.JP.1,2014.5,yes,LEN,1,177.49112781605
01-mls-base-1979,1,F01_LL.JP.1,2015.25,yes,LEN,1,183.176547169237
01-mls-base-1979,1,F01_LL.JP.1,2016.125,yes,LEN,1,183.362248624809
01-mls-base-1979,1,F01_LL.JP.1,2016.25,yes,LEN,1,185.125222686374
01-mls-base-1979,1,F01_LL.JP.1,2016.5,yes,LEN,1,182.898075378929
01-mls-base-1979,1,F01_LL.JP.1,2017.125,yes,LEN,1,185.074702910187
01-mls-base-1979,1,F01_LL.JP.1,2017.25,yes,LEN,1,186.546347344902
01-mls-base-1979,1,F01_LL.JP.1,2018.25,yes,LEN,1,187.206696896922
01-mls-base-1979,1,F01_LL.JP.1,2018.375,yes,LEN,1,185.558096014279
01-mls-base-1979,1,F01_LL.JP.1,2018.5,yes,LEN,1,184.484628016852
01-mls-base-1979,1,F01_LL.JP.1,2019.25,yes,LEN,1,187.794608342589
01-mls-base-1979,1,F01_LL.JP.1,2019.375,yes,LEN,1,186.226204507363
01-mls-base-1979,2,F02_LL.JP.2,1991.375,yes,LEN,1,186.531267681975
01-mls-base-1979,2,F02_LL.JP.2,1991.5,yes,LEN,1,188.153066083954
01-mls-base-1979,2,F02_LL.JP.2,1992.375,yes,LEN,1,186.640855389586
01-mls-base-1979,2,F02_LL.JP.2,1993.375,yes,LEN,1,181.659517729193
01-mls-base-1979,2,F02_LL.JP.2,1994.375,yes,LEN,1,183.756478827512
01-mls-base-1979,2,F02_LL.JP.2,1995.375,yes,LEN,1,183.946033763847
01-mls-base-1979,2,F02_LL.JP.2,1995.5,yes,LEN,1,186.100767059839
01-mls-base-1979,2,F02_LL.JP.2,1996.125,yes,LEN,1,187.294156621573
01-mls-base-1979,2,F02_LL.JP.2,1996.375,yes,LEN,1,187.089452395062
01-mls-base-1979,2,F02_LL.JP.2,1997.25,yes,LEN,1,174.683836249006
01-mls-base-1979,2,F02_LL.JP.2,1997.375,yes,LEN,1,176.562589359344
01-mls-base-1979,2,F02_LL.JP.2,2013.25,yes,LEN,1,184.163730669572
01-mls-base-1979,2,F02_LL.JP.2,2014.25,yes,LEN,1,179.873781319182
01-mls-base-1979,2,F02_LL.JP.2,2014.375,yes,LEN,1,180.490909468629
01-mls-base-1979,2,F02_LL.JP.2,2019.25,yes,LEN,1,187.86014526359
01-mls-base-1979,2,F02_LL.JP.2,2020.25,yes,LEN,1,188.153633039989
01-mls-base-1979,3,F03_LL.JP.3,1991.125,yes,LEN,1,195.685949914344
01-mls-base-1979,3,F03_LL.JP.3,1991.25,yes,LEN,1,194.788111036548
01-mls-base-1979,3,F03_LL.JP.3,1991.375,yes,LEN,1,194.846222694423
01-mls-base-1979,3,F03_LL.JP.3,1992.25,yes,LEN,1,194.934025350665
01-mls-base-1979,3,F03_LL.JP.3,1992.375,yes,LEN,1,195.111589539336
01-mls-base-1979,3,F03_LL.JP.3,1993.125,yes,LEN,1,192.868953036108
01-mls-base-1979,3,F03_LL.JP.3,1993.25,yes,LEN,1,190.082440148157
01-mls-base-1979,3,F03_LL.JP.3,1993.375,yes,LEN,1,189.836586092546
01-mls-base-1979,3,F03_LL.JP.3,1994.125,yes,LEN,1,190.895888697304
01-mls-base-1979,3,F03_LL.JP.3,1994.25,yes,LEN,1,190.327162437342
01-mls-base-1979,3,F03_LL.JP.3,1994.375,yes,LEN,1,190.976284555849
01-mls-base-1979,3,F03_LL.JP.3,1995.375,yes,LEN,1,191.466556499615
01-mls-base-1979,3,F03_LL.JP.3,1996.25,yes,LEN,1,193.868318968856
01-mls-base-1979,3,F03_LL.JP.3,1996.375,yes,LEN,1,194.461005505581
01-mls-base-1979,3,F03_LL.JP.3,2011.375,yes,LEN,1,195.423209081144
01-mls-base-1979,3,F03_LL.JP.3,2012.25,yes,LEN,1,194.693359817195
01-mls-base-1979,3,F03_LL.JP.3,2014.125,yes,LEN,1,190.197405908759
01-mls-base-1979,3,F03_LL.JP.3,2014.375,yes,LEN,1,187.758255235318
01-mls-base-1979,3,F03_LL.JP.3,2015.25,yes,LEN,1,191.723223552534
01-mls-base-1979,3,F03_LL.JP.3,2016.125,yes,LEN,1,194.868196396306
01-mls-base-1979,3,F03_LL.JP.3,2016.25,yes,LEN,1,194.509979697301
01-mls-base-1979,3,F03_LL.JP.3,2016.375,yes,LEN,1,194.90211530508
01-mls-base-1979,3,F03_LL.JP.3,2020.375,yes,LEN,1,197.141914940774
01-mls-base-1979,5,F05_LL.TW.4,2006.375,yes,LEN,1,150.242795117019
01-mls-base-1979,5,F05_LL.TW.4,2007.25,yes,LEN,1,162.300739026544
01-mls-base-1979,5,F05_LL.TW.4,2007.375,yes,LEN,1,163.015514111213
01-mls-base-1979,5,F05_LL.TW.4,2008.375,yes,LEN,1,159.687479448185
01-mls-base-1979,5,F05_LL.TW.4,2009.125,yes,LEN,1,174.731322023821
01-mls-base-1979,5,F05_LL.TW.4,2010.25,yes,LEN,1,157.484187210481
01-mls-base-1979,5,F05_LL.TW.4,2010.375,yes,LEN,1,156.08736302479
01-mls-base-1979,5,F05_LL.TW.4,2011.375,yes,LEN,1,155.249115053384
01-mls-base-1979,5,F05_LL.TW.4,2014.375,yes,LEN,1,158.169883721842
01-mls-base-1979,5,F05_LL.TW.4,2017.375,yes,LEN,1,160.177410584061
01-mls-base-1979,5,F05_LL.TW.4,2018.375,yes,LEN,1,160.795087704013
01-mls-base-1979,5,F05_LL.TW.4,2019.375,yes,LEN,1,161.434143471835
01-mls-base-1979,5,F05_LL.TW.4,2020.375,yes,LEN,1,151.468413012917
01-mls-base-1979,5,F05_LL.TW.4,2020.5,yes,LEN,1,161.424360796656
01-mls-base-1979,5,F05_LL.TW.4,2021.25,yes,LEN,1,162.243191288632
01-mls-base-1979,5,F05_LL.TW.4,2021.375,yes,LEN,1,162.704366608028
01-mls-base-1979,5,F05_LL.TW.4,2022.25,yes,LEN,1,174.944591434315
01-mls-base-1979,6,F06_LL.AU.2,1992.375,yes,LEN,1,141.118369672648
01-mls-base-1979,6,F06_LL.AU.2,1993.25,yes,LEN,1,155.807894477642
01-mls-base-1979,6,F06_LL.AU.2,1993.375,yes,LEN,1,148.77166949212
01-mls-base-1979,6,F06_LL.AU.2,1994.375,yes,LEN,1,149.372279528646
01-mls-base-1979,6,F06_LL.AU.2,1996.125,yes,LEN,1,171.967007244316
01-mls-base-1979,6,F06_LL.AU.2,1996.375,yes,LEN,1,128.474522822211
01-mls-base-1979,6,F06_LL.AU.2,1997.375,yes,LEN,1,151.828859537683
01-mls-base-1979,6,F06_LL.AU.2,2002.25,yes,LEN,1,178.339887716399
01-mls-base-1979,6,F06_LL.AU.2,2003.5,yes,LEN,1,181.31640937831
01-mls-base-1979,6,F06_LL.AU.2,2004.125,yes,LEN,1,184.987075550766
01-mls-base-1979,6,F06_LL.AU.2,2004.25,yes,LEN,1,166.263164282717
01-mls-base-1979,6,F06_LL.AU.2,2004.375,yes,LEN,1,151.488995558688
01-mls-base-1979,6,F06_LL.AU.2,2004.5,yes,LEN,1,159.851070164913
01-mls-base-1979,6,F06_LL.AU.2,2005.25,yes,LEN,1,157.587576463864
01-mls-base-1979,6,F06_LL.AU.2,2005.375,yes,LEN,1,148.103914231106
01-mls-base-1979,6,F06_LL.AU.2,2005.5,yes,LEN,1,157.432514414868
01-mls-base-1979,6,F06_LL.AU.2,2006.25,yes,LEN,1,156.998237788301
01-mls-base-1979,6,F06_LL.AU.2,2006.375,yes,LEN,1,147.993033088539
01-mls-base-1979,6,F06_LL.AU.2,2006.5,yes,LEN,1,157.140093823377
01-mls-base-1979,6,F06_LL.AU.2,2007.125,yes,LEN,1,165.72620652091
01-mls-base-1979,6,F06_LL.AU.2,2007.5,yes,LEN,1,167.458519548849
01-mls-base-1979,6,F06_LL.AU.2,2008.125,yes,LEN,1,173.750003063874
01-mls-base-1979,6,F06_LL.AU.2,2008.25,yes,LEN,1,166.665979894273
01-mls-base-1979,6,F06_LL.AU.2,2008.375,yes,LEN,1,156.806409089432
01-mls-base-1979,6,F06_LL.AU.2,2008.5,yes,LEN,1,163.769961235754
01-mls-base-1979,6,F06_LL.AU.2,2009.125,yes,LEN,1,170.694545512271
01-mls-base-1979,6,F06_LL.AU.2,2009.25,yes,LEN,1,165.395160131784
01-mls-base-1979,6,F06_LL.AU.2,2009.375,yes,LEN,1,157.090517128075
01-mls-base-1979,6,F06_LL.AU.2,2009.5,yes,LEN,1,164.271281560026
01-mls-base-1979,6,F06_LL.AU.2,2010.5,yes,LEN,1,160.98723896375
01-mls-base-1979,6,F06_LL.AU.2,2011.125,yes,LEN,1,168.607033276252
01-mls-base-1979,6,F06_LL.AU.2,2011.25,yes,LEN,1,161.585792799623
01-mls-base-1979,6,F06_LL.AU.2,2011.5,yes,LEN,1,160.693613182942
01-mls-base-1979,6,F06_LL.AU.2,2012.125,yes,LEN,1,168.411979169436
01-mls-base-1979,6,F06_LL.AU.2,2012.375,yes,LEN,1,148.237636300148
