id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,5,0.037399762,0.030136991,0.007262771,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,7,0.03522982,0.030136991,0.005092829,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,9,0.06592162,0.030136992,0.035784628,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,11,0.144494654,0.030136989,0.114357665,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,13,0.142505652,0.030136988,0.112368664,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,15,0.348495982,0.030136988,0.318358994,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,17,0.077656004,0.030136989,0.047519015,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,19,0.078437556,0.030136989,0.048300567,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,21,0.093450438,0.030136989,0.063313449,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,23,0.088024844,0.030136988,0.057887856,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,25,0.094149988,0.030136987,0.064013001,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,27,0.078904616,0.030136988,0.048767628,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,29,0.086201872,0.030136988,0.056064884,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,31,0.061432722,0.030136988,0.031295734,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,33,0.074441944,0.030136989,0.044304955,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,35,0.129433074,0.030136992,0.0992960819999999,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,37,0.136769928,0.030136996,0.106632932,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,39,0.243864968,0.030137006,0.213727962,4551.01409,7735.61477,7735.61477
01-mls-base-1979,2,F02_LL.JP.2,yes,SIZE,1,41,0.169315546,0.030137075,0.139178471,4551.01409,7735.61477,7735.61477
