id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,5,0.037399762,0.030136997,0.007262765,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,7,0.03522981,0.030137,0.00509281,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,9,0.0659216,0.03013701,0.03578459,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,11,0.144494574,0.030137021,0.114357553,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,13,0.142505852,0.030137169,0.112368683,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,15,0.348496062,0.52243866,-0.173942598,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,17,0.077656004,1.08106479,-1.003408786,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,19,0.078437536,0.81609443,-0.737656894,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,21,0.093450548,0.73069961,-0.637249062,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,23,0.088024844,0.6574607,-0.569435856,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,25,0.094149988,0.59586397,-0.501713982,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,27,0.078904736,0.54544107,-0.466536334,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,29,0.086202002,0.50556127,-0.419359268,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,31,0.061432712,0.47510781,-0.413675098,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,33,0.074441934,0.45443869,-0.379996756,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,35,0.129433084,0.44278742,-0.313354336,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,37,0.136769898,0.43879978,-0.302029882,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,39,0.243864968,0.44072164,-0.196856672,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,41,0.169315446,0.44684337,-0.277527924,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,43,0.1406212,0.45514428,-0.31452308,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,45,0.19838318,0.46417225,-0.26578907,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,47,0.229966608,0.47272972,-0.242763112,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,49,0.238545548,0.48001152,-0.241465972,1608.0225,773.561477,773.561477
02-mls-ss3-1979,2,F02_LL.JP.2,yes,SIZE,1,51,0.422848312,0.48579353,-0.062945218,1608.0225,773.561477,773.561477
