id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
02-mls-ss3-1979,SR_LN(R0),6.07171,0.0873639,1,2,15,6,OK,OK
02-mls-ss3-1979,Size_DblN_peak_F01_LL.JP.1(1),170.52,1.8365,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F01_LL.JP.1(1),6.99996,0.00456484,4,-7,7,0,HI,CHECK
02-mls-ss3-1979,Size_DblN_descend_se_F01_LL.JP.1(1),5.65754,0.303182,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F01_LL.JP.1(1),-1.32645,0.198556,3,-999,9,0,OK,OK
02-mls-ss3-1979,Size_DblN_peak_F02_LL.JP.2(2),122.917,0.202109,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F02_LL.JP.2(2),-4.4257,15.4104,4,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_descend_se_F02_LL.JP.2(2),-4.52298,15.1523,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F02_LL.JP.2(2),-0.842846,0.145534,3,-999,9,0,HI,OK
02-mls-ss3-1979,Size_DblN_peak_F03_LL.JP.3(3),190.376,4.46234,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F03_LL.JP.3(3),6.14462,0.461182,4,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_descend_se_F03_LL.JP.3(3),4.27832,1.25622,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F03_LL.JP.3(3),-0.592597,0.416651,3,-999,9,0,HI,OK
02-mls-ss3-1979,Size_DblN_peak_F04_LL.JP.4(4),174.782,3.79256,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F04_LL.JP.4(4),6.99952,0.0184177,4,-7,7,0,HI,CHECK
02-mls-ss3-1979,Size_DblN_descend_se_F04_LL.JP.4(4),5.46626,0.636418,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F04_LL.JP.4(4),-1.80946,0.510106,3,-999,9,0,OK,OK
02-mls-ss3-1979,Size_DblN_peak_F06_LL.AU.2(6),182.015,0.692688,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F06_LL.AU.2(6),5.6454,0.0942261,4,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_descend_se_F06_LL.AU.2(6),5.33258,0.11307,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F06_LL.AU.2(6),-2.31167,0.133168,3,-999,9,0,OK,OK
02-mls-ss3-1979,Size_DblN_peak_F07_LL.AU.3(7),186.471,1.35129,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F07_LL.AU.3(7),6.06054,0.153783,4,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_descend_se_F07_LL.AU.3(7),5.16923,0.257594,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F07_LL.AU.3(7),-1.72181,0.222357,3,-999,9,0,OK,OK
02-mls-ss3-1979,Size_DblN_peak_F09.REC.AU.3(9),65.0069,241.73,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F09.REC.AU.3(9),2.78072,116.148,4,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_descend_se_F09.REC.AU.3(9),0.256247,167.904,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F09.REC.AU.3(9),-9.86843,62.6232,3,-999,9,0,OK,OK
02-mls-ss3-1979,Size_inflection_F10_REC.NZ.3(10),185.558,1.8069,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_95%width_F10_REC.NZ.3(10),18.6955,2.81036,3,0,500,10,OK,OK
02-mls-ss3-1979,Size_DblN_peak_F12_LL.ALL.2(12),177.102,1.73214,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_F12_LL.ALL.2(12),7,2.8489e-05,4,-7,7,0,HI,CHECK
02-mls-ss3-1979,Size_DblN_descend_se_F12_LL.ALL.2(12),5.66946,0.295433,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_F12_LL.ALL.2(12),-1.78325,0.276416,3,-999,9,0,OK,OK
02-mls-ss3-1979,Size_DblN_peak_S01_INDEX.1-4(15),276.035,2.87913,2,45,325,100,OK,OK
02-mls-ss3-1979,Size_DblN_ascend_se_S01_INDEX.1-4(15),-3.69852,23.1146,4,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_descend_se_S01_INDEX.1-4(15),-4.07928,24.1658,5,-7,7,0,OK,OK
02-mls-ss3-1979,Size_DblN_end_logit_S01_INDEX.1-4(15),-495,11269.8,3,-999,9,0,OK,OK
