id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,135,0.5656705735,0.75467621,-0.1890056365,152.20034,67.0594527,6.70594527
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,140,0.5583975838,0.67194846,-0.1135508762,182.52074,74.5506627,7.45506627
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,145,0.7259562252,1.06413465,-0.3381784248,203.13419,81.1308877,8.11308877
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,150,1.1525663433,1.4457778,-0.2932114567,232.85584,93.0189977,9.30189977
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,155,1.3722139839,1.3042762,0.0679377839000002,232.85584,93.0189977,9.30189977
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,160,1.6666414234,1.9208881,-0.2542466766,238.23067,96.0812577,9.60812577
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,165,2.5266572328,2.5368854,-0.0102281672000006,241.10571,99.5798077,9.95798077
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,170,2.6246027023,2.3742117,0.250391002300001,241.10571,99.5798077,9.95798077
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,175,2.6072593614,2.397545,0.2097143614,241.10571,99.5798077,9.95798077
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,180,2.5602908014,3.0474255,-0.4871346986,241.10571,99.5798077,9.95798077
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,185,2.2295112612,1.9426868,0.286824461200001,229.6049,94.8416127,9.48416127
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,190,1.6628101317,1.6519636,0.0108465317000002,215.1404,90.5190037,9.05190037
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,195,0.7534324523,1.423886,-0.6704535477,187.37179,74.1608637,7.41608637
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,200,0.1579052232,0.6171278,-0.4592225768,138.32276,58.7830937,5.87830937
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,205,0.2713636724,0.5471278,-0.2757641276,132.94793,55.7208337,5.57208337
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,210,0.275271542,0.4761954,-0.200923858,105.91413,42.1730737,4.21730737
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,215,0.1546349113,0.167935,-0.0133000887,53.31225,18.3410237,1.83410237
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,220,0.029558391,0.0328616,-0.003303209,12.03906,0.7086037,0.07086037
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,80,0.2425409,0.000744464,0.241796436,14.54594,4.679543,0.4679543
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,85,0.1182611814,0.0018400414,0.11642114,39.91164,14.629673,1.4629673
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,90,0.4280574217,0.0047221136,0.4233353081,39.91164,14.629673,1.4629673
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,95,0.2910598217,0.010587748,0.2804720737,50.09364,20.745003,2.0745003
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,100,0.3446634217,0.02901802,0.3156454017,59.1147,24.191953,2.4191953
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,105,0.2656242116,0.037851441,0.2277727706,71.7598,27.119013,2.7119013
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,110,0.4102264121,0.074560033,0.3356663791,76.99287,31.352903,3.1352903
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,115,0.2109463839,0.06673277,0.1442136139,76.99287,31.352903,3.1352903
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,120,0.2625681929,0.08046854,0.1820996529,76.99287,31.352903,3.1352903
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,125,0.0473885735,0.09464737,-0.0472587965,76.99287,31.352903,3.1352903
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,130,0.3840240726,0.21153411,0.1724899626,88.37097,42.747903,4.2747903
03-chg-selex-1979,1,F01_LL.JP.1,yes,LEN,1,225,9.9691e-05,0.006011,-0.005911309,5.3264,0.691114,0.0691114
