id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
03-chg-selex-1979,15,S01_INDEX.1-4,1979.83,1.86281,0.956145,0.333202,0.666932,1
03-chg-selex-1979,15,S01_INDEX.1-4,1980.83,1.31391,1.04614,0.33254,0.2279,1
03-chg-selex-1979,15,S01_INDEX.1-4,1981.83,1.2559,1.06828,0.332625,0.161807,1
03-chg-selex-1979,15,S01_INDEX.1-4,1982.83,1.50646,0.998171,0.326376,0.411593,1
03-chg-selex-1979,15,S01_INDEX.1-4,1983.83,0.922278,0.971257,0.330303,-0.0517447,1
03-chg-selex-1979,15,S01_INDEX.1-4,1984.83,1.32673,0.984151,0.323343,0.298694,1
03-chg-selex-1979,15,S01_INDEX.1-4,1985.83,0.877509,0.925693,0.321945,-0.0534551,1
03-chg-selex-1979,15,S01_INDEX.1-4,1986.83,0.855618,0.911271,0.335276,-0.0630159,1
03-chg-selex-1979,15,S01_INDEX.1-4,1987.83,0.835362,0.879153,0.345836,-0.0510935,1
03-chg-selex-1979,15,S01_INDEX.1-4,1988.83,0.736157,0.993012,0.35762,-0.2993,1
03-chg-selex-1979,15,S01_INDEX.1-4,1989.83,1.65752,1.06313,0.320639,0.444109,1
03-chg-selex-1979,15,S01_INDEX.1-4,1990.83,1.13159,1.03316,0.336645,0.0909997,1
03-chg-selex-1979,15,S01_INDEX.1-4,1991.83,1.02708,1.01621,0.345696,0.0106356,1
03-chg-selex-1979,15,S01_INDEX.1-4,1992.83,0.558306,1.03785,0.384414,-0.620001,1
03-chg-selex-1979,15,S01_INDEX.1-4,1993.83,0.81207,1.0754,0.34892,-0.280859,1
03-chg-selex-1979,15,S01_INDEX.1-4,1994.83,1.12053,1.05022,0.341153,0.0648033,1
03-chg-selex-1979,15,S01_INDEX.1-4,1995.83,1.11373,1.03148,0.358465,0.0767161,1
03-chg-selex-1979,15,S01_INDEX.1-4,1996.83,1.1907,1.01831,0.34189,0.156393,1
03-chg-selex-1979,15,S01_INDEX.1-4,1997.83,1.31626,1.19801,0.348221,0.0941326,1
03-chg-selex-1979,15,S01_INDEX.1-4,1998.83,1.99334,1.39866,0.32869,0.354296,1
03-chg-selex-1979,15,S01_INDEX.1-4,1999.83,1.18608,1.35129,0.36947,-0.130404,1
03-chg-selex-1979,15,S01_INDEX.1-4,2000.83,0.788006,1.31244,0.384061,-0.510137,1
03-chg-selex-1979,15,S01_INDEX.1-4,2001.83,0.727835,1.12879,0.380242,-0.438831,1
03-chg-selex-1979,15,S01_INDEX.1-4,2002.83,0.803887,1.02441,0.361598,-0.242413,1
03-chg-selex-1979,15,S01_INDEX.1-4,2003.83,1.3191,0.979558,0.345035,0.297603,1
03-chg-selex-1979,15,S01_INDEX.1-4,2004.83,1.26325,1.00038,0.348968,0.233306,1
03-chg-selex-1979,15,S01_INDEX.1-4,2005.83,1.04284,1.06764,0.364489,-0.0235055,1
03-chg-selex-1979,15,S01_INDEX.1-4,2006.83,0.740614,1.04674,0.374613,-0.345952,1
03-chg-selex-1979,15,S01_INDEX.1-4,2007.83,0.829133,1.01695,0.363606,-0.204178,1
03-chg-selex-1979,15,S01_INDEX.1-4,2008.83,1.047,0.947375,0.36146,0.0999894,1
03-chg-selex-1979,15,S01_INDEX.1-4,2009.83,0.645173,0.889528,0.380014,-0.321172,1
03-chg-selex-1979,15,S01_INDEX.1-4,2010.83,0.790723,0.800331,0.376337,-0.0120772,1
03-chg-selex-1979,15,S01_INDEX.1-4,2011.83,0.722675,0.72072,0.38025,0.00270844,1
03-chg-selex-1979,15,S01_INDEX.1-4,2012.83,0.69595,0.674895,0.384556,0.0307209,1
03-chg-selex-1979,15,S01_INDEX.1-4,2013.83,0.717588,0.701673,0.38891,0.0224285,1
03-chg-selex-1979,15,S01_INDEX.1-4,2014.83,0.790042,0.726886,0.384902,0.0833163,1
03-chg-selex-1979,15,S01_INDEX.1-4,2015.83,0.78514,0.740866,0.386274,0.058042,1
03-chg-selex-1979,15,S01_INDEX.1-4,2016.83,0.687733,0.77893,0.380715,-0.124521,1
03-chg-selex-1979,15,S01_INDEX.1-4,2017.83,0.591417,0.809601,0.367136,-0.31402,1
03-chg-selex-1979,15,S01_INDEX.1-4,2018.83,0.724244,0.846405,0.376776,-0.155869,1
03-chg-selex-1979,15,S01_INDEX.1-4,2019.83,0.794833,0.837218,0.361991,-0.0519524,1
03-chg-selex-1979,15,S01_INDEX.1-4,2020.83,0.742562,0.929433,0.372401,-0.224468,1
03-chg-selex-1979,15,S01_INDEX.1-4,2021.83,1.23811,1.16389,0.357539,0.0618145,1
03-chg-selex-1979,15,S01_INDEX.1-4,2022.83,0.912191,1.23936,0.383859,-0.3065,1
