id,type,yr,Value,StdDev
03-chg-selex-1979,ssb,1979,13489.5,1038.46
03-chg-selex-1979,ssb,1980,14077,1129.12
03-chg-selex-1979,ssb,1981,15341.1,1205.4
03-chg-selex-1979,ssb,1982,15772,1284.94
03-chg-selex-1979,ssb,1983,15375.2,1324.96
03-chg-selex-1979,ssb,1984,15246.9,1286.7
03-chg-selex-1979,ssb,1985,15407.3,1250.45
03-chg-selex-1979,ssb,1986,14942.3,1234.31
03-chg-selex-1979,ssb,1987,14671.1,1203.25
03-chg-selex-1979,ssb,1988,14007.5,1190.54
03-chg-selex-1979,ssb,1989,14361.8,1223.68
03-chg-selex-1979,ssb,1990,15408.9,1367.59
03-chg-selex-1979,ssb,1991,16072,1454.83
03-chg-selex-1979,ssb,1992,16172.8,1420.98
03-chg-selex-1979,ssb,1993,16300.6,1377.79
03-chg-selex-1979,ssb,1994,16640.5,1389.48
03-chg-selex-1979,ssb,1995,16292,1398.05
03-chg-selex-1979,ssb,1996,16211.8,1376.51
03-chg-selex-1979,ssb,1997,15799,1311.15
03-chg-selex-1979,ssb,1998,16801.1,1335.22
03-chg-selex-1979,ssb,1999,19453.2,1474.88
03-chg-selex-1979,ssb,2000,20620.9,1578.6
03-chg-selex-1979,ssb,2001,20945,1553.18
03-chg-selex-1979,ssb,2002,19319.6,1442.25
03-chg-selex-1979,ssb,2003,17102,1301.76
03-chg-selex-1979,ssb,2004,15453.9,1253.67
03-chg-selex-1979,ssb,2005,15131.2,1236.89
03-chg-selex-1979,ssb,2006,16081.4,1285.29
03-chg-selex-1979,ssb,2007,16577.9,1301
03-chg-selex-1979,ssb,2008,16473.3,1260.11
03-chg-selex-1979,ssb,2009,15604,1173.94
03-chg-selex-1979,ssb,2010,14692.1,1083.37
03-chg-selex-1979,ssb,2011,13470.5,1000.99
03-chg-selex-1979,ssb,2012,11998.8,912.421
03-chg-selex-1979,ssb,2013,10873,847.69
03-chg-selex-1979,ssb,2014,10773.9,815.16
03-chg-selex-1979,ssb,2015,10909.3,840.837
03-chg-selex-1979,ssb,2016,11178.3,875.197
03-chg-selex-1979,ssb,2017,11809.9,908.668
03-chg-selex-1979,ssb,2018,12406.9,938.05
03-chg-selex-1979,ssb,2019,12963.1,968.843
03-chg-selex-1979,ssb,2020,13171.6,999.719
03-chg-selex-1979,ssb,2021,13626.1,1042.31
03-chg-selex-1979,ssb,2022,16249.7,1296.33
