id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.04247592,0.2194977533,262.76633,235.0157,23.50157
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.09695725,0.0046894935,292.00943,246.6102,24.66102
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2424078,0.1597656015,309.90983,279.0613,27.90613
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4827507,0.1555014629,333.02543,285.37399,28.537399
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,0.9943682,0.1357203506,353.85403,291.19186,29.119186
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.4467547,-0.3759263496,362.90823,293.554,29.3554
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.7174031,-0.6880695893,384.28818,306.64002,30.664002
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.092886,-0.4507903999,390.82415,309.90665,30.990665
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.610559,-0.3700117998,393.70076,313.42835,31.342835
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.199823,-0.3934817597,393.70076,313.42835,31.342835
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.7732845,-0.395630289200001,393.70076,313.42835,31.342835
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9972144,-0.3631614193,387.99239,307.85817,30.785817
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.0004063925,0.02112446,107.5588,114.13841,11.413841
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000548893,0.0368980902,122.7443,121.59494,12.159494
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000613985,-0.0001153412,122.7443,121.59494,12.159494
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.00080176,0.0069931627,122.7443,121.59494,12.159494
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.001866165,0.0760204371,141.6189,127.41939,12.741939
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.007722447,0.1136456761,164.68226,146.52692,14.652692
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,1.2726327,0.4330776708,350.35809,281.00757,28.100757
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.6466365,0.4811014622,314.55648,267.92269,26.792269
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.2914254,0.5609448404,279.06472,229.50192,22.950192
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.05842633,0.170828033,202.85019,163.74584,16.374584
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.0149368,0.1747458004,146.6447,134.71558,13.471558
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.003621016,0.0988837446,98.5248,109.73118,10.973118
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.000802738,0.0582609524,79.6502,103.90673,10.390673
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.000262346,0.0072092244,64.4647,96.4502,9.64502
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,250,0.0559987,0.000212169,0.055786531,64.4647,96.4502,9.64502
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,80,0.0176889711,0.0001993624,0.0174896087,47.1866,60.3899,6.03899
06-exclude-more-comp,3,F03_LL.JP.3,yes,LEN,1,85,0.0001993621,0.0001993629,-8.00000000001754e-10,47.1866,60.3899,6.03899
