id,type,yr,Value,StdDev
06-exclude-more-comp,rec,1952,140.046,28.4373
06-exclude-more-comp,rec,1953,143.737,28.5575
06-exclude-more-comp,rec,1954,138.065,27.0045
06-exclude-more-comp,rec,1955,122.775,23.9337
06-exclude-more-comp,rec,1956,119.439,23.0344
06-exclude-more-comp,rec,1957,122.218,23.342
06-exclude-more-comp,rec,1958,124.9,23.7503
06-exclude-more-comp,rec,1959,122.194,22.7862
06-exclude-more-comp,rec,1960,120.294,21.9124
06-exclude-more-comp,rec,1961,122.389,20.8093
06-exclude-more-comp,rec,1962,106.146,17.4554
06-exclude-more-comp,rec,1963,92.3447,17.747
06-exclude-more-comp,rec,1964,85.6354,16.2481
06-exclude-more-comp,rec,1965,90.81,17.2028
06-exclude-more-comp,rec,1966,89.2617,17.2687
06-exclude-more-comp,rec,1967,83.9058,16.9269
06-exclude-more-comp,rec,1968,91.8968,17.3749
06-exclude-more-comp,rec,1969,98.6893,17.5084
06-exclude-more-comp,rec,1970,98.3976,16.7262
06-exclude-more-comp,rec,1971,91.0035,15.5849
06-exclude-more-comp,rec,1972,86.49,14.8011
06-exclude-more-comp,rec,1973,81.2888,14.8667
06-exclude-more-comp,rec,1974,83.1779,14.6681
06-exclude-more-comp,rec,1975,76.424,13.6703
06-exclude-more-comp,rec,1976,78.8906,13.7354
06-exclude-more-comp,rec,1977,87.7116,14.0854
06-exclude-more-comp,rec,1978,92.2939,14.4347
06-exclude-more-comp,rec,1979,108.482,14.3393
06-exclude-more-comp,rec,1980,109.64,13.7143
06-exclude-more-comp,rec,1981,102.524,12.0311
06-exclude-more-comp,rec,1982,76.1439,11.072
06-exclude-more-comp,rec,1983,88.2647,11.5954
06-exclude-more-comp,rec,1984,68.8097,9.58394
06-exclude-more-comp,rec,1985,74.7681,9.76129
06-exclude-more-comp,rec,1986,59.1591,8.905
06-exclude-more-comp,rec,1987,87.6905,14.1394
06-exclude-more-comp,rec,1988,109.653,14.8964
06-exclude-more-comp,rec,1989,82.1434,13.4542
06-exclude-more-comp,rec,1990,77.2889,13.5455
06-exclude-more-comp,rec,1991,79.4916,14.7813
06-exclude-more-comp,rec,1992,100.644,18.0528
06-exclude-more-comp,rec,1993,108.441,18.8472
06-exclude-more-comp,rec,1994,112.586,19.1025
06-exclude-more-comp,rec,1995,94.2155,16.196
06-exclude-more-comp,rec,1996,124.24,18.8088
06-exclude-more-comp,rec,1997,184.411,19.3058
06-exclude-more-comp,rec,1998,127.116,14.4051
06-exclude-more-comp,rec,1999,149.985,14.8902
06-exclude-more-comp,rec,2000,105.568,10.3108
06-exclude-more-comp,rec,2001,91.6649,9.88224
06-exclude-more-comp,rec,2002,113.921,12.6257
06-exclude-more-comp,rec,2003,93.3337,14.1138
06-exclude-more-comp,rec,2004,99.7934,15.6966
06-exclude-more-comp,rec,2005,98.5714,15.0003
06-exclude-more-comp,rec,2006,76.2362,12.385
06-exclude-more-comp,rec,2007,99.284,15.9894
06-exclude-more-comp,rec,2008,101.289,14.6767
06-exclude-more-comp,rec,2009,78.65,11.294
06-exclude-more-comp,rec,2010,76.0648,10.3894
06-exclude-more-comp,rec,2011,68.424,9.39694
06-exclude-more-comp,rec,2012,72.3645,9.46372
06-exclude-more-comp,rec,2013,69.2156,7.481
06-exclude-more-comp,rec,2014,72.382,7.17413
06-exclude-more-comp,rec,2015,62.8414,7.06026
06-exclude-more-comp,rec,2016,62.2944,7.24557
06-exclude-more-comp,rec,2017,68.2002,7.60276
06-exclude-more-comp,rec,2018,56.2301,6.813
06-exclude-more-comp,rec,2019,58.111,8.46462
06-exclude-more-comp,rec,2020,88.5903,16.6359
06-exclude-more-comp,rec,2021,86.614,21.2923
06-exclude-more-comp,rec,2022,86.921,21.0932
