id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.041717492,0.2202561813,266.4859,235.0157,23.50157
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.09642957,0.00521717350000002,294.3516,246.6102,24.66102
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2436158,0.1585576015,312.5791,279.0613,27.90613
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4848701,0.1533820629,336.595,285.37399,28.537399
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.0015713,0.1285172506,357.0262,291.19186,29.119186
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.4462419,-0.3754135496,366.23563,293.554,29.3554
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.7339351,-0.7046015893,387.44861,306.64002,30.664002
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.114755,-0.4726593999,393.66895,309.90665,30.990665
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.651573,-0.4110257998,396.25279,313.42835,31.342835
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.215466,-0.4091247597,396.25279,313.42835,31.342835
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.6727826,-0.2951283892,396.25279,313.42835,31.342835
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9817292,-0.3476762193,390.60616,307.85817,30.785817
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.0004053218,0.0211255307,112.532,114.13841,11.413841
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000543879,0.0369031042,127.8244,121.59494,12.159494
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000604754,-0.0001061102,127.8244,121.59494,12.159494
07-catch-uncertainty,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.000785342,0.0070095807,127.8244,121.59494,12.159494
