id,Year,B.Bmsy,F.Fmsy
07-catch-uncertainty,1952,4.55552,0.0170672
07-catch-uncertainty,1953,4.57058,0.161764
07-catch-uncertainty,1954,4.18913,1.07467
07-catch-uncertainty,1955,2.17893,0.705565
07-catch-uncertainty,1956,1.83242,0.593109
07-catch-uncertainty,1957,1.75244,0.54005
07-catch-uncertainty,1958,1.73433,0.952562
07-catch-uncertainty,1959,1.37689,0.835918
07-catch-uncertainty,1960,1.30732,0.891217
07-catch-uncertainty,1961,1.25881,1.55912
07-catch-uncertainty,1962,0.86779,1.48752
07-catch-uncertainty,1963,0.741041,1.78751
07-catch-uncertainty,1964,0.57017,1.00329
07-catch-uncertainty,1965,0.73427,1.19254
07-catch-uncertainty,1966,0.729053,1.50702
07-catch-uncertainty,1967,0.636067,0.799934
07-catch-uncertainty,1968,0.833509,0.597432
07-catch-uncertainty,1969,1.0341,0.53296
07-catch-uncertainty,1970,1.23678,1.1795
07-catch-uncertainty,1971,0.980156,1.69125
07-catch-uncertainty,1972,0.701636,1.76819
07-catch-uncertainty,1973,0.613592,1.71634
07-catch-uncertainty,1974,0.580912,1.56957
07-catch-uncertainty,1975,0.611979,1.20716
07-catch-uncertainty,1976,0.713193,1.10012
07-catch-uncertainty,1977,0.764203,0.572409
07-catch-uncertainty,1978,0.979523,1.10537
07-catch-uncertainty,1979,0.897026,1.10124
07-catch-uncertainty,1980,0.850913,0.737414
07-catch-uncertainty,1981,1.08849,1.34005
07-catch-uncertainty,1982,0.952389,1.62728
07-catch-uncertainty,1983,0.757744,1.07815
07-catch-uncertainty,1984,0.809326,1.13603
07-catch-uncertainty,1985,0.823543,1.10556
07-catch-uncertainty,1986,0.737771,1.03101
07-catch-uncertainty,1987,0.73209,1.01283
07-catch-uncertainty,1988,0.67617,1.33361
07-catch-uncertainty,1989,0.659987,1.92716
07-catch-uncertainty,1990,0.61129,1.33424
07-catch-uncertainty,1991,0.65514,1.04629
07-catch-uncertainty,1992,0.725143,0.823117
07-catch-uncertainty,1993,0.842709,0.98092
07-catch-uncertainty,1994,0.928176,1.54576
07-catch-uncertainty,1995,0.801232,1.36151
07-catch-uncertainty,1996,0.875839,1.17075
07-catch-uncertainty,1997,0.919021,1.03895
07-catch-uncertainty,1998,1.08515,1.36872
07-catch-uncertainty,1999,1.26276,1.19707
07-catch-uncertainty,2000,1.26289,0.977113
07-catch-uncertainty,2001,1.34689,0.923357
07-catch-uncertainty,2002,1.29915,1.07433
07-catch-uncertainty,2003,1.08956,1.60561
07-catch-uncertainty,2004,0.797581,1.59604
07-catch-uncertainty,2005,0.659588,1.36942
07-catch-uncertainty,2006,0.697962,1.11713
07-catch-uncertainty,2007,0.816496,0.992238
07-catch-uncertainty,2008,0.826076,1.13235
07-catch-uncertainty,2009,0.828631,1.00619
07-catch-uncertainty,2010,0.932282,1.02651
07-catch-uncertainty,2011,0.877156,1.28929
07-catch-uncertainty,2012,0.711934,1.48855
07-catch-uncertainty,2013,0.557263,1.14861
07-catch-uncertainty,2014,0.602959,1.5261
07-catch-uncertainty,2015,0.518009,1.56401
07-catch-uncertainty,2016,0.469266,1.34734
07-catch-uncertainty,2017,0.496083,1.13496
07-catch-uncertainty,2018,0.537434,1.26334
07-catch-uncertainty,2019,0.552272,1.22775
07-catch-uncertainty,2020,0.501934,1.19018
07-catch-uncertainty,2021,0.481015,1.15893
07-catch-uncertainty,2022,0.642727,0.766267
07-catch-uncertainty,2023,0.886311,0.766267
