id,type,yr,Value,StdDev
07-catch-uncertainty,ssb,1952,11546.9,878.911
07-catch-uncertainty,ssb,1953,11585.1,867.491
07-catch-uncertainty,ssb,1954,10618.2,907.26
07-catch-uncertainty,ssb,1955,5522.94,1076.64
07-catch-uncertainty,ssb,1956,4644.64,948.628
07-catch-uncertainty,ssb,1957,4441.9,882.657
07-catch-uncertainty,ssb,1958,4396,852.004
07-catch-uncertainty,ssb,1959,3490.01,798.583
07-catch-uncertainty,ssb,1960,3313.67,756.867
07-catch-uncertainty,ssb,1961,3190.7,730.607
07-catch-uncertainty,ssb,1962,2199.59,647.821
07-catch-uncertainty,ssb,1963,1878.32,573.953
07-catch-uncertainty,ssb,1964,1445.21,521.197
07-catch-uncertainty,ssb,1965,1861.15,577.269
07-catch-uncertainty,ssb,1966,1847.93,647.099
07-catch-uncertainty,ssb,1967,1612.24,653.005
07-catch-uncertainty,ssb,1968,2112.69,711.553
07-catch-uncertainty,ssb,1969,2621.13,791.835
07-catch-uncertainty,ssb,1970,3134.87,807.186
07-catch-uncertainty,ssb,1971,2484.4,692.659
07-catch-uncertainty,ssb,1972,1778.44,554.574
07-catch-uncertainty,ssb,1973,1555.27,478.903
07-catch-uncertainty,ssb,1974,1472.44,459.655
07-catch-uncertainty,ssb,1975,1551.18,491.287
07-catch-uncertainty,ssb,1976,1807.73,514.833
07-catch-uncertainty,ssb,1977,1937.02,528.389
07-catch-uncertainty,ssb,1978,2482.8,539.613
07-catch-uncertainty,ssb,1979,2273.69,465.265
07-catch-uncertainty,ssb,1980,2156.81,419.701
07-catch-uncertainty,ssb,1981,2758.99,414.055
07-catch-uncertainty,ssb,1982,2414.02,384.014
07-catch-uncertainty,ssb,1983,1920.65,355.387
07-catch-uncertainty,ssb,1984,2051.4,363.099
07-catch-uncertainty,ssb,1985,2087.43,360.432
07-catch-uncertainty,ssb,1986,1870.03,356.967
07-catch-uncertainty,ssb,1987,1855.63,346.145
07-catch-uncertainty,ssb,1988,1713.89,360.992
07-catch-uncertainty,ssb,1989,1672.87,398.941
07-catch-uncertainty,ssb,1990,1549.44,364.934
07-catch-uncertainty,ssb,1991,1660.58,408.303
07-catch-uncertainty,ssb,1992,1838.02,441.171
07-catch-uncertainty,ssb,1993,2136.02,478.265
07-catch-uncertainty,ssb,1994,2352.65,522.043
07-catch-uncertainty,ssb,1995,2030.88,491.501
07-catch-uncertainty,ssb,1996,2219.99,472.456
07-catch-uncertainty,ssb,1997,2329.44,470.408
07-catch-uncertainty,ssb,1998,2750.53,521.854
07-catch-uncertainty,ssb,1999,3200.71,554.536
07-catch-uncertainty,ssb,2000,3201.04,593.068
07-catch-uncertainty,ssb,2001,3413.97,594.376
07-catch-uncertainty,ssb,2002,3292.96,531.858
07-catch-uncertainty,ssb,2003,2761.7,443.862
07-catch-uncertainty,ssb,2004,2021.63,385.488
07-catch-uncertainty,ssb,2005,1671.86,364.535
07-catch-uncertainty,ssb,2006,1769.12,399.671
07-catch-uncertainty,ssb,2007,2069.57,436.78
07-catch-uncertainty,ssb,2008,2093.85,466.919
07-catch-uncertainty,ssb,2009,2100.33,463.583
07-catch-uncertainty,ssb,2010,2363.06,454.613
07-catch-uncertainty,ssb,2011,2223.33,419.218
07-catch-uncertainty,ssb,2012,1804.54,358.69
07-catch-uncertainty,ssb,2013,1412.49,320.009
07-catch-uncertainty,ssb,2014,1528.32,286.181
07-catch-uncertainty,ssb,2015,1313,266.522
07-catch-uncertainty,ssb,2016,1189.45,260.353
07-catch-uncertainty,ssb,2017,1257.42,276.723
07-catch-uncertainty,ssb,2018,1362.23,299.87
07-catch-uncertainty,ssb,2019,1399.84,310.055
07-catch-uncertainty,ssb,2020,1272.25,316.212
07-catch-uncertainty,ssb,2021,1219.23,345.598
07-catch-uncertainty,ssb,2022,1629.12,486.555
