id,factor,fleet,value
07-catch-uncertainty,4,1,0.1
07-catch-uncertainty,7,1,0.1
07-catch-uncertainty,4,2,0.0833333
07-catch-uncertainty,7,2,0.1
07-catch-uncertainty,4,3,0.1
07-catch-uncertainty,7,3,0.1
07-catch-uncertainty,4,4,0.1
07-catch-uncertainty,7,4,0.1
07-catch-uncertainty,4,5,0.1
07-catch-uncertainty,7,5,0.1
07-catch-uncertainty,4,6,0.0555556
07-catch-uncertainty,7,6,0.1
07-catch-uncertainty,4,7,0.1
07-catch-uncertainty,7,7,0.1
07-catch-uncertainty,4,8,0.1
07-catch-uncertainty,7,8,0.1
07-catch-uncertainty,4,9,0.1
07-catch-uncertainty,7,9,0.0833333
07-catch-uncertainty,4,10,0.1
07-catch-uncertainty,7,10,0.0434783
07-catch-uncertainty,4,11,0.0625
07-catch-uncertainty,7,11,0.1
07-catch-uncertainty,4,12,0.0294118
07-catch-uncertainty,7,12,0.1
07-catch-uncertainty,4,13,0.1
07-catch-uncertainty,7,13,0.1
07-catch-uncertainty,4,14,0.1
07-catch-uncertainty,7,14,0.1
07-catch-uncertainty,4,15,0.0666667
07-catch-uncertainty,7,15,0.0666667
07-catch-uncertainty,1,16,0.190777
07-catch-uncertainty,4,16,0.1
07-catch-uncertainty,7,16,0.1
