id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
08-relax-growth,16,S01_INDEX.1-4,1979.83,1.86281,1.36479,0.333202,0.311084,1
08-relax-growth,16,S01_INDEX.1-4,1980.83,1.31391,1.51775,0.33254,-0.144224,1
08-relax-growth,16,S01_INDEX.1-4,1981.83,1.2559,1.16103,0.332625,0.0785464,1
08-relax-growth,16,S01_INDEX.1-4,1982.83,1.50646,1.10144,0.326376,0.313144,1
08-relax-growth,16,S01_INDEX.1-4,1983.83,0.922278,0.867871,0.330303,0.060804,1
08-relax-growth,16,S01_INDEX.1-4,1984.83,1.32673,0.867892,0.323343,0.424406,1
08-relax-growth,16,S01_INDEX.1-4,1985.83,0.877509,0.843414,0.321945,0.0396288,1
08-relax-growth,16,S01_INDEX.1-4,1986.83,0.855618,0.8465,0.335276,0.0107136,1
08-relax-growth,16,S01_INDEX.1-4,1987.83,0.835362,1.01253,0.345836,-0.19234,1
08-relax-growth,16,S01_INDEX.1-4,1988.83,0.736157,0.753321,0.35762,-0.0230479,1
08-relax-growth,16,S01_INDEX.1-4,1989.83,1.65752,0.947274,0.320639,0.559489,1
08-relax-growth,16,S01_INDEX.1-4,1990.83,1.13159,0.895921,0.336645,0.233526,1
08-relax-growth,16,S01_INDEX.1-4,1991.83,1.02708,0.92723,0.345696,0.102274,1
08-relax-growth,16,S01_INDEX.1-4,1992.83,0.558306,1.0983,0.384414,-0.676608,1
08-relax-growth,16,S01_INDEX.1-4,1993.83,0.81207,1.03786,0.34892,-0.245332,1
08-relax-growth,16,S01_INDEX.1-4,1994.83,1.12053,1.10252,0.341153,0.0162034,1
08-relax-growth,16,S01_INDEX.1-4,1995.83,1.11373,1.12024,0.358465,-0.00583179,1
08-relax-growth,16,S01_INDEX.1-4,1996.83,1.1907,1.35352,0.34189,-0.128166,1
08-relax-growth,16,S01_INDEX.1-4,1997.83,1.31626,1.27318,0.348221,0.0332803,1
08-relax-growth,16,S01_INDEX.1-4,1998.83,1.99334,1.84563,0.32869,0.0769914,1
08-relax-growth,16,S01_INDEX.1-4,1999.83,1.18608,1.46735,0.36947,-0.212806,1
08-relax-growth,16,S01_INDEX.1-4,2000.83,0.788006,1.67625,0.384061,-0.754809,1
08-relax-growth,16,S01_INDEX.1-4,2001.83,0.727835,1.96192,0.380242,-0.991606,1
08-relax-growth,16,S01_INDEX.1-4,2002.83,0.803887,1.43049,0.361598,-0.576315,1
08-relax-growth,16,S01_INDEX.1-4,2003.83,1.3191,1.36014,0.345035,-0.0306393,1
08-relax-growth,16,S01_INDEX.1-4,2004.83,1.26325,1.00475,0.348968,0.228945,1
08-relax-growth,16,S01_INDEX.1-4,2005.83,1.04284,0.940048,0.364489,0.103772,1
08-relax-growth,16,S01_INDEX.1-4,2006.83,0.740614,0.948837,0.374613,-0.247757,1
08-relax-growth,16,S01_INDEX.1-4,2007.83,0.829133,1.04663,0.363606,-0.232949,1
08-relax-growth,16,S01_INDEX.1-4,2008.83,1.047,0.978386,0.36146,0.0677804,1
08-relax-growth,16,S01_INDEX.1-4,2009.83,0.645173,0.981412,0.380014,-0.419474,1
08-relax-growth,16,S01_INDEX.1-4,2010.83,0.790723,0.952843,0.376337,-0.186503,1
08-relax-growth,16,S01_INDEX.1-4,2011.83,0.722675,0.822544,0.38025,-0.129442,1
08-relax-growth,16,S01_INDEX.1-4,2012.83,0.69595,0.724826,0.384556,-0.0406541,1
08-relax-growth,16,S01_INDEX.1-4,2013.83,0.717588,0.832928,0.38891,-0.149052,1
08-relax-growth,16,S01_INDEX.1-4,2014.83,0.790042,0.673556,0.384902,0.159515,1
08-relax-growth,16,S01_INDEX.1-4,2015.83,0.78514,0.615866,0.386274,0.242832,1
08-relax-growth,16,S01_INDEX.1-4,2016.83,0.687733,0.625528,0.380715,0.094804,1
08-relax-growth,16,S01_INDEX.1-4,2017.83,0.591417,0.599688,0.367136,-0.0138888,1
08-relax-growth,16,S01_INDEX.1-4,2018.83,0.724244,0.69525,0.376776,0.0408569,1
08-relax-growth,16,S01_INDEX.1-4,2019.83,0.794833,0.659349,0.361991,0.186879,1
08-relax-growth,16,S01_INDEX.1-4,2020.83,0.742562,0.544492,0.372401,0.310254,1
08-relax-growth,16,S01_INDEX.1-4,2021.83,1.23811,0.596454,0.357539,0.730339,1
08-relax-growth,16,S01_INDEX.1-4,2022.83,0.912191,0.699439,0.383859,0.265571,1
