id,type,yr,Value,StdDev
09-relax-growth-v2,rec,1952,121.643,0
09-relax-growth-v2,rec,1953,121.831,0
09-relax-growth-v2,rec,1954,118.617,0
09-relax-growth-v2,rec,1955,108.635,0
09-relax-growth-v2,rec,1956,106.914,0
09-relax-growth-v2,rec,1957,100.32,0
09-relax-growth-v2,rec,1958,106.622,0
09-relax-growth-v2,rec,1959,103.731,0
09-relax-growth-v2,rec,1960,95.8039,0
09-relax-growth-v2,rec,1961,110.463,0
09-relax-growth-v2,rec,1962,67.1654,0
09-relax-growth-v2,rec,1963,99.8213,0
09-relax-growth-v2,rec,1964,44.4838,0
09-relax-growth-v2,rec,1965,82.2014,0
09-relax-growth-v2,rec,1966,59.7845,0
09-relax-growth-v2,rec,1967,66.5365,0
09-relax-growth-v2,rec,1968,54.9538,0
09-relax-growth-v2,rec,1969,86.0303,0
09-relax-growth-v2,rec,1970,84.4613,0
09-relax-growth-v2,rec,1971,91.0031,0
09-relax-growth-v2,rec,1972,57.7371,0
09-relax-growth-v2,rec,1973,76.6953,0
09-relax-growth-v2,rec,1974,50.635,0
09-relax-growth-v2,rec,1975,71.4438,0
09-relax-growth-v2,rec,1976,60.2135,0
09-relax-growth-v2,rec,1977,78.5812,0
09-relax-growth-v2,rec,1978,66.808,0
09-relax-growth-v2,rec,1979,76.1775,0
09-relax-growth-v2,rec,1980,70.2485,0
09-relax-growth-v2,rec,1981,103.175,0
09-relax-growth-v2,rec,1982,54.724,0
09-relax-growth-v2,rec,1983,69.9496,0
09-relax-growth-v2,rec,1984,51.9217,0
09-relax-growth-v2,rec,1985,61.3806,0
09-relax-growth-v2,rec,1986,61.863,0
09-relax-growth-v2,rec,1987,53.805,0
09-relax-growth-v2,rec,1988,100.56,0
09-relax-growth-v2,rec,1989,65.3323,0
09-relax-growth-v2,rec,1990,59.0846,0
09-relax-growth-v2,rec,1991,56.4685,0
09-relax-growth-v2,rec,1992,65.9346,0
09-relax-growth-v2,rec,1993,94.775,0
09-relax-growth-v2,rec,1994,81.702,0
09-relax-growth-v2,rec,1995,83.2157,0
09-relax-growth-v2,rec,1996,71.7044,0
09-relax-growth-v2,rec,1997,132.854,0
09-relax-growth-v2,rec,1998,96.6382,0
09-relax-growth-v2,rec,1999,106.364,0
09-relax-growth-v2,rec,2000,101.469,0
09-relax-growth-v2,rec,2001,66.3665,0
09-relax-growth-v2,rec,2002,112.672,0
09-relax-growth-v2,rec,2003,79.8102,0
09-relax-growth-v2,rec,2004,71.6404,0
09-relax-growth-v2,rec,2005,65.2366,0
09-relax-growth-v2,rec,2006,60.6629,0
09-relax-growth-v2,rec,2007,68.6651,0
09-relax-growth-v2,rec,2008,63.9361,0
09-relax-growth-v2,rec,2009,65.5194,0
09-relax-growth-v2,rec,2010,64.1134,0
09-relax-growth-v2,rec,2011,64.2684,0
09-relax-growth-v2,rec,2012,56.8006,0
09-relax-growth-v2,rec,2013,56.2285,0
09-relax-growth-v2,rec,2014,60.7745,0
09-relax-growth-v2,rec,2015,50.0645,0
09-relax-growth-v2,rec,2016,45.795,0
09-relax-growth-v2,rec,2017,51.2535,0
09-relax-growth-v2,rec,2018,53.5046,0
09-relax-growth-v2,rec,2019,45.8306,0
09-relax-growth-v2,rec,2020,56.7795,0
09-relax-growth-v2,rec,2021,53.7066,0
09-relax-growth-v2,rec,2022,52.7782,0
