id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
11-CAAL-no-ageerr,L_at_Amin_Fem_GP_1,67.3034,0,7,5,100,59.9,OK,OK
11-CAAL-no-ageerr,L_at_Amax_Fem_GP_1,212.555,0,6,50,600,210.956,OK,OK
11-CAAL-no-ageerr,VonBert_K_Fem_GP_1,0.877847,0,8,0.01,0.99,0.8351,OK,OK
11-CAAL-no-ageerr,SR_LN(R0),4.81863,0,1,2,15,4.7881,OK,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1952_s_4,0.000841154,0,5,0,20,0.05,act,CHECK
11-CAAL-no-ageerr,F_fleet_15_YR_1953_s_1,0.000194309,0,5,0,20,0.05,act,CHECK
11-CAAL-no-ageerr,F_fleet_15_YR_1953_s_3,0.00390435,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1953_s_4,0.425786,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1954_s_1,0.054748,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1954_s_2,0.00197887,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1954_s_3,0.565456,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1954_s_4,2.92076,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1955_s_1,0.116666,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1955_s_2,0.00724756,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1955_s_3,0.568263,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1955_s_4,1.27217,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1956_s_1,0.0553256,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1956_s_2,0.00933128,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1956_s_3,0.32277,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1956_s_4,1.17899,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1957_s_1,0.0172817,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1957_s_2,0.00709565,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1957_s_3,0.243731,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1957_s_4,1.24018,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1958_s_1,0.0101901,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1958_s_2,0.00432441,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1958_s_3,0.522494,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1958_s_4,1.99883,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1959_s_1,0.0515153,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1959_s_2,0.0572053,0,5,0,20,0.05,act,OK
11-CAAL-no-ageerr,F_fleet_15_YR_1959_s_3,0.964744,0,5,0,20,0.05,act,OK
