id,Yr,SpawnBio,bias_adjusted,pred_recr
11-CAAL-no-ageerr,1942,12932.5,123.795,124.202
11-CAAL-no-ageerr,1943,12932.5,123.795,123.971
11-CAAL-no-ageerr,1944,12932.5,123.795,124.051
11-CAAL-no-ageerr,1945,12932.5,123.795,124.172
11-CAAL-no-ageerr,1946,12932.5,123.795,124.368
11-CAAL-no-ageerr,1947,12932.5,123.795,124.718
11-CAAL-no-ageerr,1948,12932.5,123.795,125.398
11-CAAL-no-ageerr,1949,12932.5,123.795,126.54
11-CAAL-no-ageerr,1950,12932.5,123.795,127.08
11-CAAL-no-ageerr,1951,12932.5,123.795,126.747
11-CAAL-no-ageerr,1952,13116.2,123.903,127.739
11-CAAL-no-ageerr,1953,13105.6,123.897,128.773
11-CAAL-no-ageerr,1954,11946.9,123.16,126.825
11-CAAL-no-ageerr,1955,5875.78,115.152,115.776
11-CAAL-no-ageerr,1956,4923.64,112.371,111.785
11-CAAL-no-ageerr,1957,4714.86,111.635,111.655
11-CAAL-no-ageerr,1958,4694.09,111.558,113.617
11-CAAL-no-ageerr,1959,3678.09,106.973,111.99
11-CAAL-no-ageerr,1960,3504.37,105.976,108.205
11-CAAL-no-ageerr,1961,3369.66,105.146,107.611
11-CAAL-no-ageerr,1962,2256.16,95.5401,95.7353
11-CAAL-no-ageerr,1963,1848.4,90.0277,88.791
11-CAAL-no-ageerr,1964,1316.46,79.7577,75.9431
11-CAAL-no-ageerr,1965,1791.09,89.0804,85.3453
11-CAAL-no-ageerr,1966,1721.8,87.9107,84.9759
11-CAAL-no-ageerr,1967,1540.23,84.5648,73.6985
11-CAAL-no-ageerr,1968,2084.79,93.2898,84.3252
11-CAAL-no-ageerr,1969,2546.6,98.4937,82.8149
11-CAAL-no-ageerr,1970,3074.39,102.941,89.2802
11-CAAL-no-ageerr,1971,2147.42,94.0285,80.6255
11-CAAL-no-ageerr,1972,1394.31,81.4114,73.0728
11-CAAL-no-ageerr,1973,1189.34,76.365,64.2116
11-CAAL-no-ageerr,1974,999.736,70.7125,65.0373
11-CAAL-no-ageerr,1975,900.614,67.2687,61.4481
11-CAAL-no-ageerr,1976,964.686,69.5111,62.0502
11-CAAL-no-ageerr,1977,1014.92,71.1573,64.7442
11-CAAL-no-ageerr,1978,1461.9,82.7623,73.354
11-CAAL-no-ageerr,1979,1139.81,74.8933,82.6673
11-CAAL-no-ageerr,1980,1031.59,71.6404,74.0908
11-CAAL-no-ageerr,1981,1528.42,84.0629,104.722
11-CAAL-no-ageerr,1982,1038.44,71.8234,53.283
11-CAAL-no-ageerr,1983,928.474,68.1464,73.1674
11-CAAL-no-ageerr,1984,948.951,68.8461,52.1832
11-CAAL-no-ageerr,1985,1001.83,70.6043,66.3218
11-CAAL-no-ageerr,1986,803.969,63.3753,47.9996
11-CAAL-no-ageerr,1987,936.91,68.3809,59.5447
11-CAAL-no-ageerr,1988,847.088,65.0599,97.5286
11-CAAL-no-ageerr,1989,766.835,61.7842,65.6961
11-CAAL-no-ageerr,1990,709.816,59.2516,57.34
11-CAAL-no-ageerr,1991,707.051,59.1114,54.5593
11-CAAL-no-ageerr,1992,790.648,62.742,64.9561
11-CAAL-no-ageerr,1993,960.361,69.0962,93.1124
11-CAAL-no-ageerr,1994,1041.92,71.7366,81.2658
11-CAAL-no-ageerr,1995,916.559,67.5382,80.6952
11-CAAL-no-ageerr,1996,1002.31,70.4435,63.6556
11-CAAL-no-ageerr,1997,1128.38,74.2639,143.325
11-CAAL-no-ageerr,1998,1173.42,75.5019,86.7093
11-CAAL-no-ageerr,1999,1499.26,83.1368,108.343
11-CAAL-no-ageerr,2000,1210.14,76.4501,106.132
11-CAAL-no-ageerr,2001,1403.4,81.0773,58.2941
11-CAAL-no-ageerr,2002,1666.81,86.245,119.955
11-CAAL-no-ageerr,2003,1295.11,78.5415,74.5682
11-CAAL-no-ageerr,2004,1179.02,75.551,73.1879
11-CAAL-no-ageerr,2005,822.754,63.8565,67.1879
11-CAAL-no-ageerr,2006,794.048,62.6827,58.6186
11-CAAL-no-ageerr,2007,871.599,65.7265,70.5646
11-CAAL-no-ageerr,2008,907.462,67.0438,68.858
11-CAAL-no-ageerr,2009,896.189,66.6355,65.958
11-CAAL-no-ageerr,2010,987.478,69.7989,63.8895
11-CAAL-no-ageerr,2011,957.081,68.7808,61.484
11-CAAL-no-ageerr,2012,781.132,62.1479,57.0412
11-CAAL-no-ageerr,2013,627.254,55.0624,52.4648
11-CAAL-no-ageerr,2014,749.478,60.8009,62.0238
11-CAAL-no-ageerr,2015,548.709,50.85,48.6105
11-CAAL-no-ageerr,2016,489.088,47.3256,46.0676
11-CAAL-no-ageerr,2017,511.987,48.7154,50.36
11-CAAL-no-ageerr,2018,550.913,50.9746,51.2397
11-CAAL-no-ageerr,2019,548.049,50.8126,42.9006
11-CAAL-no-ageerr,2020,506.193,48.3681,53.1333
11-CAAL-no-ageerr,2021,437.817,44.0362,54.5398
11-CAAL-no-ageerr,2022,459.112,45.89,53.1411
11-CAAL-no-ageerr,2023,600.402,54.2127,54.2127
