id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
13-CAAL-noAgeerr-OGsd,1,1952.37,0.002,0.00199999,0.146462,0.00199999,4.95095e-05,2.94845e-08,1
13-CAAL-noAgeerr-OGsd,1,1952.62,0.002,0.00199999,0.146382,0.00199999,4.93296e-05,2.92682e-08,1
13-CAAL-noAgeerr-OGsd,1,1953.12,0.068,0.0679998,4.96176,0.0679998,0.0016605,2.88286e-08,1
13-CAAL-noAgeerr-OGsd,1,1953.37,0.014,0.014,1.0213,0.014,0.000340865,2.86961e-08,1
13-CAAL-noAgeerr-OGsd,1,1953.62,0.023,0.0229999,1.67859,0.0229999,0.000558201,5.8271e-08,1
13-CAAL-noAgeerr-OGsd,1,1953.87,0.024,0.0239974,1.7358,0.0239974,0.000596753,5.03751e-05,1
13-CAAL-noAgeerr-OGsd,1,1954.12,0.175,0.174999,12.5002,0.174999,0.0044497,4.59362e-08,1
13-CAAL-noAgeerr-OGsd,1,1954.37,0.328,0.327999,23.4476,0.327999,0.00832971,3.20984e-08,1
13-CAAL-noAgeerr-OGsd,1,1954.62,0.257,0.256996,18.1841,0.256996,0.00673468,8.23648e-07,1
13-CAAL-noAgeerr-OGsd,1,1954.87,0.34,0.340098,22.449,0.340098,0.0105474,0.000343421,1
13-CAAL-noAgeerr-OGsd,1,1955.12,0.216,0.215999,13.3482,0.215999,0.00742768,7.66977e-08,1
13-CAAL-noAgeerr-OGsd,1,1955.37,0.228,0.227999,14.1877,0.227999,0.00762729,5.83046e-08,1
13-CAAL-noAgeerr-OGsd,1,1955.62,0.184,0.183999,11.441,0.183999,0.00617792,6.87814e-08,1
13-CAAL-noAgeerr-OGsd,1,1955.87,0.412,0.412004,24.9966,0.412004,0.0147311,4.57633e-07,1
13-CAAL-noAgeerr-OGsd,1,1956.12,0.14,0.139999,8.3685,0.139999,0.00511836,7.81787e-08,1
13-CAAL-noAgeerr-OGsd,1,1956.37,0.201,0.200999,12.1917,0.200999,0.00713418,6.77654e-08,1
13-CAAL-noAgeerr-OGsd,1,1956.62,0.112,0.112,6.84932,0.112,0.00394707,8.15627e-08,1
13-CAAL-noAgeerr-OGsd,1,1956.87,0.255,0.255002,15.3654,0.255002,0.00945455,3.32477e-07,1
13-CAAL-noAgeerr-OGsd,1,1957.12,0.125,0.124999,7.44258,0.124999,0.00471895,7.24431e-08,1
13-CAAL-noAgeerr-OGsd,1,1957.37,0.098,0.0979996,5.91999,0.0979996,0.00357749,7.55435e-08,1
13-CAAL-noAgeerr-OGsd,1,1957.62,0.234,0.233999,14.2654,0.233999,0.00838609,1.32954e-07,1
13-CAAL-noAgeerr-OGsd,1,1957.87,0.645,0.645006,38.7628,0.645006,0.0240437,3.37175e-07,1
13-CAAL-noAgeerr-OGsd,1,1958.12,0.27,0.269999,16.0026,0.269999,0.0102201,6.92422e-08,1
13-CAAL-noAgeerr-OGsd,1,1958.37,0.241,0.240999,14.477,0.240999,0.00881057,6.71721e-08,1
13-CAAL-noAgeerr-OGsd,1,1958.62,0.61,0.609997,36.7408,0.609997,0.0222212,7.05269e-08,1
13-CAAL-noAgeerr-OGsd,1,1958.87,1.446,1.44608,84.1275,1.44608,0.0574157,1.30139e-05,1
13-CAAL-noAgeerr-OGsd,1,1959.12,0.22,0.219999,12.4492,0.219999,0.00906686,8.57216e-08,1
13-CAAL-noAgeerr-OGsd,1,1959.37,0.264,0.263999,15.1707,0.263999,0.0104279,1.03675e-07,1
13-CAAL-noAgeerr-OGsd,1,1959.62,0.534,0.533998,30.6775,0.533998,0.021097,3.46643e-08,1
13-CAAL-noAgeerr-OGsd,1,1959.87,0.9,0.9,50.6764,0.9,0.0371969,1.9513e-10,1
13-CAAL-noAgeerr-OGsd,1,1960.12,0.211,0.210999,11.8376,0.210999,0.00868123,8.72979e-08,1
13-CAAL-noAgeerr-OGsd,1,1960.37,0.495,0.494998,28.3324,0.494998,0.0195828,8.84224e-08,1
13-CAAL-noAgeerr-OGsd,1,1960.62,0.654,0.654001,37.3519,0.654001,0.0263324,3.20572e-09,1
13-CAAL-noAgeerr-OGsd,1,1960.87,0.978,0.977997,54.6661,0.977997,0.0415271,3.4397e-08,1
13-CAAL-noAgeerr-OGsd,1,1961.12,0.589,0.588997,32.8492,0.588997,0.0248458,8.49078e-08,1
13-CAAL-noAgeerr-OGsd,1,1961.37,0.423,0.422998,24.0833,0.422998,0.0171162,9.69305e-08,1
13-CAAL-noAgeerr-OGsd,1,1961.62,7.602,7.60204,429.696,7.60204,0.322977,9.24863e-08,1
13-CAAL-noAgeerr-OGsd,1,1961.87,0.933,0.933055,50.3109,0.933055,0.0447939,1.42289e-05,1
13-CAAL-noAgeerr-OGsd,1,1962.12,1.645,1.64499,87.0302,1.64499,0.0806939,1.21099e-07,1
13-CAAL-noAgeerr-OGsd,1,1962.37,0.47,0.469997,25.4622,0.469997,0.0220247,1.25047e-07,1
13-CAAL-noAgeerr-OGsd,1,1962.62,1.061,1.061,57.8812,1.061,0.0502532,1.49419e-08,1
13-CAAL-noAgeerr-OGsd,1,1962.87,1.322,1.32207,70.1147,1.32207,0.0687483,1.13375e-05,1
