id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
14-CAAL-target-earlyF,1,0,0.707867,77.2359,9.9314,3.38887,8.31621e-09,0,
14-CAAL-target-earlyF,1,1,0.4718,130.245,10.35,21.0729,0.000339061,0.0120694,
14-CAAL-target-earlyF,1,2,0.4007,163.644,10.6137,47.3009,0.102855,6.44605,
14-CAAL-target-earlyF,1,3,0.3766,184.688,10.7798,72.7062,0.599132,48.0149,
14-CAAL-target-earlyF,1,4,0.3669,197.947,10.8845,93.0509,0.882917,84.6961,
14-CAAL-target-earlyF,1,5,0.3629,206.301,10.9505,107.808,0.960545,104.716,
14-CAAL-target-earlyF,1,6,0.3612,211.565,10.9921,117.931,0.982167,116.443,
14-CAAL-target-earlyF,1,7,0.3605,214.882,11.0183,124.652,0.989577,123.745,
14-CAAL-target-earlyF,1,8,0.3602,216.972,11.0348,129.026,0.992662,128.369,
14-CAAL-target-earlyF,1,9,0.36,218.288,11.0451,131.838,0.994144,131.305,
14-CAAL-target-earlyF,1,10,0.36,219.562,11.0517,134.6,0.995313,134.166,
14-CAAL-target-earlyF,1,0.25,0.64885,92.8639,10.0548,6.42261,1.90976e-07,0,
14-CAAL-target-earlyF,1,1.25,0.454025,140.091,10.4277,27.2669,0.00229502,0.0120694,
14-CAAL-target-earlyF,1,2.25,0.394675,169.848,10.6627,53.9834,0.205776,6.44605,
14-CAAL-target-earlyF,1,3.25,0.374175,188.597,10.8107,78.3304,0.702381,48.0149,
14-CAAL-target-earlyF,1,4.25,0.3659,200.41,10.904,97.2392,0.912989,84.6961,
14-CAAL-target-earlyF,1,5.25,0.362475,207.853,10.9628,110.724,0.968529,104.716,
14-CAAL-target-earlyF,1,6.25,0.361025,212.543,10.9998,119.885,0.984737,116.443,
14-CAAL-target-earlyF,1,7.25,0.360425,215.498,11.0231,125.93,0.990592,123.745,
14-CAAL-target-earlyF,1,8.25,0.36015,217.36,11.0378,129.85,0.993132,128.369,
14-CAAL-target-earlyF,1,9.25,0.36,218.533,11.0471,132.365,0.994387,131.305,
14-CAAL-target-earlyF,1,10.25,0.36,219.668,11.0517,134.831,0.9954,134.166,
14-CAAL-target-earlyF,1,0.5,0.589834,106.787,10.1647,10.4716,3.11706e-06,0,
14-CAAL-target-earlyF,1,1.5,0.43625,148.864,10.497,33.8106,0.0112785,0.0120694,
14-CAAL-target-earlyF,1,2.5,0.38865,175.376,10.7063,60.4897,0.336601,6.44605,
14-CAAL-target-earlyF,1,3.5,0.37175,192.08,10.8382,83.6002,0.781942,48.0149,
14-CAAL-target-earlyF,1,4.5,0.3649,202.605,10.9213,101.084,0.934345,84.6961,
14-CAAL-target-earlyF,1,5.5,0.36205,209.236,10.9737,113.371,0.974419,104.716,
14-CAAL-target-earlyF,1,6.5,0.36085,213.414,11.0067,121.645,0.986739,116.443,
14-CAAL-target-earlyF,1,7.5,0.36035,216.047,11.0275,127.077,0.99142,123.745,
14-CAAL-target-earlyF,1,8.5,0.3601,217.706,11.0405,130.588,0.993527,128.369,
14-CAAL-target-earlyF,1,9.5,0.36,218.751,11.0488,132.836,0.994595,131.305,
14-CAAL-target-earlyF,1,10.5,0.36,219.762,11.0517,135.037,0.995476,134.166,
14-CAAL-target-earlyF,1,0.75,0.530817,119.193,10.2627,15.412,3.74651e-05,0,
14-CAAL-target-earlyF,1,1.75,0.418475,156.68,10.5587,40.5368,0.0397287,0.0120694,
14-CAAL-target-earlyF,1,2.75,0.382625,180.3,10.7452,66.7478,0.473938,6.44605,
14-CAAL-target-earlyF,1,3.75,0.369325,195.183,10.8627,88.507,0.840655,48.0149,
14-CAAL-target-earlyF,1,4.75,0.3639,204.56,10.9367,104.601,0.94958,84.6961,
14-CAAL-target-earlyF,1,5.75,0.361625,210.468,10.9834,115.766,0.978825,104.716,
14-CAAL-target-earlyF,1,6.75,0.360675,214.19,11.0128,123.229,0.988317,116.443,
14-CAAL-target-earlyF,1,7.75,0.360275,216.536,11.0313,128.105,0.992099,123.745,
14-CAAL-target-earlyF,1,8.75,0.36005,218.014,11.043,131.248,0.993861,128.369,
14-CAAL-target-earlyF,1,9.75,0.36,218.945,11.0503,133.257,0.994774,131.305,
14-CAAL-target-earlyF,1,10.75,0.36,219.846,11.0517,135.22,0.995543,134.166,
