id,factor,fleet,value
14-CAAL-target-earlyF,4,1,0.1
14-CAAL-target-earlyF,7,1,0.1
14-CAAL-target-earlyF,4,2,0.0833333
14-CAAL-target-earlyF,7,2,0.1
14-CAAL-target-earlyF,4,3,0.1
14-CAAL-target-earlyF,7,3,0.1
14-CAAL-target-earlyF,4,4,0.1
14-CAAL-target-earlyF,7,4,0.1
14-CAAL-target-earlyF,4,5,0.1
14-CAAL-target-earlyF,7,5,0.1
14-CAAL-target-earlyF,4,6,0.0555556
14-CAAL-target-earlyF,7,6,0.1
14-CAAL-target-earlyF,4,7,0.1
14-CAAL-target-earlyF,7,7,0.1
14-CAAL-target-earlyF,4,8,0.1
14-CAAL-target-earlyF,7,8,0.1
14-CAAL-target-earlyF,4,9,0.1
14-CAAL-target-earlyF,7,9,0.0833333
14-CAAL-target-earlyF,4,10,0.1
14-CAAL-target-earlyF,7,10,0.0434783
14-CAAL-target-earlyF,4,11,0.0625
14-CAAL-target-earlyF,7,11,0.1
14-CAAL-target-earlyF,4,12,0.0294118
14-CAAL-target-earlyF,7,12,0.1
14-CAAL-target-earlyF,4,13,0.1
14-CAAL-target-earlyF,7,13,0.1
14-CAAL-target-earlyF,4,14,0.1
14-CAAL-target-earlyF,7,14,0.1
14-CAAL-target-earlyF,4,15,0.0666667
14-CAAL-target-earlyF,7,15,0.0666667
14-CAAL-target-earlyF,4,16,0.1
14-CAAL-target-earlyF,7,16,0.1
