id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
16-CAAL-rm-spike,3,F03_LL.JP.3,1991.125,yes,LEN,1,188.182893995132
16-CAAL-rm-spike,3,F03_LL.JP.3,1991.25,yes,LEN,1,189.456447683829
16-CAAL-rm-spike,3,F03_LL.JP.3,1991.375,yes,LEN,1,189.736224780689
16-CAAL-rm-spike,3,F03_LL.JP.3,1992.25,yes,LEN,1,191.38727594509
16-CAAL-rm-spike,3,F03_LL.JP.3,1992.375,yes,LEN,1,190.625774847739
16-CAAL-rm-spike,3,F03_LL.JP.3,1993.125,yes,LEN,1,188.491453797052
16-CAAL-rm-spike,3,F03_LL.JP.3,1993.25,yes,LEN,1,190.527849333419
16-CAAL-rm-spike,3,F03_LL.JP.3,1993.375,yes,LEN,1,190.179839281304
16-CAAL-rm-spike,3,F03_LL.JP.3,1994.125,yes,LEN,1,188.663269538161
16-CAAL-rm-spike,3,F03_LL.JP.3,1994.25,yes,LEN,1,189.120436082508
16-CAAL-rm-spike,3,F03_LL.JP.3,1994.375,yes,LEN,1,192.959441816223
16-CAAL-rm-spike,3,F03_LL.JP.3,1995.375,yes,LEN,1,188.620126707797
16-CAAL-rm-spike,3,F03_LL.JP.3,1996.25,yes,LEN,1,189.216168578383
16-CAAL-rm-spike,3,F03_LL.JP.3,1996.375,yes,LEN,1,189.294639595889
16-CAAL-rm-spike,3,F03_LL.JP.3,2011.375,yes,LEN,1,196.436570430971
16-CAAL-rm-spike,3,F03_LL.JP.3,2012.25,yes,LEN,1,190.105607591187
16-CAAL-rm-spike,3,F03_LL.JP.3,2014.125,yes,LEN,1,189.814562611262
16-CAAL-rm-spike,3,F03_LL.JP.3,2014.375,yes,LEN,1,189.89693493454
16-CAAL-rm-spike,3,F03_LL.JP.3,2015.25,yes,LEN,1,189.564705064705
16-CAAL-rm-spike,3,F03_LL.JP.3,2016.125,yes,LEN,1,188.187304568612
16-CAAL-rm-spike,3,F03_LL.JP.3,2016.25,yes,LEN,1,191.039875603988
16-CAAL-rm-spike,3,F03_LL.JP.3,2016.375,yes,LEN,1,191.248940161642
16-CAAL-rm-spike,3,F03_LL.JP.3,2020.375,yes,LEN,1,191.738456738457
16-CAAL-rm-spike,5,F05_LL.TW.4,2006.375,yes,LEN,1,173.259672376485
16-CAAL-rm-spike,5,F05_LL.TW.4,2007.25,yes,LEN,1,181.785785639289
16-CAAL-rm-spike,5,F05_LL.TW.4,2007.375,yes,LEN,1,172.988405631165
16-CAAL-rm-spike,5,F05_LL.TW.4,2008.375,yes,LEN,1,177.009944598011
16-CAAL-rm-spike,5,F05_LL.TW.4,2009.125,yes,LEN,1,169.964941187729
16-CAAL-rm-spike,5,F05_LL.TW.4,2010.25,yes,LEN,1,174.254341069637
16-CAAL-rm-spike,5,F05_LL.TW.4,2010.375,yes,LEN,1,174.833265600041
16-CAAL-rm-spike,5,F05_LL.TW.4,2011.375,yes,LEN,1,175.654671125069
16-CAAL-rm-spike,5,F05_LL.TW.4,2014.375,yes,LEN,1,172.4311885
16-CAAL-rm-spike,5,F05_LL.TW.4,2017.375,yes,LEN,1,169.570373457037
16-CAAL-rm-spike,5,F05_LL.TW.4,2018.375,yes,LEN,1,173.023621466276
16-CAAL-rm-spike,5,F05_LL.TW.4,2019.375,yes,LEN,1,172.978222134991
16-CAAL-rm-spike,5,F05_LL.TW.4,2020.375,yes,LEN,1,169.947363509475
16-CAAL-rm-spike,5,F05_LL.TW.4,2020.5,yes,LEN,1,166.385758586158
16-CAAL-rm-spike,5,F05_LL.TW.4,2021.25,yes,LEN,1,168.191937830806
16-CAAL-rm-spike,5,F05_LL.TW.4,2021.375,yes,LEN,1,170.864844707563
16-CAAL-rm-spike,5,F05_LL.TW.4,2022.25,yes,LEN,1,172.800276199724
16-CAAL-rm-spike,10,F10_REC.NZ.3,1985.125,yes,LEN,1,202.069964413993
16-CAAL-rm-spike,10,F10_REC.NZ.3,1986.125,yes,LEN,1,202.126062425213
16-CAAL-rm-spike,10,F10_REC.NZ.3,1987.125,yes,LEN,1,202.791794659149
16-CAAL-rm-spike,10,F10_REC.NZ.3,1988.125,yes,LEN,1,202.891913848391
16-CAAL-rm-spike,10,F10_REC.NZ.3,1989.125,yes,LEN,1,200.466406796086
16-CAAL-rm-spike,10,F10_REC.NZ.3,1991.125,yes,LEN,1,199.577136367771
16-CAAL-rm-spike,10,F10_REC.NZ.3,1992.125,yes,LEN,1,201.2822535
16-CAAL-rm-spike,10,F10_REC.NZ.3,1993.125,yes,LEN,1,202.225107502597
16-CAAL-rm-spike,10,F10_REC.NZ.3,1994.125,yes,LEN,1,201.899370196918
16-CAAL-rm-spike,10,F10_REC.NZ.3,2004.125,yes,LEN,1,200.833790249863
16-CAAL-rm-spike,10,F10_REC.NZ.3,2006.125,yes,LEN,1,200.467403379459
16-CAAL-rm-spike,10,F10_REC.NZ.3,2007.125,yes,LEN,1,200.835902252312
16-CAAL-rm-spike,10,F10_REC.NZ.3,2008.125,yes,LEN,1,201.631080847568
16-CAAL-rm-spike,10,F10_REC.NZ.3,2012.125,yes,LEN,1,202.68999107298
16-CAAL-rm-spike,10,F10_REC.NZ.3,2013.125,yes,LEN,1,202.053421821369
16-CAAL-rm-spike,10,F10_REC.NZ.3,2014.125,yes,LEN,1,200.789548763135
16-CAAL-rm-spike,10,F10_REC.NZ.3,2015.125,yes,LEN,1,201.567204313441
16-CAAL-rm-spike,10,F10_REC.NZ.3,2016.125,yes,LEN,1,200.51680620397
16-CAAL-rm-spike,10,F10_REC.NZ.3,2017.125,yes,LEN,1,200.813709418629
16-CAAL-rm-spike,10,F10_REC.NZ.3,2018.125,yes,LEN,1,200.966710326952
16-CAAL-rm-spike,11,F11_LL.ALL.1,1998.375,yes,LEN,1,163.672250697728
16-CAAL-rm-spike,11,F11_LL.ALL.1,1999.125,yes,LEN,1,162.221671825468
16-CAAL-rm-spike,11,F11_LL.ALL.1,1999.25,yes,LEN,1,161.737626251565
16-CAAL-rm-spike,11,F11_LL.ALL.1,1999.5,yes,LEN,1,161.332660068576
16-CAAL-rm-spike,11,F11_LL.ALL.1,2001.375,yes,LEN,1,167.316873974588
16-CAAL-rm-spike,11,F11_LL.ALL.1,2002.25,yes,LEN,1,162.553107755311
16-CAAL-rm-spike,11,F11_LL.ALL.1,2002.375,yes,LEN,1,163.688178933655
16-CAAL-rm-spike,11,F11_LL.ALL.1,2002.5,yes,LEN,1,164.54634217304
16-CAAL-rm-spike,11,F11_LL.ALL.1,2003.125,yes,LEN,1,164.898365410981
16-CAAL-rm-spike,11,F11_LL.ALL.1,2003.25,yes,LEN,1,165.052477942274
16-CAAL-rm-spike,11,F11_LL.ALL.1,2003.5,yes,LEN,1,165.187094074838
16-CAAL-rm-spike,11,F11_LL.ALL.1,2004.125,yes,LEN,1,163.54949814505
16-CAAL-rm-spike,11,F11_LL.ALL.1,2004.25,yes,LEN,1,163.977105693132
16-CAAL-rm-spike,11,F11_LL.ALL.1,2004.5,yes,LEN,1,162.193670245064
16-CAAL-rm-spike,11,F11_LL.ALL.1,2005.125,yes,LEN,1,161.347172634717
16-CAAL-rm-spike,11,F11_LL.ALL.1,2005.375,yes,LEN,1,162.962804879628
16-CAAL-rm-spike,11,F11_LL.ALL.1,2005.5,yes,LEN,1,163.079464003303
16-CAAL-rm-spike,11,F11_LL.ALL.1,2015.125,yes,LEN,1,145.73348911467
16-CAAL-rm-spike,11,F11_LL.ALL.1,2015.25,yes,LEN,1,162.559629376789
16-CAAL-rm-spike,11,F11_LL.ALL.1,2015.375,yes,LEN,1,161.968385430316
16-CAAL-rm-spike,11,F11_LL.ALL.1,2015.5,yes,LEN,1,160.850824322816
16-CAAL-rm-spike,11,F11_LL.ALL.1,2016.125,yes,LEN,1,161.330446133045
16-CAAL-rm-spike,11,F11_LL.ALL.1,2016.25,yes,LEN,1,161.030835272158
16-CAAL-rm-spike,11,F11_LL.ALL.1,2016.375,yes,LEN,1,160.991341011212
16-CAAL-rm-spike,11,F11_LL.ALL.1,2016.5,yes,LEN,1,159.289662450146
16-CAAL-rm-spike,11,F11_LL.ALL.1,2017.25,yes,LEN,1,160.532577731643
16-CAAL-rm-spike,11,F11_LL.ALL.1,2017.375,yes,LEN,1,162.080391216502
16-CAAL-rm-spike,11,F11_LL.ALL.1,2017.5,yes,LEN,1,162.093720662512
16-CAAL-rm-spike,11,F11_LL.ALL.1,2018.125,yes,LEN,1,162.799857380057
16-CAAL-rm-spike,11,F11_LL.ALL.1,2018.25,yes,LEN,1,163.459199972705
