id,type,yr,Value,StdDev
16-CAAL-rm-spike,ssb,1952,11731.9,964.439
16-CAAL-rm-spike,ssb,1953,11833.7,955.516
16-CAAL-rm-spike,ssb,1954,10828.8,948.547
16-CAAL-rm-spike,ssb,1955,5506.77,1028.15
16-CAAL-rm-spike,ssb,1956,4577.2,894.915
16-CAAL-rm-spike,ssb,1957,4420.7,818.357
16-CAAL-rm-spike,ssb,1958,4397.22,790.055
16-CAAL-rm-spike,ssb,1959,3492.12,736.621
16-CAAL-rm-spike,ssb,1960,3279.14,705.288
16-CAAL-rm-spike,ssb,1961,3161.65,680.358
16-CAAL-rm-spike,ssb,1962,2249.4,607.044
16-CAAL-rm-spike,ssb,1963,1925.29,536.037
16-CAAL-rm-spike,ssb,1964,1577.83,478.411
16-CAAL-rm-spike,ssb,1965,1983.21,524.638
16-CAAL-rm-spike,ssb,1966,2026.14,556.178
16-CAAL-rm-spike,ssb,1967,1721.61,567.898
16-CAAL-rm-spike,ssb,1968,2159.32,598.321
16-CAAL-rm-spike,ssb,1969,2677.78,642.067
16-CAAL-rm-spike,ssb,1970,3097.45,672.738
16-CAAL-rm-spike,ssb,1971,2384.33,595.246
16-CAAL-rm-spike,ssb,1972,1718.2,479.183
16-CAAL-rm-spike,ssb,1973,1530.38,407.383
16-CAAL-rm-spike,ssb,1974,1471.21,395.897
16-CAAL-rm-spike,ssb,1975,1577.2,412.569
16-CAAL-rm-spike,ssb,1976,1777.25,421.653
16-CAAL-rm-spike,ssb,1977,1859.64,427.682
16-CAAL-rm-spike,ssb,1978,2329.69,441.091
16-CAAL-rm-spike,ssb,1979,2116.07,401.392
16-CAAL-rm-spike,ssb,1980,2012.54,393.548
16-CAAL-rm-spike,ssb,1981,2561.76,385.005
16-CAAL-rm-spike,ssb,1982,2172.98,346.382
16-CAAL-rm-spike,ssb,1983,1683.55,313.849
16-CAAL-rm-spike,ssb,1984,1822.18,317.538
16-CAAL-rm-spike,ssb,1985,1829.92,314.153
16-CAAL-rm-spike,ssb,1986,1656.75,301.209
16-CAAL-rm-spike,ssb,1987,1575.69,280.516
16-CAAL-rm-spike,ssb,1988,1457.28,298.694
16-CAAL-rm-spike,ssb,1989,1446.28,317.445
16-CAAL-rm-spike,ssb,1990,1341.69,297.034
16-CAAL-rm-spike,ssb,1991,1402.14,303.672
16-CAAL-rm-spike,ssb,1992,1533.7,328.792
16-CAAL-rm-spike,ssb,1993,1792.94,369.219
16-CAAL-rm-spike,ssb,1994,1946.66,408.746
16-CAAL-rm-spike,ssb,1995,1683.32,378.719
16-CAAL-rm-spike,ssb,1996,1778.27,348.083
16-CAAL-rm-spike,ssb,1997,1848.8,345.036
16-CAAL-rm-spike,ssb,1998,2093.55,365.174
16-CAAL-rm-spike,ssb,1999,2282.94,390.11
16-CAAL-rm-spike,ssb,2000,2150.73,406.29
16-CAAL-rm-spike,ssb,2001,2412.71,427.324
16-CAAL-rm-spike,ssb,2002,2518.53,397.174
16-CAAL-rm-spike,ssb,2003,2141.11,340.1
16-CAAL-rm-spike,ssb,2004,1699.98,296.792
16-CAAL-rm-spike,ssb,2005,1351.61,271.782
16-CAAL-rm-spike,ssb,2006,1373.65,276.269
16-CAAL-rm-spike,ssb,2007,1521.78,300.208
16-CAAL-rm-spike,ssb,2008,1577.51,321.449
16-CAAL-rm-spike,ssb,2009,1558.74,325.67
16-CAAL-rm-spike,ssb,2010,1668.9,312.627
16-CAAL-rm-spike,ssb,2011,1602.44,282.74
16-CAAL-rm-spike,ssb,2012,1306.3,244.714
16-CAAL-rm-spike,ssb,2013,1072.57,212.171
16-CAAL-rm-spike,ssb,2014,1147.93,197.032
16-CAAL-rm-spike,ssb,2015,980.225,178.11
16-CAAL-rm-spike,ssb,2016,874.808,173.912
16-CAAL-rm-spike,ssb,2017,905.561,181.625
16-CAAL-rm-spike,ssb,2018,1019.79,200.763
16-CAAL-rm-spike,ssb,2019,1002.26,205.346
16-CAAL-rm-spike,ssb,2020,924.853,210.443
16-CAAL-rm-spike,ssb,2021,881.882,239.913
16-CAAL-rm-spike,ssb,2022,1081.54,338.126
