id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.07145971,0.1905139633,290.91304,235.0157,23.50157
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.12932857,-0.0276818265,321.44534,246.6102,24.66102
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2571689,0.1450045015,342.64654,279.0613,27.90613
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4963628,0.1418893629,366.60474,285.37399,28.537399
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.0342536,0.0958349506,386.41259,291.19186,29.119186
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.5346039,-0.4637755496,394.92898,293.554,29.3554
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.866995,-0.8376614893,415.77229,306.64002,30.664002
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.145242,-0.503146399900001,422.41449,309.90665,30.990665
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.546176,-0.305628799800001,424.83193,313.42835,31.342835
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.019855,-0.2135137597,424.83193,313.42835,31.342835
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.755991,-0.378336789199999,424.83193,313.42835,31.342835
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9679928,-0.3339398193,418.91766,307.85817,30.785817
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000429746,0.0211011065,124.9243,114.13841,11.413841
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000647087,0.0367998962,140.4799,121.59494,12.159494
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000922014,-0.0004233702,140.4799,121.59494,12.159494
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.00191493,0.0058799927,140.4799,121.59494,12.159494
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.005778643,0.0721079591,159.5802,127.41939,12.741939
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.02136942,0.0999987031,181.85757,146.52692,14.652692
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,1.1839639,0.5217464708,376.18306,281.00757,28.100757
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.597059,0.5306789622,337.78752,267.92269,26.792269
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.2770094,0.5753608404,299.59826,229.50192,22.950192
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.06082465,0.168429713,211.19399,163.74584,16.374584
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.01655766,0.1731249404,151.2466,134.71558,13.471558
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.004342612,0.0981621486,98.561,109.73118,10.973118
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.001025323,0.0580383674,79.4607,103.90673,10.390673
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.000301476,0.0071700944,63.9051,96.4502,9.64502
18-CAAL-cUnc-cv40,3,F03_LL.JP.3,yes,LEN,1,250,0.0559987,0.000223679,0.055775021,63.9051,96.4502,9.64502
