id,type,yr,Value,StdDev
18-CAAL-cUnc-cv40,f,1952,0.0162273,0
18-CAAL-cUnc-cv40,f,1953,0.1792,0
18-CAAL-cUnc-cv40,f,1954,1.00191,0
18-CAAL-cUnc-cv40,f,1955,0.695727,0
18-CAAL-cUnc-cv40,f,1956,0.594726,0
18-CAAL-cUnc-cv40,f,1957,0.550089,0
18-CAAL-cUnc-cv40,f,1958,0.960518,0
18-CAAL-cUnc-cv40,f,1959,0.873631,0
18-CAAL-cUnc-cv40,f,1960,0.930086,0
18-CAAL-cUnc-cv40,f,1961,1.48985,0
18-CAAL-cUnc-cv40,f,1962,1.41896,0
18-CAAL-cUnc-cv40,f,1963,1.64685,0
18-CAAL-cUnc-cv40,f,1964,0.948522,0
18-CAAL-cUnc-cv40,f,1965,1.1075,0
18-CAAL-cUnc-cv40,f,1966,1.41544,0
18-CAAL-cUnc-cv40,f,1967,0.762071,0
18-CAAL-cUnc-cv40,f,1968,0.587154,0
18-CAAL-cUnc-cv40,f,1969,0.550927,0
18-CAAL-cUnc-cv40,f,1970,1.25654,0
18-CAAL-cUnc-cv40,f,1971,1.77215,0
18-CAAL-cUnc-cv40,f,1972,1.92356,0
18-CAAL-cUnc-cv40,f,1973,1.93182,0
18-CAAL-cUnc-cv40,f,1974,1.66094,0
18-CAAL-cUnc-cv40,f,1975,1.22782,0
18-CAAL-cUnc-cv40,f,1976,1.14919,0
18-CAAL-cUnc-cv40,f,1977,0.591172,0
18-CAAL-cUnc-cv40,f,1978,1.11293,0
18-CAAL-cUnc-cv40,f,1979,1.16994,0
18-CAAL-cUnc-cv40,f,1980,0.79927,0
18-CAAL-cUnc-cv40,f,1981,1.49699,0
18-CAAL-cUnc-cv40,f,1982,1.91065,0
18-CAAL-cUnc-cv40,f,1983,1.25112,0
18-CAAL-cUnc-cv40,f,1984,1.30223,0
18-CAAL-cUnc-cv40,f,1985,1.2553,0
18-CAAL-cUnc-cv40,f,1986,1.17751,0
18-CAAL-cUnc-cv40,f,1987,1.15109,0
18-CAAL-cUnc-cv40,f,1988,1.50267,0
18-CAAL-cUnc-cv40,f,1989,2.32449,0
18-CAAL-cUnc-cv40,f,1990,1.61452,0
18-CAAL-cUnc-cv40,f,1991,1.2404,0
18-CAAL-cUnc-cv40,f,1992,0.916597,0
18-CAAL-cUnc-cv40,f,1993,1.14117,0
18-CAAL-cUnc-cv40,f,1994,1.85251,0
18-CAAL-cUnc-cv40,f,1995,1.71135,0
18-CAAL-cUnc-cv40,f,1996,1.47487,0
18-CAAL-cUnc-cv40,f,1997,1.30848,0
18-CAAL-cUnc-cv40,f,1998,1.7927,0
18-CAAL-cUnc-cv40,f,1999,1.54528,0
18-CAAL-cUnc-cv40,f,2000,1.24208,0
18-CAAL-cUnc-cv40,f,2001,1.08031,0
18-CAAL-cUnc-cv40,f,2002,1.16603,0
18-CAAL-cUnc-cv40,f,2003,1.79679,0
18-CAAL-cUnc-cv40,f,2004,1.7779,0
18-CAAL-cUnc-cv40,f,2005,1.62005,0
18-CAAL-cUnc-cv40,f,2006,1.34846,0
18-CAAL-cUnc-cv40,f,2007,1.19982,0
18-CAAL-cUnc-cv40,f,2008,1.37628,0
18-CAAL-cUnc-cv40,f,2009,1.20755,0
18-CAAL-cUnc-cv40,f,2010,1.22966,0
18-CAAL-cUnc-cv40,f,2011,1.52819,0
18-CAAL-cUnc-cv40,f,2012,1.71096,0
18-CAAL-cUnc-cv40,f,2013,1.35921,0
18-CAAL-cUnc-cv40,f,2014,1.68302,0
18-CAAL-cUnc-cv40,f,2015,1.83488,0
18-CAAL-cUnc-cv40,f,2016,1.67371,0
18-CAAL-cUnc-cv40,f,2017,1.338,0
18-CAAL-cUnc-cv40,f,2018,1.49424,0
18-CAAL-cUnc-cv40,f,2019,1.47535,0
18-CAAL-cUnc-cv40,f,2020,1.41227,0
18-CAAL-cUnc-cv40,f,2021,1.50239,0
18-CAAL-cUnc-cv40,f,2022,1.00109,0
