id,type,yr,Value,StdDev
18-CAAL-cUnc-cv40,rec,1952,173.726,35.5703
18-CAAL-cUnc-cv40,rec,1953,170.448,34.3698
18-CAAL-cUnc-cv40,rec,1954,164.756,32.8707
18-CAAL-cUnc-cv40,rec,1955,155.864,31.1276
18-CAAL-cUnc-cv40,rec,1956,154.504,31.0489
18-CAAL-cUnc-cv40,rec,1957,157.316,31.8094
18-CAAL-cUnc-cv40,rec,1958,159.438,32.048
18-CAAL-cUnc-cv40,rec,1959,152.408,30.8768
18-CAAL-cUnc-cv40,rec,1960,152.659,30.5523
18-CAAL-cUnc-cv40,rec,1961,147.011,29.0382
18-CAAL-cUnc-cv40,rec,1962,133.389,27.2478
18-CAAL-cUnc-cv40,rec,1963,129.078,26.6729
18-CAAL-cUnc-cv40,rec,1964,122.804,25.8507
18-CAAL-cUnc-cv40,rec,1965,126.879,25.8067
18-CAAL-cUnc-cv40,rec,1966,125.655,25.6413
18-CAAL-cUnc-cv40,rec,1967,122.644,25.7293
18-CAAL-cUnc-cv40,rec,1968,131.505,25.7892
18-CAAL-cUnc-cv40,rec,1969,134.29,25.0929
18-CAAL-cUnc-cv40,rec,1970,132.835,24.456
18-CAAL-cUnc-cv40,rec,1971,128.564,24.1344
18-CAAL-cUnc-cv40,rec,1972,120.775,23.6358
18-CAAL-cUnc-cv40,rec,1973,118.739,22.4561
18-CAAL-cUnc-cv40,rec,1974,107.407,20.4346
18-CAAL-cUnc-cv40,rec,1975,107.674,20.2406
18-CAAL-cUnc-cv40,rec,1976,118.719,21.0639
18-CAAL-cUnc-cv40,rec,1977,123.751,22.2431
18-CAAL-cUnc-cv40,rec,1978,150.068,22.7018
18-CAAL-cUnc-cv40,rec,1979,142.579,22.5251
18-CAAL-cUnc-cv40,rec,1980,149.409,19.2748
18-CAAL-cUnc-cv40,rec,1981,105.821,16.6014
18-CAAL-cUnc-cv40,rec,1982,121.932,17.6099
18-CAAL-cUnc-cv40,rec,1983,97.9754,14.8433
18-CAAL-cUnc-cv40,rec,1984,97.7646,13.3615
18-CAAL-cUnc-cv40,rec,1985,76.955,12.5946
18-CAAL-cUnc-cv40,rec,1986,102.901,19.8675
18-CAAL-cUnc-cv40,rec,1987,165.978,23.167
18-CAAL-cUnc-cv40,rec,1988,115.22,19.0489
18-CAAL-cUnc-cv40,rec,1989,100.354,17.3857
18-CAAL-cUnc-cv40,rec,1990,98.1796,18.6797
18-CAAL-cUnc-cv40,rec,1991,117.853,23.0732
18-CAAL-cUnc-cv40,rec,1992,144.686,25.8209
18-CAAL-cUnc-cv40,rec,1993,146.253,25.112
18-CAAL-cUnc-cv40,rec,1994,127.203,21.5693
18-CAAL-cUnc-cv40,rec,1995,118.706,21.6205
18-CAAL-cUnc-cv40,rec,1996,243.408,26.3456
18-CAAL-cUnc-cv40,rec,1997,137.613,17.662
18-CAAL-cUnc-cv40,rec,1998,195.113,22.9739
18-CAAL-cUnc-cv40,rec,1999,170.165,15.5023
18-CAAL-cUnc-cv40,rec,2000,86.68,11.3751
18-CAAL-cUnc-cv40,rec,2001,180.662,18.2422
18-CAAL-cUnc-cv40,rec,2002,113.267,15.9692
18-CAAL-cUnc-cv40,rec,2003,125.451,18.8633
18-CAAL-cUnc-cv40,rec,2004,121.367,18.653
18-CAAL-cUnc-cv40,rec,2005,96.0793,15.8972
18-CAAL-cUnc-cv40,rec,2006,119.041,19.6196
18-CAAL-cUnc-cv40,rec,2007,116.463,18.392
18-CAAL-cUnc-cv40,rec,2008,106.435,15.6195
18-CAAL-cUnc-cv40,rec,2009,97.1385,14.4246
18-CAAL-cUnc-cv40,rec,2010,94.6689,13.0422
18-CAAL-cUnc-cv40,rec,2011,90.7805,12.2342
18-CAAL-cUnc-cv40,rec,2012,84.381,11.0685
18-CAAL-cUnc-cv40,rec,2013,99.9648,10.5377
18-CAAL-cUnc-cv40,rec,2014,79.3149,8.9806
18-CAAL-cUnc-cv40,rec,2015,83.4287,10.2068
18-CAAL-cUnc-cv40,rec,2016,83.8843,10.0839
18-CAAL-cUnc-cv40,rec,2017,81.5127,9.07467
18-CAAL-cUnc-cv40,rec,2018,68.2764,9.31968
18-CAAL-cUnc-cv40,rec,2019,95.1101,16.1265
18-CAAL-cUnc-cv40,rec,2020,133.873,27.2543
18-CAAL-cUnc-cv40,rec,2021,99.8743,22.0758
18-CAAL-cUnc-cv40,rec,2022,107.668,25.7301
