id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
19-CAAL-1979,L_at_Amin_Fem_GP_1,78.1315,0,7,5,100,78.1315,OK,OK
19-CAAL-1979,L_at_Amax_Fem_GP_1,204.121,0,6,50,600,204.121,OK,OK
19-CAAL-1979,VonBert_K_Fem_GP_1,0.560883,0,8,0.01,0.99,0.560883,OK,OK
19-CAAL-1979,SR_LN(R0),6.64235,0,1,2,15,6.64235,OK,OK
19-CAAL-1979,Size_DblN_peak_F01_LL.JP.1(1),176.54,0,2,45,325,176.54,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_F01_LL.JP.1(1),7.54974,0,4,-10,10,7.54974,OK,OK
19-CAAL-1979,Size_DblN_descend_se_F01_LL.JP.1(1),4.26628,0,5,-10,10,4.26628,OK,OK
19-CAAL-1979,Size_DblN_end_logit_F01_LL.JP.1(1),-1.14065,0,3,-999,9,-1.14065,OK,OK
19-CAAL-1979,Size_DblN_peak_F02_LL.JP.2(2),192.204,0,2,45,325,192.204,OK,OK
19-CAAL-1979,Size_DblN_top_logit_F02_LL.JP.2(2),0.0483999,0,3,-10,10,0.0483999,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_F02_LL.JP.2(2),5.58554,0,4,-10,10,5.58554,OK,OK
19-CAAL-1979,Size_DblN_descend_se_F02_LL.JP.2(2),0.00015134,0,5,-10,10,0.00015134,OK,OK
19-CAAL-1979,Size_DblN_peak_F03_LL.JP.3(3),199.247,0,2,45,325,199.247,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_F03_LL.JP.3(3),6.52516,0,4,-10,10,6.52516,OK,OK
19-CAAL-1979,Size_DblN_descend_se_F03_LL.JP.3(3),-4.75837,0,5,-10,10,-4.75837,OK,OK
19-CAAL-1979,Size_DblN_end_logit_F03_LL.JP.3(3),2.0651,0,3,-999,9,2.0651,HI,OK
19-CAAL-1979,Size_DblN_peak_F04_LL.JP.4(4),187.37,0,2,45,325,187.37,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_F04_LL.JP.4(4),7.32726,0,4,-10,10,7.32726,OK,OK
19-CAAL-1979,Size_DblN_descend_se_F04_LL.JP.4(4),-5.96476,0,5,-10,10,-5.96476,OK,OK
19-CAAL-1979,Size_DblN_end_logit_F04_LL.JP.4(4),-0.330902,0,3,-999,9,-0.330902,HI,OK
19-CAAL-1979,Size_DblN_peak_F06_LL.AU.2(6),183.539,0,2,45,325,183.539,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_F06_LL.AU.2(6),5.53704,0,4,-10,10,5.53704,OK,OK
19-CAAL-1979,Size_DblN_descend_se_F06_LL.AU.2(6),5.03208,0,5,-10,10,5.03208,OK,OK
19-CAAL-1979,Size_DblN_end_logit_F06_LL.AU.2(6),-0.8312,0,3,-999,9,-0.8312,HI,OK
19-CAAL-1979,Size_DblN_peak_F07_LL.AU.3(7),188.618,0,2,45,325,188.618,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_F07_LL.AU.3(7),6.08295,0,4,-10,10,6.08295,OK,OK
19-CAAL-1979,Size_DblN_descend_se_F07_LL.AU.3(7),4.82629,0,5,-10,10,4.82629,OK,OK
19-CAAL-1979,Size_DblN_end_logit_F07_LL.AU.3(7),-0.350567,0,3,-999,9,-0.350567,HI,OK
19-CAAL-1979,Size_DblN_peak_F09.REC.AU.3(9),195.048,0,2,45,325,195.048,OK,OK
19-CAAL-1979,Size_DblN_top_logit_F09.REC.AU.3(9),0.000902894,0,3,-10,10,0.000902894,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_F09.REC.AU.3(9),5.46778,0,4,-10,10,5.46778,OK,OK
19-CAAL-1979,Size_DblN_descend_se_F09.REC.AU.3(9),7.30009e-05,0,5,-10,10,7.30009e-05,OK,OK
19-CAAL-1979,Size_inflection_F10_REC.NZ.3(10),214.573,0,2,45,325,214.573,OK,OK
19-CAAL-1979,Size_95%width_F10_REC.NZ.3(10),31.2238,0,3,0,500,31.2238,OK,OK
19-CAAL-1979,Size_DblN_peak_S01_INDEX.1-4(15),272.253,0,2,45,325,272.253,OK,OK
19-CAAL-1979,Size_DblN_top_logit_S01_INDEX.1-4(15),-0.000948662,0,3,-10,10,-0.000948662,OK,OK
19-CAAL-1979,Size_DblN_ascend_se_S01_INDEX.1-4(15),8.24096,0,4,-10,10,8.24096,OK,OK
19-CAAL-1979,Size_DblN_descend_se_S01_INDEX.1-4(15),-9.17351e-06,0,5,-10,10,-9.17351e-06,OK,OK
