"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" 0.0041241 0.199922 "Early_InitAge" 1969
"Early_InitAge_9" 0.00211741 0.200087 "Early_InitAge" 1970
"Early_InitAge_8" 0.00343181 0.200084 "Early_InitAge" 1971
"Early_InitAge_7" 0.00588459 0.200076 "Early_InitAge" 1972
"Early_InitAge_6" 0.0100772 0.20008 "Early_InitAge" 1973
"Early_InitAge_5" 0.0176633 0.200139 "Early_InitAge" 1974
"Early_InitAge_4" 0.0299458 0.199895 "Early_InitAge" 1975
"Early_InitAge_3" 0.0376865 0.198079 "Early_InitAge" 1976
"Early_InitAge_2" 0.0501357 0.195438 "Early_InitAge" 1977
"Early_InitAge_1" 0.0903976 0.190378 "Early_InitAge" 1978
"Main_RecrDev_1979" 0.0962464 0.183824 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.0591915 0.180343 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.0762761 0.1791 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.0116439 0.179084 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.166409 0.175583 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.200262 0.172768 "Main_RecrDev" 1984
"Main_RecrDev_1985" -0.183174 0.174134 "Main_RecrDev" 1985
"Main_RecrDev_1986" 0.102427 0.193737 "Main_RecrDev" 1986
"Main_RecrDev_1987" 0.267116 0.199131 "Main_RecrDev" 1987
"Main_RecrDev_1988" 0.0361571 0.19158 "Main_RecrDev" 1988
"Main_RecrDev_1989" -0.00380638 0.19029 "Main_RecrDev" 1989
"Main_RecrDev_1990" 0.0112386 0.192543 "Main_RecrDev" 1990
"Main_RecrDev_1991" 0.0470751 0.193617 "Main_RecrDev" 1991
"Main_RecrDev_1992" 0.0550896 0.193243 "Main_RecrDev" 1992
"Main_RecrDev_1993" 0.0284403 0.192229 "Main_RecrDev" 1993
"Main_RecrDev_1994" 0.0362509 0.191983 "Main_RecrDev" 1994
"Main_RecrDev_1995" 0.190318 0.205871 "Main_RecrDev" 1995
"Main_RecrDev_1996" 0.634314 0.155492 "Main_RecrDev" 1996
"Main_RecrDev_1997" 0.00585516 0.165083 "Main_RecrDev" 1997
"Main_RecrDev_1998" 0.301831 0.140072 "Main_RecrDev" 1998
"Main_RecrDev_1999" -0.242367 0.162416 "Main_RecrDev" 1999
"Main_RecrDev_2000" -0.553142 0.153887 "Main_RecrDev" 2000
"Main_RecrDev_2001" 0.16305 0.135875 "Main_RecrDev" 2001
"Main_RecrDev_2002" -0.152409 0.168094 "Main_RecrDev" 2002
"Main_RecrDev_2003" 0.111836 0.185528 "Main_RecrDev" 2003
"Main_RecrDev_2004" 0.12087 0.18825 "Main_RecrDev" 2004
"Main_RecrDev_2005" -0.0551048 0.179523 "Main_RecrDev" 2005
"Main_RecrDev_2006" 0.09153 0.182693 "Main_RecrDev" 2006
"Main_RecrDev_2007" -0.0564726 0.181117 "Main_RecrDev" 2007
"Main_RecrDev_2008" -0.172513 0.171738 "Main_RecrDev" 2008
"Main_RecrDev_2009" -0.210571 0.170427 "Main_RecrDev" 2009
"Main_RecrDev_2010" -0.206244 0.164311 "Main_RecrDev" 2010
"Main_RecrDev_2011" -0.181385 0.167476 "Main_RecrDev" 2011
"Main_RecrDev_2012" -0.0974859 0.161701 "Main_RecrDev" 2012
"Main_RecrDev_2013" 0.0154399 0.145453 "Main_RecrDev" 2013
"Main_RecrDev_2014" -0.156352 0.148129 "Main_RecrDev" 2014
"Main_RecrDev_2015" 0.00661401 0.138769 "Main_RecrDev" 2015
"Main_RecrDev_2016" -0.115425 0.143728 "Main_RecrDev" 2016
"Main_RecrDev_2017" -0.155267 0.145567 "Main_RecrDev" 2017
"Main_RecrDev_2018" -0.162134 0.15114 "Main_RecrDev" 2018
"Main_RecrDev_2019" 0.354868 0.162476 "Main_RecrDev" 2019
"Main_RecrDev_2020" 0.454939 0.169148 "Main_RecrDev" 2020
"Main_RecrDev_2021" -0.0322565 0.180866 "Main_RecrDev" 2021
"Late_RecrDev_2022" 0.0402533 0.198971 "Late_RecrDev" 2022
"ForeRecr_2023" 0 0.2 "ForeRecr" 2023
