id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
20-CAAL-1979-estInitF,1,0,0.707867,77.3123,9.9314,3.40042,8.44264e-09,0,
20-CAAL-1979-estInitF,1,1,0.4718,132.526,10.4232,22.413,0.000543009,0.0204515,
20-CAAL-1979-estInitF,1,2,0.4007,163.58,10.6998,47.2498,0.103118,6.47481,
20-CAAL-1979-estInitF,1,3,0.3766,181.045,10.8553,67.7544,0.495416,38.0518,
20-CAAL-1979-estInitF,1,4,0.3669,190.868,10.9428,81.7636,0.7544,65.5814,
20-CAAL-1979-estInitF,1,5,0.3629,196.392,10.992,90.5031,0.858696,80.6195,
20-CAAL-1979-estInitF,1,6,0.3612,199.5,11.0197,95.7047,0.901162,88.5552,
20-CAAL-1979-estInitF,1,7,0.3605,201.247,11.0353,98.7232,0.920307,92.8476,
20-CAAL-1979-estInitF,1,8,0.3602,202.23,11.044,100.451,0.929706,95.2118,
20-CAAL-1979-estInitF,1,9,0.36,202.783,11.0489,101.432,0.934585,96.5267,
20-CAAL-1979-estInitF,1,10,0.36,203.219,11.0517,102.212,0.938253,97.5586,
20-CAAL-1979-estInitF,1,0.25,0.64885,94.2211,10.082,6.75723,2.52351e-07,0,
20-CAAL-1979-estInitF,1,1.25,0.454025,142.036,10.5079,28.6392,0.00337925,0.0204515,
20-CAAL-1979-estInitF,1,2.25,0.394675,168.928,10.7474,52.9687,0.188678,6.47481,
20-CAAL-1979-estInitF,1,3.25,0.374175,184.053,10.8821,71.8437,0.580881,38.0518,
20-CAAL-1979-estInitF,1,4.25,0.3659,192.56,10.9579,84.3721,0.790272,65.5814,
20-CAAL-1979-estInitF,1,5.25,0.362475,197.344,11.0005,92.0738,0.872902,80.6195,
20-CAAL-1979-estInitF,1,6.25,0.361025,200.035,11.0245,96.6219,0.907369,88.5552,
20-CAAL-1979-estInitF,1,7.25,0.360425,201.548,11.0379,99.25,0.923286,92.8476,
20-CAAL-1979-estInitF,1,8.25,0.36015,202.399,11.0455,100.751,0.93123,95.2118,
20-CAAL-1979-estInitF,1,9.25,0.36,202.878,11.0498,101.602,0.935397,96.5267,
20-CAAL-1979-estInitF,1,10.25,0.36,203.256,11.0517,102.277,0.938555,97.5586,
20-CAAL-1979-estInitF,1,0.5,0.589834,108.864,10.2124,11.2069,4.78635e-06,0,
20-CAAL-1979-estInitF,1,1.5,0.43625,150.272,10.5812,34.968,0.014613,0.0204515,
20-CAAL-1979-estInitF,1,2.5,0.38865,173.56,10.7887,58.3118,0.29114,6.47481,
20-CAAL-1979-estInitF,1,3.5,0.37175,186.658,10.9053,75.5266,0.651765,38.0518,
20-CAAL-1979-estInitF,1,4.5,0.3649,194.025,10.9709,86.6792,0.81856,65.5814,
20-CAAL-1979-estInitF,1,5.5,0.36205,198.168,11.0078,93.4498,0.884336,80.6195,
20-CAAL-1979-estInitF,1,6.5,0.36085,200.498,11.0286,97.4213,0.912496,88.5552,
20-CAAL-1979-estInitF,1,7.5,0.36035,201.809,11.0403,99.7078,0.925793,92.8476,
20-CAAL-1979-estInitF,1,8.5,0.3601,202.546,11.0468,101.011,0.932529,95.2118,
20-CAAL-1979-estInitF,1,9.5,0.36,202.96,11.0505,101.749,0.936094,96.5267,
20-CAAL-1979-estInitF,1,10.5,0.36,203.288,11.0517,102.334,0.938817,97.5586,
20-CAAL-1979-estInitF,1,0.75,0.530817,121.545,10.3254,16.5155,6.10464e-05,0,
20-CAAL-1979-estInitF,1,1.75,0.418475,157.404,10.6448,41.2173,0.0448776,0.0204515,
20-CAAL-1979-estInitF,1,2.75,0.382625,177.571,10.8244,63.2447,0.396937,6.47481,
20-CAAL-1979-estInitF,1,3.75,0.369325,188.914,10.9254,78.8245,0.708954,38.0518,
20-CAAL-1979-estInitF,1,4.75,0.3639,195.294,10.9822,88.7136,0.840925,65.5814,
20-CAAL-1979-estInitF,1,5.75,0.361625,198.882,11.0142,94.6534,0.893602,80.6195,
20-CAAL-1979-estInitF,1,6.75,0.360675,200.899,11.0322,98.1174,0.916754,88.5552,
20-CAAL-1979-estInitF,1,7.75,0.360275,202.034,11.0423,100.105,0.927911,92.8476,
20-CAAL-1979-estInitF,1,8.75,0.36005,202.673,11.048,101.236,0.933638,95.2118,
20-CAAL-1979-estInitF,1,9.75,0.36,203.032,11.0511,101.876,0.936692,96.5267,
20-CAAL-1979-estInitF,1,10.75,0.36,203.315,11.0517,102.383,0.939042,97.5586,
