id,type,yr,Value,StdDev
20-CAAL-1979-estInitF,ssb,1979,181551000,0
20-CAAL-1979-estInitF,ssb,1980,183180000,0
20-CAAL-1979-estInitF,ssb,1981,185543000,0
20-CAAL-1979-estInitF,ssb,1982,187612000,0
20-CAAL-1979-estInitF,ssb,1983,187484000,0
20-CAAL-1979-estInitF,ssb,1984,184409000,0
20-CAAL-1979-estInitF,ssb,1985,180730000,0
20-CAAL-1979-estInitF,ssb,1986,174871000,0
20-CAAL-1979-estInitF,ssb,1987,168496000,0
20-CAAL-1979-estInitF,ssb,1988,165443000,0
20-CAAL-1979-estInitF,ssb,1989,170891000,0
20-CAAL-1979-estInitF,ssb,1990,180746000,0
20-CAAL-1979-estInitF,ssb,1991,185016000,0
20-CAAL-1979-estInitF,ssb,1992,184999000,0
20-CAAL-1979-estInitF,ssb,1993,184188000,0
20-CAAL-1979-estInitF,ssb,1994,184066000,0
20-CAAL-1979-estInitF,ssb,1995,184212000,0
20-CAAL-1979-estInitF,ssb,1996,183969000,0
20-CAAL-1979-estInitF,ssb,1997,185088000,0
20-CAAL-1979-estInitF,ssb,1998,194589000,0
20-CAAL-1979-estInitF,ssb,1999,212500000,0
20-CAAL-1979-estInitF,ssb,2000,216997000,0
20-CAAL-1979-estInitF,ssb,2001,215468000,0
20-CAAL-1979-estInitF,ssb,2002,201630000,0
20-CAAL-1979-estInitF,ssb,2003,184895000,0
20-CAAL-1979-estInitF,ssb,2004,180109000,0
20-CAAL-1979-estInitF,ssb,2005,177555000,0
20-CAAL-1979-estInitF,ssb,2006,179687000,0
20-CAAL-1979-estInitF,ssb,2007,182702000,0
20-CAAL-1979-estInitF,ssb,2008,182760000,0
20-CAAL-1979-estInitF,ssb,2009,182947000,0
20-CAAL-1979-estInitF,ssb,2010,180094000,0
20-CAAL-1979-estInitF,ssb,2011,173991000,0
20-CAAL-1979-estInitF,ssb,2012,167116000,0
20-CAAL-1979-estInitF,ssb,2013,161526000,0
20-CAAL-1979-estInitF,ssb,2014,158418000,0
20-CAAL-1979-estInitF,ssb,2015,158914000,0
20-CAAL-1979-estInitF,ssb,2016,161498000,0
20-CAAL-1979-estInitF,ssb,2017,162428000,0
20-CAAL-1979-estInitF,ssb,2018,164309000,0
20-CAAL-1979-estInitF,ssb,2019,164046000,0
20-CAAL-1979-estInitF,ssb,2020,161994000,0
20-CAAL-1979-estInitF,ssb,2021,163882000,0
20-CAAL-1979-estInitF,ssb,2022,179476000,0
