id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1991.125,yes,LEN,1,188.135088815123
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1991.25,yes,LEN,1,189.405533286051
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1991.375,yes,LEN,1,189.690203456407
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1992.25,yes,LEN,1,191.349082730183
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1992.375,yes,LEN,1,190.5867579485
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1993.125,yes,LEN,1,188.460448857344
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1993.25,yes,LEN,1,190.481457790371
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1993.375,yes,LEN,1,190.126037715289
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1994.125,yes,LEN,1,188.609564677809
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1994.25,yes,LEN,1,189.05924432252
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1994.375,yes,LEN,1,192.913961748377
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1995.375,yes,LEN,1,188.577108069157
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1996.25,yes,LEN,1,189.176641264962
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,1996.375,yes,LEN,1,189.257994671344
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2011.375,yes,LEN,1,196.420710857929
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2012.25,yes,LEN,1,190.081278065443
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2014.125,yes,LEN,1,189.799418160465
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2014.375,yes,LEN,1,189.893388426653
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2015.25,yes,LEN,1,189.560612868184
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2016.125,yes,LEN,1,188.187048721929
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2016.25,yes,LEN,1,191.034957568538
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2016.375,yes,LEN,1,191.246183411699
21-CAAL-NZrecwtQtr,3,F03_LL.JP.3,2020.375,yes,LEN,1,191.732523980243
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2006.375,yes,LEN,1,173.159412596021
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2007.25,yes,LEN,1,181.723259266723
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2007.375,yes,LEN,1,172.869841455883
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2008.375,yes,LEN,1,176.899796709817
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2009.125,yes,LEN,1,169.863250274442
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2010.25,yes,LEN,1,174.125990568711
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2010.375,yes,LEN,1,174.697070893808
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2011.375,yes,LEN,1,175.525981547915
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2014.375,yes,LEN,1,172.314176157088
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2017.375,yes,LEN,1,169.477020604596
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2018.375,yes,LEN,1,172.916131767783
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2019.375,yes,LEN,1,172.892930402505
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2020.375,yes,LEN,1,169.878469986632
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2020.5,yes,LEN,1,166.353965159023
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2021.25,yes,LEN,1,168.113743269763
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2021.375,yes,LEN,1,170.767918137543
21-CAAL-NZrecwtQtr,5,F05_LL.TW.4,2022.25,yes,LEN,1,172.685894111536
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1985.125,yes,LEN,1,202.058746029373
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1986.125,yes,LEN,1,202.114936960912
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1987.125,yes,LEN,1,202.785526259461
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1988.125,yes,LEN,1,202.895852353346
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1989.125,yes,LEN,1,200.425032166297
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1991.125,yes,LEN,1,199.551704199631
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1992.125,yes,LEN,1,201.270369389259
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1993.125,yes,LEN,1,202.22585144517
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,1994.125,yes,LEN,1,201.889337839677
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2004.125,yes,LEN,1,200.888665644534
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2006.125,yes,LEN,1,200.489090575018
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2007.125,yes,LEN,1,200.856489414351
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2008.125,yes,LEN,1,201.653117995935
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2012.125,yes,LEN,1,202.708097217582
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2013.125,yes,LEN,1,202.067107533554
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2014.125,yes,LEN,1,200.80481872624
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2015.125,yes,LEN,1,201.598409979523
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2016.125,yes,LEN,1,200.552404825793
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2017.125,yes,LEN,1,200.846529685142
21-CAAL-NZrecwtQtr,10,F10_REC.NZ.3,2018.125,yes,LEN,1,201.003894682454
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,1998.375,yes,LEN,1,163.826794149742
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,1999.125,yes,LEN,1,162.365212934226
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,1999.25,yes,LEN,1,161.856121893215
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,1999.5,yes,LEN,1,161.385905644865
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2001.375,yes,LEN,1,167.345534378687
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2002.25,yes,LEN,1,162.559351767806
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2002.375,yes,LEN,1,163.697578591613
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2002.5,yes,LEN,1,164.550997923631
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2003.125,yes,LEN,1,164.895606848021
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2003.25,yes,LEN,1,165.04268703415
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2003.5,yes,LEN,1,165.1658115
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2004.125,yes,LEN,1,163.515877421905
21-CAAL-NZrecwtQtr,11,F11_LL.ALL.1,2004.25,yes,LEN,1,163.942530288506
