id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,5,0.033746794,0.026484054,0.00726274000000002,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,7,0.031576852,0.026484053,0.00509279900000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,9,0.062268652,0.026484051,0.035784601,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,11,0.066794928,0.026484055,0.040310873,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,13,0.089488226,0.026484056,0.06300417,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,15,0.095012218,0.026484098,0.06852812,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,17,0.074003036,0.026484347,0.047518689,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,19,0.069439892,0.02648542,0.042954472,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,21,0.085283922,0.026489464,0.058794458,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,23,0.081362838,0.026502475,0.054860363,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,25,0.088992502,0.02654129,0.062451212,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,27,0.07291599,0.026647289,0.046268701,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,29,0.080213246,0.026906805,0.053306441,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,31,0.057779754,0.02749748,0.030282274,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,33,0.0669488,0.028740328,0.038208472,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,35,0.07491113,0.03109504,0.04381609,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,37,0.082247984,0.03513768,0.047110304,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,39,0.110783174,0.04198467,0.068798504,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,41,0.09161582,0.05258394,0.03903188,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,43,0.084594746,0.06786183,0.016732916,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,45,0.097434518,0.08913972,0.00829479799999999,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,47,0.158213536,0.11754459,0.040668946,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,49,0.212316966,0.15401036,0.058306606,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,51,0.388494518,0.20210701,0.186387508,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,53,0.358901292,0.25926795,0.099633342,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,55,0.460364814,0.32534016,0.135024654,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,57,0.517214642,0.3994717,0.117742942,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,59,0.779499442,0.4925792,0.286920242,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,61,0.679769744,0.580835,0.098934744,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,63,0.721968744,0.6784749,0.0434938440000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,65,0.865870774,0.7770113,0.0888594739999999,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,67,1.085592442,0.8688077,0.216784742,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,69,1.09204359,0.9576914,0.13435219,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,71,1.114981742,1.033478,0.081503742,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,73,1.2647316,1.0945932,0.1701384,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,75,1.111381,1.1450488,-0.0336678000000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,77,1.196441042,1.1731907,0.0232503420000003,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,79,0.95475761,1.1869384,-0.23218079,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,81,1.2676806,1.1827626,0.0849180000000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,83,1.158058584,1.1639257,-0.0058671159999999,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,85,1.045382384,1.1315834,-0.0862010160000002,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,87,0.919222208,1.0803278,-0.161105592,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,89,0.980221734,1.0252855,-0.0450637660000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,91,0.725428176,0.9628345,-0.237406324,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,93,0.80443447,0.8949096,-0.0904751300000002,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,95,0.778005946,0.8245849,-0.0465789539999999,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,97,0.736466244,0.7540116,-0.017545356,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,99,0.56985413,0.6936437,-0.12378957,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,101,0.4921333,0.6368498,-0.1447165,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,103,0.42453442,0.5835528,-0.15901838,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,105,0.526653022,0.5336707,-0.00701767800000008,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,107,0.366544946,0.487116,-0.120571054,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,109,0.296189056,0.4437947,-0.147605644,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,111,0.238840468,0.40360643,-0.164765962,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,113,0.283221586,0.36644151,-0.083219924,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,115,0.305524314,0.33218458,-0.0266602660000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,117,0.252174764,0.3007111,-0.048536336,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,119,0.220727954,0.27189005,-0.0511620959999999,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,121,0.15410313,0.24558446,-0.09148133,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,123,0.125598492,0.22165156,-0.0960530680000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,125,0.131645274,0.19994576,-0.068300486,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,127,0.130370082,0.18031953,-0.049949448,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,129,0.123426304,0.16262517,-0.039198866,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,131,0.08872231,0.14671678,-0.05799447,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,133,0.064734532,0.13245141,-0.067716878,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,135,0.07110685,0.11969082,-0.04858397,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,137,0.063545472,0.10830251,-0.044757038,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,139,0.125027382,0.16082354,-0.0357961580000001,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,143,0.102444952,0.1267706,-0.024325648,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,147,0.070791682,0.1021591,-0.031367418,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,151,0.077180302,0.08335359,-0.006173288,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,155,0.04695135,0.06786818,-0.02091683,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,159,0.041852238,0.05681441,-0.014962172,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,163,0.054807466,0.0487051,0.00610236600000003,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,167,0.030464838,0.04162872,-0.011163882,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,171,0.030023842,0.03695643,-0.00693258799999998,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,175,0.034985886,0.03283977,0.00214611600000002,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,179,0.028247036,0.030559045,-0.00231200899999999,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,183,0.026975006,0.028714491,-0.00173948499999998,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,187,0.026484018,0.027798751,-0.00131473299999997,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,191,0.026975006,0.027167461,-0.000192454999999984,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,195,0.026484018,0.026840679,-0.000356660999999984,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,199,0.026975006,0.026668344,0.00030666200000002,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,203,0.026484018,0.02656578,-8.17619999999852e-05,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,207,0.026484018,0.026524319,-4.03009999999822e-05,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,211,0.027495366,0.026502681,0.000992685000000028,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,215,0.026484018,0.026491416,-7.39799999997792e-06,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,219,0.026484018,0.026487343,-3.32499999998112e-06,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,223,0.026484018,0.026485441,-1.42299999997958e-06,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,227,0.026484018,0.026484567,-5.48999999974709e-07,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,231,0.026484018,0.026484221,-2.02999999983355e-07,7577.1438,724.037607,724.037607
21-CAAL-NZrecwtQtr,2,F02_LL.JP.2,yes,SIZE,1,235,0.026484018,0.026484099,-8.09999999885902e-08,7577.1438,724.037607,724.037607
