id,type,yr,Value,StdDev
21-CAAL-NZrecwtQtr,f,1952,0.0156998,0.00217247
21-CAAL-NZrecwtQtr,f,1953,0.183525,0.0404836
21-CAAL-NZrecwtQtr,f,1954,1.28207,0.290627
21-CAAL-NZrecwtQtr,f,1955,0.82147,0.179653
21-CAAL-NZrecwtQtr,f,1956,0.67694,0.146586
21-CAAL-NZrecwtQtr,f,1957,0.618007,0.141189
21-CAAL-NZrecwtQtr,f,1958,1.08186,0.243213
21-CAAL-NZrecwtQtr,f,1959,0.972546,0.227408
21-CAAL-NZrecwtQtr,f,1960,1.0392,0.245588
21-CAAL-NZrecwtQtr,f,1961,1.75969,0.434335
21-CAAL-NZrecwtQtr,f,1962,1.68938,0.438473
21-CAAL-NZrecwtQtr,f,1963,1.9936,0.526545
21-CAAL-NZrecwtQtr,f,1964,1.09728,0.291806
21-CAAL-NZrecwtQtr,f,1965,1.25675,0.318523
21-CAAL-NZrecwtQtr,f,1966,1.64674,0.482913
21-CAAL-NZrecwtQtr,f,1967,0.857918,0.231067
21-CAAL-NZrecwtQtr,f,1968,0.650384,0.158508
21-CAAL-NZrecwtQtr,f,1969,0.60407,0.138934
21-CAAL-NZrecwtQtr,f,1970,1.36736,0.299284
21-CAAL-NZrecwtQtr,f,1971,1.97301,0.486849
21-CAAL-NZrecwtQtr,f,1972,2.13539,0.564514
21-CAAL-NZrecwtQtr,f,1973,2.10689,0.558295
21-CAAL-NZrecwtQtr,f,1974,1.84771,0.508608
21-CAAL-NZrecwtQtr,f,1975,1.36609,0.335602
21-CAAL-NZrecwtQtr,f,1976,1.26774,0.304751
21-CAAL-NZrecwtQtr,f,1977,0.642016,0.130716
21-CAAL-NZrecwtQtr,f,1978,1.17427,0.192185
21-CAAL-NZrecwtQtr,f,1979,1.26511,0.236647
21-CAAL-NZrecwtQtr,f,1980,0.85797,0.147631
21-CAAL-NZrecwtQtr,f,1981,1.57938,0.238953
21-CAAL-NZrecwtQtr,f,1982,2.03982,0.364892
21-CAAL-NZrecwtQtr,f,1983,1.34818,0.263362
21-CAAL-NZrecwtQtr,f,1984,1.39532,0.253002
21-CAAL-NZrecwtQtr,f,1985,1.33676,0.234045
21-CAAL-NZrecwtQtr,f,1986,1.2518,0.219676
21-CAAL-NZrecwtQtr,f,1987,1.22877,0.232492
21-CAAL-NZrecwtQtr,f,1988,1.61999,0.337202
21-CAAL-NZrecwtQtr,f,1989,2.50574,0.531629
21-CAAL-NZrecwtQtr,f,1990,1.74377,0.366953
21-CAAL-NZrecwtQtr,f,1991,1.33518,0.279144
21-CAAL-NZrecwtQtr,f,1992,0.976797,0.186875
21-CAAL-NZrecwtQtr,f,1993,1.22021,0.258641
21-CAAL-NZrecwtQtr,f,1994,1.97177,0.412274
21-CAAL-NZrecwtQtr,f,1995,1.83779,0.410614
21-CAAL-NZrecwtQtr,f,1996,1.57391,0.312512
21-CAAL-NZrecwtQtr,f,1997,1.39676,0.256519
21-CAAL-NZrecwtQtr,f,1998,1.91421,0.327829
21-CAAL-NZrecwtQtr,f,1999,1.64925,0.276068
21-CAAL-NZrecwtQtr,f,2000,1.32678,0.223534
21-CAAL-NZrecwtQtr,f,2001,1.1405,0.163431
21-CAAL-NZrecwtQtr,f,2002,1.22521,0.159271
21-CAAL-NZrecwtQtr,f,2003,1.87492,0.260228
21-CAAL-NZrecwtQtr,f,2004,1.86837,0.291688
21-CAAL-NZrecwtQtr,f,2005,1.72516,0.308242
21-CAAL-NZrecwtQtr,f,2006,1.43505,0.257488
21-CAAL-NZrecwtQtr,f,2007,1.27619,0.228043
21-CAAL-NZrecwtQtr,f,2008,1.46717,0.266135
21-CAAL-NZrecwtQtr,f,2009,1.28341,0.212137
21-CAAL-NZrecwtQtr,f,2010,1.30014,0.19998
21-CAAL-NZrecwtQtr,f,2011,1.61192,0.242032
21-CAAL-NZrecwtQtr,f,2012,1.80924,0.28264
21-CAAL-NZrecwtQtr,f,2013,1.44433,0.234554
21-CAAL-NZrecwtQtr,f,2014,1.77789,0.242215
21-CAAL-NZrecwtQtr,f,2015,1.95725,0.307617
21-CAAL-NZrecwtQtr,f,2016,1.80853,0.335421
21-CAAL-NZrecwtQtr,f,2017,1.43084,0.245874
21-CAAL-NZrecwtQtr,f,2018,1.59661,0.263201
21-CAAL-NZrecwtQtr,f,2019,1.57066,0.282581
21-CAAL-NZrecwtQtr,f,2020,1.50332,0.317953
21-CAAL-NZrecwtQtr,f,2021,1.63131,0.436009
21-CAAL-NZrecwtQtr,f,2022,1.08612,0.32363
