"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11422.3 524.694 NA NA
"SSB_Initial" "SSB_Initial" 11422.3 524.694 NA NA
"SSB_1952" "SSB_1952" 11748.1 969.115 NA NA
"SSB_1953" "SSB_1953" 11848.4 960.295 NA NA
"SSB_1954" "SSB_1954" 10835.3 951.823 NA NA
"SSB_1955" "SSB_1955" 5470.62 1034.83 NA NA
"SSB_1956" "SSB_1956" 4549.53 899.58 NA NA
"SSB_1957" "SSB_1957" 4412.08 820.041 NA NA
"SSB_1958" "SSB_1958" 4392.9 790.814 NA NA
"SSB_1959" "SSB_1959" 3478.35 736.922 NA NA
"SSB_1960" "SSB_1960" 3263.33 704.067 NA NA
"SSB_1961" "SSB_1961" 3144.5 678.459 NA NA
"SSB_1962" "SSB_1962" 2226.95 605.118 NA NA
"SSB_1963" "SSB_1963" 1903.3 533.433 NA NA
"SSB_1964" "SSB_1964" 1559.77 474.53 NA NA
"SSB_1965" "SSB_1965" 1963.35 520.997 NA NA
"SSB_1966" "SSB_1966" 2003.45 552.801 NA NA
"SSB_1967" "SSB_1967" 1696.87 564.424 NA NA
"SSB_1968" "SSB_1968" 2135.28 595.157 NA NA
"SSB_1969" "SSB_1969" 2652.32 639.726 NA NA
"SSB_1970" "SSB_1970" 3068.43 672.11 NA NA
"SSB_1971" "SSB_1971" 2358.05 594.218 NA NA
"SSB_1972" "SSB_1972" 1698.94 474.417 NA NA
"SSB_1973" "SSB_1973" 1508.37 399.792 NA NA
"SSB_1974" "SSB_1974" 1438.95 386.856 NA NA
"SSB_1975" "SSB_1975" 1540.91 404.173 NA NA
"SSB_1976" "SSB_1976" 1744.19 414.526 NA NA
"SSB_1977" "SSB_1977" 1828.58 420.942 NA NA
"SSB_1978" "SSB_1978" 2295.56 435.226 NA NA
"SSB_1979" "SSB_1979" 2084.1 395.95 NA NA
"SSB_1980" "SSB_1980" 1982.16 388.91 NA NA
"SSB_1981" "SSB_1981" 2535.91 381.791 NA NA
"SSB_1982" "SSB_1982" 2156.36 341.524 NA NA
"SSB_1983" "SSB_1983" 1667.37 308.171 NA NA
"SSB_1984" "SSB_1984" 1800.27 312.371 NA NA
"SSB_1985" "SSB_1985" 1808.88 309.502 NA NA
"SSB_1986" "SSB_1986" 1637.67 296.296 NA NA
"SSB_1987" "SSB_1987" 1557.91 275.106 NA NA
"SSB_1988" "SSB_1988" 1437.06 292.686 NA NA
"SSB_1989" "SSB_1989" 1425.5 309.515 NA NA
"SSB_1990" "SSB_1990" 1324.12 288.56 NA NA
"SSB_1991" "SSB_1991" 1383.46 297.565 NA NA
"SSB_1992" "SSB_1992" 1513.82 322.754 NA NA
"SSB_1993" "SSB_1993" 1771.58 363.075 NA NA
"SSB_1994" "SSB_1994" 1926.53 402.427 NA NA
"SSB_1995" "SSB_1995" 1670.48 372.899 NA NA
"SSB_1996" "SSB_1996" 1772.47 345.532 NA NA
"SSB_1997" "SSB_1997" 1854.36 345.165 NA NA
"SSB_1998" "SSB_1998" 2116.28 366.19 NA NA
"SSB_1999" "SSB_1999" 2320.11 390.938 NA NA
"SSB_2000" "SSB_2000" 2173.56 408.618 NA NA
"SSB_2001" "SSB_2001" 2421.56 428.833 NA NA
"SSB_2002" "SSB_2002" 2521.9 397.417 NA NA
"SSB_2003" "SSB_2003" 2139.96 338.803 NA NA
"SSB_2004" "SSB_2004" 1693.11 292.995 NA NA
"SSB_2005" "SSB_2005" 1342.81 267.447 NA NA
"SSB_2006" "SSB_2006" 1363.74 272.628 NA NA
"SSB_2007" "SSB_2007" 1510.69 296.567 NA NA
"SSB_2008" "SSB_2008" 1564.74 317.399 NA NA
"SSB_2009" "SSB_2009" 1546.07 321.579 NA NA
"SSB_2010" "SSB_2010" 1656.79 309.185 NA NA
"SSB_2011" "SSB_2011" 1591.87 279.633 NA NA
"SSB_2012" "SSB_2012" 1297.71 241.687 NA NA
"SSB_2013" "SSB_2013" 1065.85 209.408 NA NA
"SSB_2014" "SSB_2014" 1143.05 194.347 NA NA
"SSB_2015" "SSB_2015" 976.483 175.281 NA NA
"SSB_2016" "SSB_2016" 870.931 170.872 NA NA
"SSB_2017" "SSB_2017" 900.993 178.435 NA NA
"SSB_2018" "SSB_2018" 1014.3 197.084 NA NA
"SSB_2019" "SSB_2019" 996.062 200.812 NA NA
"SSB_2020" "SSB_2020" 918.067 204.773 NA NA
"SSB_2021" "SSB_2021" 873.772 232.476 NA NA
"SSB_2022" "SSB_2022" 1067.74 328.368 NA NA
"SSB_2023" "SSB_2023" 1560.34 517.875 NA NA
"Recr_Virgin" "Recr_Virgin" 160.891 4.32524 NA NA
"Recr_Initial" "Recr_Initial" 160.891 4.32524 NA NA
"Recr_1952" "Recr_1952" 183.526 37.3839 NA NA
"Recr_1953" "Recr_1953" 179.519 35.8719 NA NA
"Recr_1954" "Recr_1954" 173.142 34.2082 NA NA
"Recr_1955" "Recr_1955" 159.588 31.4598 NA NA
"Recr_1956" "Recr_1956" 157.367 31.0912 NA NA
"Recr_1957" "Recr_1957" 161.478 32.0703 NA NA
"Recr_1958" "Recr_1958" 164.029 32.3026 NA NA
"Recr_1959" "Recr_1959" 155.51 30.7735 NA NA
"Recr_1960" "Recr_1960" 156.233 30.3381 NA NA
"Recr_1961" "Recr_1961" 150.104 28.5215 NA NA
"Recr_1962" "Recr_1962" 131.179 26.0334 NA NA
