id,factor,fleet,value
21-CAAL-NZrecwtQtr,4,1,0.1
21-CAAL-NZrecwtQtr,7,1,0.1
21-CAAL-NZrecwtQtr,4,2,0.0833333
21-CAAL-NZrecwtQtr,7,2,0.1
21-CAAL-NZrecwtQtr,4,3,0.1
21-CAAL-NZrecwtQtr,7,3,0.1
21-CAAL-NZrecwtQtr,4,4,0.1
21-CAAL-NZrecwtQtr,7,4,0.1
21-CAAL-NZrecwtQtr,4,5,0.1
21-CAAL-NZrecwtQtr,7,5,0.1
21-CAAL-NZrecwtQtr,4,6,0.0555556
21-CAAL-NZrecwtQtr,7,6,0.1
21-CAAL-NZrecwtQtr,4,7,0.1
21-CAAL-NZrecwtQtr,7,7,0.1
21-CAAL-NZrecwtQtr,4,8,0.1
21-CAAL-NZrecwtQtr,7,8,0.1
21-CAAL-NZrecwtQtr,4,9,0.1
21-CAAL-NZrecwtQtr,7,9,0.0833333
21-CAAL-NZrecwtQtr,4,10,0.1
21-CAAL-NZrecwtQtr,7,10,0.0434783
21-CAAL-NZrecwtQtr,4,11,0.0625
21-CAAL-NZrecwtQtr,7,11,0.1
21-CAAL-NZrecwtQtr,4,12,0.0294118
21-CAAL-NZrecwtQtr,7,12,0.1
21-CAAL-NZrecwtQtr,4,13,0.1
21-CAAL-NZrecwtQtr,7,13,0.1
21-CAAL-NZrecwtQtr,4,14,0.1
21-CAAL-NZrecwtQtr,7,14,0.1
21-CAAL-NZrecwtQtr,4,15,0.0666667
21-CAAL-NZrecwtQtr,7,15,0.0666667
21-CAAL-NZrecwtQtr,4,16,0.1
21-CAAL-NZrecwtQtr,7,16,0.1
