id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,5,0.031052712,0.026484054,0.00456865800000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,7,0.029056006,0.026484049,0.002571957,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,9,0.057297616,0.026484048,0.030813568,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,11,0.061462514,0.026484047,0.034978467,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,13,0.082344348,0.02648405,0.055860298,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,15,0.087427204,0.026484077,0.060943127,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,17,0.068095248,0.026484277,0.041610971,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,19,0.063896396,0.02648525,0.037411146,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,21,0.078475616,0.026489192,0.051986424,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,23,0.074867464,0.026502545,0.048364919,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,25,0.081887956,0.026543035,0.055344921,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,27,0.06709499,0.026652436,0.040442554,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,29,0.073809758,0.026913735,0.046896023,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,31,0.053167068,0.027492637,0.025674431,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,33,0.06160408,0.028683823,0.032920257,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,35,0.06893083,0.03091194,0.03801889,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,37,0.075681968,0.0347249,0.040957068,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,39,0.101939192,0.04121636,0.060722832,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,41,0.08430188,0.05138093,0.03292095,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,43,0.077841418,0.06624676,0.011594658,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,45,0.089655994,0.08725713,0.00239886399999997,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,47,0.145583278,0.11566342,0.029919858,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,49,0.195367408,0.15246853,0.042898878,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,51,0.35748079,0.20127432,0.15620647,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,53,0.330249516,0.25935024,0.0708992760000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,55,0.423613012,0.32635863,0.097254382,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,57,0.475924366,0.4012972,0.074627166,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,59,0.717270006,0.4950094,0.222260606,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,61,0.625502512,0.5834935,0.0420090120000002,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,63,0.664332442,0.6811473,-0.0168148579999997,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,65,0.796746792,0.779575,0.0171717919999995,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,67,0.998927436,0.8713056,0.127621836,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,69,1.00486318,0.9603116,0.04455158,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,71,1.025970236,1.0364602,-0.0104899639999998,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,73,1.1637657,1.0981654,0.0656003000000003,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,75,1.0226572,1.1494484,-0.1267912,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,77,1.100926626,1.178356,-0.0774293740000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,79,0.87853763,1.1928643,-0.31432667,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,81,1.1664792,1.1892316,-0.0227524000000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,83,1.065608372,1.1706396,-0.105031228,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,85,0.961927372,1.1382788,-0.176351428,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,87,0.845838734,1.0866848,-0.240846066,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,89,0.901968402,1.0311291,-0.129160698,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,91,0.667515768,0.9680394,-0.300523632,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,93,0.74021465,0.9015799,-0.16136525,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,95,0.715895958,0.8348335,-0.118937542,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,97,0.677673282,0.7667124,-0.089039118,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,99,0.52436164,0.7071562,-0.18279456,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,101,0.45284514,0.6501748,-0.19732966,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,103,0.39064312,0.5959388,-0.20529568,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,105,0.484609376,0.5445752,-0.059965824,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,107,0.337282968,0.4961761,-0.158893132,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,109,0.272543698,0.4507952,-0.178251502,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,111,0.219773324,0.40845423,-0.188680906,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,113,0.260611198,0.36914269,-0.108531492,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,115,0.281133732,0.33282197,-0.051688238,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,117,0.232043192,0.29942625,-0.0673830580000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,119,0.203107022,0.26886621,-0.065759188,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,121,0.14180072,0.24103163,-0.0992309100000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,123,0.115571696,0.21579474,-0.100223044,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,125,0.121135792,0.19301433,-0.0718785380000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,127,0.119962446,0.17253874,-0.052576294,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,129,0.113572992,0.15420971,-0.040636718,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,131,0.08163936,0.13786554,-0.05622618,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,133,0.059566646,0.1233444,-0.063777754,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,135,0.06543026,0.11048715,-0.0450568900000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,137,0.058472546,0.09913956,-0.040667014,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,139,0.115046236,0.14306329,-0.0280170540000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,143,0.094266606,0.11045956,-0.016192954,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,147,0.065140256,0.08765073,-0.022510474,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,151,0.071018846,0.07077019,0.000248655999999972,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,155,0.04320313,0.05737222,-0.01416909,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,159,0.038511084,0.04819927,-0.00968818600000001,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,163,0.050432088,0.04174785,0.00868423799999998,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,167,0.028032764,0.03666735,-0.00863458599999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,171,0.027626986,0.0336455,-0.00601851399999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,175,0.032192888,0.031110648,0.00108224,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,179,0.025992018,0.029707151,-0.00371513299999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,183,0.024821538,0.028517011,-0.00369547299999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,187,0.024369744,0.027869437,-0.00349969299999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,191,0.024821538,0.027363956,-0.00254241799999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,195,0.024369744,0.027055351,-0.00268560699999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,199,0.024821538,0.026858063,-0.00203652499999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,203,0.024369744,0.026710172,-0.00234042799999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,207,0.024369744,0.026631273,-0.00226152899999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,211,0.025300348,0.02657773,-0.001277382,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,215,0.024369744,0.026539262,-0.002169518,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,219,0.024369744,0.026519117,-0.00214937299999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,223,0.024369744,0.026505991,-0.00213624699999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,227,0.024369744,0.026497183,-0.00212743899999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,231,0.024369744,0.0264918,-0.00212205599999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,235,0.024369744,0.02648881,-0.002119066,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,239,0.024369744,0.026486931,-0.00211718699999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,243,0.024369744,0.026485765,-0.00211602099999999,8013.1849,724.037607,724.037607
23-CAAL-2sex,2,F02_LL.JP.2,yes,SIZE,1,247,0.024369744,0.026486437,-0.002116693,8013.1849,724.037607,724.037607
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,5,0.029331692,0.021004635,0.00832705700000001,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,7,0.019327728,0.021004959,-0.001677231,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,9,0.036594892,0.021006869,0.015588023,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,11,0.04080274,0.021014448,0.019788292,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,13,0.066559654,0.021038092,0.045521562,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,15,0.052125836,0.021100434,0.031025402,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,17,0.089427744,0.021250657,0.068177087,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,19,0.04263102,0.021579091,0.021051929,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,21,0.060180264,0.022253187,0.037927077,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,23,0.058885284,0.02348023,0.035405054,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,25,0.02808934,0.02557578,0.00251356000000001,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,27,0.058666258,0.02888118,0.029785078,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,29,0.069568568,0.03370894,0.035859628,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,31,0.05396531,0.04054292,0.01342239,2057.7994,97.376047,97.376047
23-CAAL-2sex,3,F03_LL.JP.3,yes,SIZE,1,33,0.05749715,0.04982007,0.00767707999999998,2057.7994,97.376047,97.376047
