id,Yr,Era,SSB,SSB_nofishing
23-CAAL-2sex,1950,VIRG,6858.98,6858.98
23-CAAL-2sex,1951,INIT,6858.98,6858.98
23-CAAL-2sex,1952,TIME,6984.23,6984.23
23-CAAL-2sex,1953,TIME,7016.68,7049.1
23-CAAL-2sex,1954,TIME,6425.07,7122.51
23-CAAL-2sex,1955,TIME,3190.32,7204.98
23-CAAL-2sex,1956,TIME,2608.57,7251.45
23-CAAL-2sex,1957,TIME,2511.52,7248.88
23-CAAL-2sex,1958,TIME,2496.42,7216.97
23-CAAL-2sex,1959,TIME,1946.31,7193.53
23-CAAL-2sex,1960,TIME,1813.66,7209.37
23-CAAL-2sex,1961,TIME,1733.86,7247.26
23-CAAL-2sex,1962,TIME,1165.01,7272.66
23-CAAL-2sex,1963,TIME,956.894,7293.31
23-CAAL-2sex,1964,TIME,744.18,7271.43
23-CAAL-2sex,1965,TIME,963.943,7189.25
23-CAAL-2sex,1966,TIME,970.389,7103.92
23-CAAL-2sex,1967,TIME,786.974,7027.48
23-CAAL-2sex,1968,TIME,1037.79,6945.97
23-CAAL-2sex,1969,TIME,1325.86,6867.71
23-CAAL-2sex,1970,TIME,1563,6813.48
23-CAAL-2sex,1971,TIME,1172.43,6791.08
23-CAAL-2sex,1972,TIME,804.546,6756.25
23-CAAL-2sex,1973,TIME,715.917,6681.95
23-CAAL-2sex,1974,TIME,674.542,6621.54
23-CAAL-2sex,1975,TIME,714.133,6612.61
23-CAAL-2sex,1976,TIME,819.043,6642.39
23-CAAL-2sex,1977,TIME,863.03,6612.84
23-CAAL-2sex,1978,TIME,1140.44,6555.21
23-CAAL-2sex,1979,TIME,1014.03,6552.26
23-CAAL-2sex,1980,TIME,950.768,6612.86
23-CAAL-2sex,1981,TIME,1253.98,6784.76
23-CAAL-2sex,1982,TIME,1032.67,6998.51
23-CAAL-2sex,1983,TIME,750.507,7143.22
23-CAAL-2sex,1984,TIME,842.72,6898.18
23-CAAL-2sex,1985,TIME,842.773,6678.92
23-CAAL-2sex,1986,TIME,757.688,6442.14
23-CAAL-2sex,1987,TIME,738.228,6188.78
23-CAAL-2sex,1988,TIME,679.156,5843.03
23-CAAL-2sex,1989,TIME,690.919,5897.6
23-CAAL-2sex,1990,TIME,581.245,6463.52
23-CAAL-2sex,1991,TIME,616.478,6704.42
23-CAAL-2sex,1992,TIME,697.258,6649.42
23-CAAL-2sex,1993,TIME,829.039,6564.54
23-CAAL-2sex,1994,TIME,905.502,6699.13
23-CAAL-2sex,1995,TIME,761.846,7087.58
23-CAAL-2sex,1996,TIME,823.143,7383.3
23-CAAL-2sex,1997,TIME,857.362,7379.71
23-CAAL-2sex,1998,TIME,1049.31,7559.79
23-CAAL-2sex,1999,TIME,1065.44,8376.53
23-CAAL-2sex,2000,TIME,973.763,8641.8
23-CAAL-2sex,2001,TIME,1106.5,8876.55
23-CAAL-2sex,2002,TIME,1149.24,8814.39
23-CAAL-2sex,2003,TIME,1034.36,8348.75
23-CAAL-2sex,2004,TIME,788.71,8247.62
23-CAAL-2sex,2005,TIME,606.049,7883.69
23-CAAL-2sex,2006,TIME,618.205,7564.37
23-CAAL-2sex,2007,TIME,677.969,7323.92
23-CAAL-2sex,2008,TIME,716.845,7106.28
23-CAAL-2sex,2009,TIME,697.153,7057.38
23-CAAL-2sex,2010,TIME,758.24,7024.68
23-CAAL-2sex,2011,TIME,737.744,6915.06
23-CAAL-2sex,2012,TIME,596.882,6708.71
23-CAAL-2sex,2013,TIME,483.297,6456.88
23-CAAL-2sex,2014,TIME,532.438,6213.16
23-CAAL-2sex,2015,TIME,451.298,6098.38
23-CAAL-2sex,2016,TIME,382.691,6159.3
23-CAAL-2sex,2017,TIME,399.444,6075.37
23-CAAL-2sex,2018,TIME,455.539,6042.96
23-CAAL-2sex,2019,TIME,449.137,6123.17
23-CAAL-2sex,2020,TIME,402.121,6135.2
23-CAAL-2sex,2021,TIME,372.548,5991.76
23-CAAL-2sex,2022,TIME,437.179,6131.08
23-CAAL-2sex,2023,FORE,602.9,6574.94
