id,factor,fleet,value
23-CAAL-2sex,4,1,0.1
23-CAAL-2sex,7,1,0.1
23-CAAL-2sex,4,2,0.0833333
23-CAAL-2sex,7,2,0.1
23-CAAL-2sex,4,3,0.1
23-CAAL-2sex,7,3,0.1
23-CAAL-2sex,4,4,0.1
23-CAAL-2sex,7,4,0.1
23-CAAL-2sex,4,5,0.1
23-CAAL-2sex,7,5,0.1
23-CAAL-2sex,4,6,0.0555556
23-CAAL-2sex,7,6,0.1
23-CAAL-2sex,4,7,0.1
23-CAAL-2sex,7,7,0.1
23-CAAL-2sex,4,8,0.1
23-CAAL-2sex,7,8,0.1
23-CAAL-2sex,4,9,0.1
23-CAAL-2sex,7,9,0.0833333
23-CAAL-2sex,4,10,0.1
23-CAAL-2sex,7,10,0.0434783
23-CAAL-2sex,4,11,0.0625
23-CAAL-2sex,7,11,0.1
23-CAAL-2sex,4,12,0.0294118
23-CAAL-2sex,7,12,0.1
23-CAAL-2sex,4,13,0.1
23-CAAL-2sex,7,13,0.1
23-CAAL-2sex,4,14,0.1
23-CAAL-2sex,7,14,0.1
23-CAAL-2sex,4,15,0.0666667
23-CAAL-2sex,7,15,0.0666667
23-CAAL-2sex,4,16,0.1
23-CAAL-2sex,7,16,0.1
