id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,5,0.033746794,0.026484053,0.00726274100000002,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,7,0.031576852,0.026484057,0.00509279500000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,9,0.062268652,0.026484055,0.035784597,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,11,0.066794928,0.026484058,0.04031087,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,13,0.089488226,0.026484057,0.063004169,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,15,0.095012218,0.026484103,0.068528115,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,17,0.074003036,0.026484382,0.047518654,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,19,0.069439892,0.026485556,0.042954336,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,21,0.085283922,0.026489948,0.058793974,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,23,0.081362838,0.026503947,0.054858891,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,25,0.088992502,0.02654537,0.062447132,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,27,0.07291599,0.026657672,0.046258318,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,29,0.080213246,0.026930862,0.053282384,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,31,0.057779754,0.027548889,0.030230865,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,33,0.0669488,0.028841437,0.038107363,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,35,0.07491113,0.03127625,0.04363488,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,37,0.082247984,0.03543313,0.046814854,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,39,0.110783174,0.04243543,0.068347744,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,41,0.09161582,0.05321855,0.03839727,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,43,0.084594746,0.06868792,0.015906826,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,45,0.097434518,0.09014415,0.00729036800000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,47,0.158213536,0.11868943,0.039524106,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,49,0.212316966,0.15523881,0.057078156,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,51,0.388494518,0.20335191,0.185142608,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,53,0.358901292,0.26046327,0.0984380220000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,55,0.460364814,0.32644136,0.133923454,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,57,0.517214642,0.4004551,0.116759542,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,59,0.779499442,0.4934209,0.286078542,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,61,0.679769744,0.5815575,0.0982122440000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,63,0.721968744,0.6790781,0.0428906439999999,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,65,0.865870774,0.777493,0.0883777739999999,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,67,1.085592442,0.8691572,0.216435242,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,69,1.09204359,0.9578691,0.13417449,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,71,1.114981742,1.0334469,0.0815348419999999,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,73,1.2647316,1.094316,0.1704156,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,75,1.111381,1.1444686,-0.0330876,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,77,1.196441042,1.1723367,0.0241043420000002,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,79,0.95475761,1.1857985,-0.23104089,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,81,1.2676806,1.1813907,0.0862898999999999,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,83,1.158058584,1.162407,-0.00434841599999958,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,85,1.045382384,1.1299969,-0.084614516,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,87,0.919222208,1.078772,-0.159549792,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,89,0.980221734,1.0238458,-0.0436240660000004,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,91,0.725428176,0.9615766,-0.236148424,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,93,0.80443447,0.8939007,-0.0894662300000003,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,95,0.778005946,0.8239557,-0.0459497540000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,97,0.736466244,0.7537786,-0.0173123559999999,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,99,0.56985413,0.6937235,-0.12386937,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,101,0.4921333,0.6371906,-0.1450573,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,103,0.42453442,0.5841007,-0.15956628,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,105,0.526653022,0.5343708,-0.00771777800000006,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,107,0.366544946,0.4879142,-0.121369254,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,109,0.296189056,0.4446404,-0.148451344,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,111,0.238840468,0.40445402,-0.165613552,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,113,0.283221586,0.36725375,-0.0840321640000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,115,0.305524314,0.33292909,-0.0274047760000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,117,0.252174764,0.30136444,-0.0491896760000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,119,0.220727954,0.27243581,-0.0517078559999999,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,121,0.15410313,0.24601236,-0.0919092299999999,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,123,0.125598492,0.22195796,-0.096359468,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,125,0.131645274,0.20013182,-0.068486546,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,127,0.130370082,0.18039049,-0.050020408,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,129,0.123426304,0.16258947,-0.0391631660000001,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,131,0.08872231,0.14658491,-0.0578626,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,133,0.064734532,0.13223535,-0.067500818,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,135,0.07110685,0.11940304,-0.04829619,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,137,0.063545472,0.10795562,-0.044410148,7610.2942,724.037607,724.037607
24-CAAL-Richards,2,F02_LL.JP.2,yes,SIZE,1,139,0.125027382,0.16000057,-0.034973188,7610.2942,724.037607,724.037607
