id,type,yr,Value,StdDev
24-CAAL-Richards,f,1952,0.015486,0.00218111
24-CAAL-Richards,f,1953,0.181677,0.0400649
24-CAAL-Richards,f,1954,1.2788,0.290608
24-CAAL-Richards,f,1955,0.821644,0.180419
24-CAAL-Richards,f,1956,0.677193,0.146998
24-CAAL-Richards,f,1957,0.61674,0.141292
24-CAAL-Richards,f,1958,1.08555,0.245077
24-CAAL-Richards,f,1959,0.975785,0.229223
24-CAAL-Richards,f,1960,1.04185,0.246926
24-CAAL-Richards,f,1961,1.77406,0.441406
24-CAAL-Richards,f,1962,1.71434,0.449649
24-CAAL-Richards,f,1963,2.02755,0.539835
24-CAAL-Richards,f,1964,1.1164,0.299958
24-CAAL-Richards,f,1965,1.27894,0.328221
24-CAAL-Richards,f,1966,1.68477,0.504648
24-CAAL-Richards,f,1967,0.880826,0.242729
24-CAAL-Richards,f,1968,0.66256,0.164148
24-CAAL-Richards,f,1969,0.612503,0.142948
24-CAAL-Richards,f,1970,1.39105,0.310071
24-CAAL-Richards,f,1971,2.01709,0.506812
24-CAAL-Richards,f,1972,2.18828,0.583334
24-CAAL-Richards,f,1973,2.16214,0.574844
24-CAAL-Richards,f,1974,1.90905,0.533633
24-CAAL-Richards,f,1975,1.40671,0.351609
24-CAAL-Richards,f,1976,1.30575,0.318706
24-CAAL-Richards,f,1977,0.659641,0.136793
24-CAAL-Richards,f,1978,1.2121,0.205133
24-CAAL-Richards,f,1979,1.30777,0.252079
24-CAAL-Richards,f,1980,0.883391,0.156042
24-CAAL-Richards,f,1981,1.62448,0.251737
24-CAAL-Richards,f,1982,2.10173,0.38074
24-CAAL-Richards,f,1983,1.39358,0.276952
24-CAAL-Richards,f,1984,1.43861,0.265003
24-CAAL-Richards,f,1985,1.38055,0.248198
24-CAAL-Richards,f,1986,1.29054,0.229102
24-CAAL-Richards,f,1987,1.2688,0.241847
24-CAAL-Richards,f,1988,1.684,0.360756
24-CAAL-Richards,f,1989,2.59343,0.557679
24-CAAL-Richards,f,1990,1.80207,0.38165
24-CAAL-Richards,f,1991,1.38217,0.29062
24-CAAL-Richards,f,1992,1.01383,0.197891
24-CAAL-Richards,f,1993,1.26635,0.273298
24-CAAL-Richards,f,1994,2.04819,0.437257
24-CAAL-Richards,f,1995,1.89821,0.426012
24-CAAL-Richards,f,1996,1.62015,0.320961
24-CAAL-Richards,f,1997,1.44198,0.26762
24-CAAL-Richards,f,1998,1.97006,0.338186
24-CAAL-Richards,f,1999,1.70679,0.291733
24-CAAL-Richards,f,2000,1.37281,0.237103
24-CAAL-Richards,f,2001,1.16953,0.170247
24-CAAL-Richards,f,2002,1.25645,0.169358
24-CAAL-Richards,f,2003,1.92535,0.272915
24-CAAL-Richards,f,2004,1.92896,0.308904
24-CAAL-Richards,f,2005,1.78527,0.324644
24-CAAL-Richards,f,2006,1.48627,0.271268
24-CAAL-Richards,f,2007,1.32127,0.240697
24-CAAL-Richards,f,2008,1.51999,0.282186
24-CAAL-Richards,f,2009,1.32618,0.225872
24-CAAL-Richards,f,2010,1.33954,0.211325
24-CAAL-Richards,f,2011,1.66222,0.256413
24-CAAL-Richards,f,2012,1.8716,0.302155
24-CAAL-Richards,f,2013,1.49269,0.248043
24-CAAL-Richards,f,2014,1.83384,0.258883
24-CAAL-Richards,f,2015,2.02548,0.325724
24-CAAL-Richards,f,2016,1.87827,0.353462
24-CAAL-Richards,f,2017,1.48793,0.262291
24-CAAL-Richards,f,2018,1.65359,0.278766
24-CAAL-Richards,f,2019,1.63439,0.298693
24-CAAL-Richards,f,2020,1.58372,0.344287
24-CAAL-Richards,f,2021,1.73374,0.479172
24-CAAL-Richards,f,2022,1.15396,0.35746
