id,Year,B.Bmsy,F.Fmsy
26-CAAL-maxAge-15,1952,4.63914,0.0169298
26-CAAL-maxAge-15,1953,4.68236,0.192083
26-CAAL-maxAge-15,1954,4.29737,1.34794
26-CAAL-maxAge-15,1955,2.24334,0.871173
26-CAAL-maxAge-15,1956,1.86564,0.714173
26-CAAL-maxAge-15,1957,1.78424,0.64721
26-CAAL-maxAge-15,1958,1.7575,1.12737
26-CAAL-maxAge-15,1959,1.38998,1.0101
26-CAAL-maxAge-15,1960,1.29471,1.07323
26-CAAL-maxAge-15,1961,1.23995,1.81223
26-CAAL-maxAge-15,1962,0.876002,1.74673
26-CAAL-maxAge-15,1963,0.74215,2.07075
26-CAAL-maxAge-15,1964,0.601316,1.13836
26-CAAL-maxAge-15,1965,0.753853,1.29788
26-CAAL-maxAge-15,1966,0.765806,1.71214
26-CAAL-maxAge-15,1967,0.641498,0.892217
26-CAAL-maxAge-15,1968,0.808641,0.672794
26-CAAL-maxAge-15,1969,1.00769,0.622916
26-CAAL-maxAge-15,1970,1.16704,1.41638
26-CAAL-maxAge-15,1971,0.886293,2.06578
26-CAAL-maxAge-15,1972,0.629438,2.26316
26-CAAL-maxAge-15,1973,0.556882,2.23953
26-CAAL-maxAge-15,1974,0.528615,1.97558
26-CAAL-maxAge-15,1975,0.56317,1.45616
26-CAAL-maxAge-15,1976,0.6372,1.35687
26-CAAL-maxAge-15,1977,0.664655,0.682798
26-CAAL-maxAge-15,1978,0.842372,1.24124
26-CAAL-maxAge-15,1979,0.759837,1.34916
26-CAAL-maxAge-15,1980,0.71867,0.911984
26-CAAL-maxAge-15,1981,0.93361,1.67133
26-CAAL-maxAge-15,1982,0.788529,2.18127
26-CAAL-maxAge-15,1983,0.603775,1.44661
26-CAAL-maxAge-15,1984,0.656717,1.48685
26-CAAL-maxAge-15,1985,0.660517,1.42194
26-CAAL-maxAge-15,1986,0.596094,1.32845
26-CAAL-maxAge-15,1987,0.570323,1.30313
26-CAAL-maxAge-15,1988,0.523469,1.72462
26-CAAL-maxAge-15,1989,0.518063,2.67755
26-CAAL-maxAge-15,1990,0.482207,1.86138
26-CAAL-maxAge-15,1991,0.503886,1.42577
26-CAAL-maxAge-15,1992,0.551223,1.03746
26-CAAL-maxAge-15,1993,0.647224,1.29781
26-CAAL-maxAge-15,1994,0.704599,2.10125
26-CAAL-maxAge-15,1995,0.609573,1.95725
26-CAAL-maxAge-15,1996,0.653554,1.66653
26-CAAL-maxAge-15,1997,0.683883,1.47641
26-CAAL-maxAge-15,1998,0.778851,2.02925
26-CAAL-maxAge-15,1999,0.852015,1.74799
26-CAAL-maxAge-15,2000,0.792588,1.40624
26-CAAL-maxAge-15,2001,0.885474,1.19752
26-CAAL-maxAge-15,2002,0.931578,1.27423
26-CAAL-maxAge-15,2003,0.793044,1.96312
26-CAAL-maxAge-15,2004,0.625611,1.96392
26-CAAL-maxAge-15,2005,0.492055,1.82645
26-CAAL-maxAge-15,2006,0.498399,1.52138
26-CAAL-maxAge-15,2007,0.552603,1.35213
26-CAAL-maxAge-15,2008,0.571001,1.55798
26-CAAL-maxAge-15,2009,0.562008,1.3546
26-CAAL-maxAge-15,2010,0.60711,1.36627
26-CAAL-maxAge-15,2011,0.585599,1.69302
26-CAAL-maxAge-15,2012,0.475792,1.90486
26-CAAL-maxAge-15,2013,0.38987,1.52361
26-CAAL-maxAge-15,2014,0.421025,1.85645
26-CAAL-maxAge-15,2015,0.358856,2.0593
26-CAAL-maxAge-15,2016,0.318849,1.91866
26-CAAL-maxAge-15,2017,0.329559,1.51342
26-CAAL-maxAge-15,2018,0.371386,1.67842
26-CAAL-maxAge-15,2019,0.365727,1.66081
26-CAAL-maxAge-15,2020,0.335182,1.60703
26-CAAL-maxAge-15,2021,0.314397,1.76839
26-CAAL-maxAge-15,2022,0.380465,1.18268
26-CAAL-maxAge-15,2023,0.555442,1.18268
