id,Yr,SpawnBio,bias_adjusted,pred_recr
27-CAAL-NZdblnorm,1942,11599.1,161.486,158.665
27-CAAL-NZdblnorm,1943,11599.1,161.486,160.397
27-CAAL-NZdblnorm,1944,11599.1,161.486,160.316
27-CAAL-NZdblnorm,1945,11599.1,161.486,160.687
27-CAAL-NZdblnorm,1946,11599.1,161.486,162.19
27-CAAL-NZdblnorm,1947,11599.1,161.486,165.88
27-CAAL-NZdblnorm,1948,11599.1,161.486,171.487
27-CAAL-NZdblnorm,1949,11599.1,161.486,173.753
27-CAAL-NZdblnorm,1950,11599.1,161.486,174.254
27-CAAL-NZdblnorm,1951,11599.1,161.486,177.741
27-CAAL-NZdblnorm,1952,11923.6,161.762,184.141
27-CAAL-NZdblnorm,1953,12028.6,161.848,179.903
27-CAAL-NZdblnorm,1954,11007.6,160.946,172.442
27-CAAL-NZdblnorm,1955,5575.94,151.274,159.907
27-CAAL-NZdblnorm,1956,4626.8,147.587,158.273
27-CAAL-NZdblnorm,1957,4467.31,146.836,161.668
27-CAAL-NZdblnorm,1958,4446.47,146.735,164.373
27-CAAL-NZdblnorm,1959,3521.26,141.237,155.92
27-CAAL-NZdblnorm,1960,3308.22,139.618,156.6
27-CAAL-NZdblnorm,1961,3189.43,138.64,149.987
27-CAAL-NZdblnorm,1962,2260.69,128.351,131.256
27-CAAL-NZdblnorm,1963,1926.59,122.891,125.543
27-CAAL-NZdblnorm,1964,1573.73,115.45,117.283
27-CAAL-NZdblnorm,1965,1982.09,123.828,123.139
27-CAAL-NZdblnorm,1966,2020.08,124.457,121.777
27-CAAL-NZdblnorm,1967,1708.57,118.451,117.188
27-CAAL-NZdblnorm,1968,2146.05,126.455,127.761
27-CAAL-NZdblnorm,1969,2669.42,133.351,131.674
27-CAAL-NZdblnorm,1970,3091.06,137.534,130.149
27-CAAL-NZdblnorm,1971,2364.46,129.538,124.337
27-CAAL-NZdblnorm,1972,1695.35,118.029,115.41
27-CAAL-NZdblnorm,1973,1507.78,113.578,114.85
27-CAAL-NZdblnorm,1974,1443.28,111.857,103.983
27-CAAL-NZdblnorm,1975,1540.84,114.357,103.726
27-CAAL-NZdblnorm,1976,1741.73,118.914,114.894
27-CAAL-NZdblnorm,1977,1817.07,120.422,118.814
27-CAAL-NZdblnorm,1978,2285.31,128.238,147.31
27-CAAL-NZdblnorm,1979,2056.12,124.695,139.057
27-CAAL-NZdblnorm,1980,1949.75,122.835,146.907
27-CAAL-NZdblnorm,1981,2505.86,131.067,102.857
27-CAAL-NZdblnorm,1982,2108.99,125.469,118.546
27-CAAL-NZdblnorm,1983,1624.47,116.148,95.1547
27-CAAL-NZdblnorm,1984,1762.18,119.123,97.1765
27-CAAL-NZdblnorm,1985,1770.49,119.267,74.2529
27-CAAL-NZdblnorm,1986,1597.11,115.431,97.9396
27-CAAL-NZdblnorm,1987,1524.37,113.636,162.938
27-CAAL-NZdblnorm,1988,1400.12,110.316,112.921
27-CAAL-NZdblnorm,1989,1383.63,109.825,97.2123
27-CAAL-NZdblnorm,1990,1290.11,107.019,94.1424
27-CAAL-NZdblnorm,1991,1349.75,108.796,113.157
27-CAAL-NZdblnorm,1992,1474.31,112.225,141.673
27-CAAL-NZdblnorm,1993,1723.17,118.065,144.349
27-CAAL-NZdblnorm,1994,1872.84,121.034,124.146
27-CAAL-NZdblnorm,1995,1619.75,115.723,113.73
27-CAAL-NZdblnorm,1996,1731.24,118.155,234.896
27-CAAL-NZdblnorm,1997,1809.62,119.729,135.331
27-CAAL-NZdblnorm,1998,2058.32,124.194,187.177
27-CAAL-NZdblnorm,1999,2257.51,127.231,169.807
27-CAAL-NZdblnorm,2000,2101.63,124.84,86.3794
27-CAAL-NZdblnorm,2001,2349.52,128.457,178.077
27-CAAL-NZdblnorm,2002,2470.16,129.999,112.078
27-CAAL-NZdblnorm,2003,2100.15,124.731,121.465
27-CAAL-NZdblnorm,2004,1659.34,116.383,117.822
27-CAAL-NZdblnorm,2005,1304.52,107.098,93.4049
27-CAAL-NZdblnorm,2006,1316.83,107.448,114.908
27-CAAL-NZdblnorm,2007,1457.99,111.439,113.864
27-CAAL-NZdblnorm,2008,1512.89,112.858,105.037
27-CAAL-NZdblnorm,2009,1495.28,112.41,95.6753
27-CAAL-NZdblnorm,2010,1610.23,115.214,93.1607
27-CAAL-NZdblnorm,2011,1550.16,113.783,89.6055
27-CAAL-NZdblnorm,2012,1260.6,105.703,82.7496
27-CAAL-NZdblnorm,2013,1033.62,97.5592,97.6106
27-CAAL-NZdblnorm,2014,1116.05,100.743,77.6716
27-CAAL-NZdblnorm,2015,951.156,94.0697,80.5802
27-CAAL-NZdblnorm,2016,847.069,89.1578,81.6812
27-CAAL-NZdblnorm,2017,876.747,90.6214,80.2567
27-CAAL-NZdblnorm,2018,986.54,95.6071,66.2596
27-CAAL-NZdblnorm,2019,971.538,94.9629,89.833
27-CAAL-NZdblnorm,2020,893.172,91.4091,125.912
27-CAAL-NZdblnorm,2021,839.692,88.7856,95.4366
27-CAAL-NZdblnorm,2022,1020.4,97.9965,102.019
27-CAAL-NZdblnorm,2023,1492.74,113.474,113.474
