id,Yr,SpawnBio,bias_adjusted,pred_recr
28-CAAL-noNZrec-ASPM,1942,13500.5,174.227,174.399
28-CAAL-noNZrec-ASPM,1943,13500.5,174.227,174.301
28-CAAL-noNZrec-ASPM,1944,13500.5,174.227,174.333
28-CAAL-noNZrec-ASPM,1945,13500.5,174.227,174.377
28-CAAL-noNZrec-ASPM,1946,13500.5,174.227,174.439
28-CAAL-noNZrec-ASPM,1947,13500.5,174.227,174.526
28-CAAL-noNZrec-ASPM,1948,13500.5,174.227,174.645
28-CAAL-noNZrec-ASPM,1949,13500.5,174.227,174.805
28-CAAL-noNZrec-ASPM,1950,13500.5,174.227,175.015
28-CAAL-noNZrec-ASPM,1951,13500.5,174.227,175.303
28-CAAL-noNZrec-ASPM,1952,13524.4,174.246,176.377
28-CAAL-noNZrec-ASPM,1953,13469.7,174.202,176.606
28-CAAL-noNZrec-ASPM,1954,12123.2,172.998,175.479
28-CAAL-noNZrec-ASPM,1955,5046.8,157.716,159.994
28-CAAL-noNZrec-ASPM,1956,4016.46,151.822,154.19
28-CAAL-noNZrec-ASPM,1957,3987.6,151.621,154.151
28-CAAL-noNZrec-ASPM,1958,4071.41,152.198,154.862
28-CAAL-noNZrec-ASPM,1959,3101.28,144.041,146.594
28-CAAL-noNZrec-ASPM,1960,2844.31,141.172,143.66
28-CAAL-noNZrec-ASPM,1961,2659.19,138.849,141.297
28-CAAL-noNZrec-ASPM,1962,1625.47,119.615,121.241
28-CAAL-noNZrec-ASPM,1963,1261.98,108.456,109.543
28-CAAL-noNZrec-ASPM,1964,943.813,95.089,95.9115
28-CAAL-noNZrec-ASPM,1965,1313.61,110.21,111.13
28-CAAL-noNZrec-ASPM,1966,1278.93,108.983,109.789
28-CAAL-noNZrec-ASPM,1967,906.159,93.1354,93.7505
28-CAAL-noNZrec-ASPM,1968,1333.37,110.802,111.6
28-CAAL-noNZrec-ASPM,1969,1824.61,124.257,125.161
28-CAAL-noNZrec-ASPM,1970,2142.18,130.625,131.501
28-CAAL-noNZrec-ASPM,1971,1468,114.975,115.803
28-CAAL-noNZrec-ASPM,1972,1038.17,99.3218,99.9414
28-CAAL-noNZrec-ASPM,1973,1050.86,99.8596,100.204
28-CAAL-noNZrec-ASPM,1974,1010.04,98.0097,98.4242
28-CAAL-noNZrec-ASPM,1975,1021.04,98.4874,99.37
28-CAAL-noNZrec-ASPM,1976,1165.06,104.517,104.932
28-CAAL-noNZrec-ASPM,1977,1287.89,109.025,107.099
28-CAAL-noNZrec-ASPM,1978,1794.15,123.312,135.79
28-CAAL-noNZrec-ASPM,1979,1578.86,117.913,129.579
28-CAAL-noNZrec-ASPM,1980,1431.96,113.653,147.79
28-CAAL-noNZrec-ASPM,1981,1954.32,126.696,99.7423
28-CAAL-noNZrec-ASPM,1982,1614.99,118.798,110.505
28-CAAL-noNZrec-ASPM,1983,1266.8,108.135,88.0051
28-CAAL-noNZrec-ASPM,1984,1440.91,113.823,96.6486
28-CAAL-noNZrec-ASPM,1985,1436.07,113.65,70.6515
28-CAAL-noNZrec-ASPM,1986,1265.44,108.013,89.8725
28-CAAL-noNZrec-ASPM,1987,1251.11,107.477,156.115
28-CAAL-noNZrec-ASPM,1988,1144.46,103.421,110.052
28-CAAL-noNZrec-ASPM,1989,1104.65,101.783,91.8221
28-CAAL-noNZrec-ASPM,1990,1025.32,98.3442,86.0326
28-CAAL-noNZrec-ASPM,1991,1088.56,101.066,104.753
28-CAAL-noNZrec-ASPM,1992,1195.77,105.316,135.856
28-CAAL-noNZrec-ASPM,1993,1408.17,112.584,143.162
28-CAAL-noNZrec-ASPM,1994,1527.91,116.106,118.56
28-CAAL-noNZrec-ASPM,1995,1311.09,109.375,105.648
28-CAAL-noNZrec-ASPM,1996,1466.6,114.282,221.47
28-CAAL-noNZrec-ASPM,1997,1537.96,116.309,130.227
28-CAAL-noNZrec-ASPM,1998,1725.38,121.14,173.575
28-CAAL-noNZrec-ASPM,1999,1871.41,124.441,166.083
28-CAAL-noNZrec-ASPM,2000,1698.58,120.433,86.0509
28-CAAL-noNZrec-ASPM,2001,1904.66,125.093,174.329
28-CAAL-noNZrec-ASPM,2002,2081.13,128.563,109.683
28-CAAL-noNZrec-ASPM,2003,1791.9,122.562,116.609
28-CAAL-noNZrec-ASPM,2004,1414.53,112.5,112.289
28-CAAL-noNZrec-ASPM,2005,1090.19,100.813,87.9073
