id,factor,fleet,value
29-CAAL-ASPM-all,4,1,0.1
29-CAAL-ASPM-all,7,1,0.1
29-CAAL-ASPM-all,4,2,0.0833333
29-CAAL-ASPM-all,7,2,0.1
29-CAAL-ASPM-all,4,3,0.1
29-CAAL-ASPM-all,7,3,0.1
29-CAAL-ASPM-all,4,4,0.1
29-CAAL-ASPM-all,7,4,0.1
29-CAAL-ASPM-all,4,5,0.1
29-CAAL-ASPM-all,7,5,0.1
29-CAAL-ASPM-all,4,6,0.0555556
29-CAAL-ASPM-all,7,6,0.1
29-CAAL-ASPM-all,4,7,0.1
29-CAAL-ASPM-all,7,7,0.1
29-CAAL-ASPM-all,4,8,0.1
29-CAAL-ASPM-all,7,8,0.1
29-CAAL-ASPM-all,4,9,0.1
29-CAAL-ASPM-all,7,9,0.0833333
29-CAAL-ASPM-all,4,10,0.1
29-CAAL-ASPM-all,7,10,0.0434783
29-CAAL-ASPM-all,4,11,0.0625
29-CAAL-ASPM-all,7,11,0.1
29-CAAL-ASPM-all,4,12,0.0294118
29-CAAL-ASPM-all,7,12,0.1
29-CAAL-ASPM-all,4,13,0.1
29-CAAL-ASPM-all,7,13,0.1
29-CAAL-ASPM-all,4,14,0.1
29-CAAL-ASPM-all,7,14,0.1
29-CAAL-ASPM-all,4,15,0.0666667
29-CAAL-ASPM-all,7,15,0.0666667
29-CAAL-ASPM-all,1,16,0.190777
29-CAAL-ASPM-all,4,16,0.1
29-CAAL-ASPM-all,7,16,0.1
