"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" -0.0127974 0.199046 "Early_InitAge" 1942
"Early_InitAge_9" -0.00482662 0.199572 "Early_InitAge" 1943
"Early_InitAge_8" -0.00507616 0.199575 "Early_InitAge" 1944
"Early_InitAge_7" -0.00324366 0.199754 "Early_InitAge" 1945
"Early_InitAge_6" 0.00322435 0.200238 "Early_InitAge" 1946
"Early_InitAge_5" 0.01697 0.201011 "Early_InitAge" 1947
"Early_InitAge_4" 0.0324138 0.201429 "Early_InitAge" 1948
"Early_InitAge_3" 0.0294903 0.200698 "Early_InitAge" 1949
"Early_InitAge_2" 0.0238567 0.200148 "Early_InitAge" 1950
"Early_InitAge_1" 0.0327246 0.200571 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.0503482 0.198841 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.0464982 0.197884 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.034847 0.196446 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.0312221 0.195484 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.0432359 0.196568 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.070013 0.198239 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.0865396 0.197588 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.0763123 0.198097 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.0900217 0.196815 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.0620568 0.195133 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0269426 0.194811 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.02811 0.194647 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.0232441 0.194943 "Main_RecrDev" 1964
"Main_RecrDev_1965" 0.00558183 0.194159 "Main_RecrDev" 1965
"Main_RecrDev_1966" -0.00760347 0.193804 "Main_RecrDev" 1966
"Main_RecrDev_1967" 0.00415714 0.194115 "Main_RecrDev" 1967
"Main_RecrDev_1968" 0.0244502 0.192964 "Main_RecrDev" 1968
"Main_RecrDev_1969" 0.00432614 0.189191 "Main_RecrDev" 1969
"Main_RecrDev_1970" -0.026868 0.186503 "Main_RecrDev" 1970
"Main_RecrDev_1971" -0.00592403 0.186802 "Main_RecrDev" 1971
"Main_RecrDev_1972" 0.00869195 0.188054 "Main_RecrDev" 1972
"Main_RecrDev_1973" 0.0205972 0.185623 "Main_RecrDev" 1973
"Main_RecrDev_1974" -0.0624041 0.18368 "Main_RecrDev" 1974
"Main_RecrDev_1975" -0.0807037 0.181252 "Main_RecrDev" 1975
"Main_RecrDev_1976" -0.0187692 0.177931 "Main_RecrDev" 1976
"Main_RecrDev_1977" 0.0162251 0.177523 "Main_RecrDev" 1977
"Main_RecrDev_1978" 0.149338 0.153533 "Main_RecrDev" 1978
"Main_RecrDev_1979" 0.122693 0.154413 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.173723 0.138635 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.204816 0.151565 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.0311304 0.139915 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.190333 0.146926 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.223152 0.144002 "Main_RecrDev" 1984
"Main_RecrDev_1985" -0.443157 0.151921 "Main_RecrDev" 1985
"Main_RecrDev_1986" -0.120549 0.174418 "Main_RecrDev" 1986
"Main_RecrDev_1987" 0.353833 0.148498 "Main_RecrDev" 1987
"Main_RecrDev_1988" 0.011402 0.168839 "Main_RecrDev" 1988
"Main_RecrDev_1989" -0.118995 0.166649 "Main_RecrDev" 1989
"Main_RecrDev_1990" -0.110271 0.175767 "Main_RecrDev" 1990
"Main_RecrDev_1991" 0.0554787 0.181335 "Main_RecrDev" 1991
"Main_RecrDev_1992" 0.221381 0.181011 "Main_RecrDev" 1992
"Main_RecrDev_1993" 0.185078 0.179581 "Main_RecrDev" 1993
"Main_RecrDev_1994" 0.0345434 0.16985 "Main_RecrDev" 1994
"Main_RecrDev_1995" 0.0147397 0.168077 "Main_RecrDev" 1995
"Main_RecrDev_1996" 0.716662 0.10124 "Main_RecrDev" 1996
"Main_RecrDev_1997" 0.123388 0.13034 "Main_RecrDev" 1997
"Main_RecrDev_1998" 0.454949 0.10025 "Main_RecrDev" 1998
"Main_RecrDev_1999" 0.26783 0.108355 "Main_RecrDev" 1999
"Main_RecrDev_2000" -0.392385 0.132074 "Main_RecrDev" 2000
